post_id,original_url,final_url,status_code,redirect_count,response_time_ms,is_alive,is_404,has_redirect_chain,slug,title,error
14010,"http://jus-tice.co.il/rabbinical-agreement-approval/","http://jus-tice.co.il/rabbinical-agreement-approval/",200,0,1785,true,false,false,"%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%9c%d7%90%d7%99%d7%a9%d7%95%d7%a8-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%91%d7%91%d7%aa%d7%99-%d7%94%d7%93%d7%99%d7%9f-%d7%94%d7%a8","מדריך לאישור הסכם גירושין בבתי הדין הרבניים – 55 כללים מעשיים",""
13152,"http://jus-tice.co.il/most-recommended-family-lawyer/","http://jus-tice.co.il/most-recommended-family-lawyer/",200,0,1838,true,false,false,"%d7%94%d7%9e%d7%9c%d7%a6%d7%95%d7%aa-2026-%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%9e%d7%95%d7%9e%d7%9c%d7%a5-%d7%94","המלצות 2026 עורך דין לענייני משפחה מומלץ  | התייעצות עם עורך דין לענייני משפחה וירושה",""
12987,"http://jus-tice.co.il/future-of-divorce-process/","http://jus-tice.co.il/future-of-divorce-process/",200,0,1718,true,false,false,"%d7%9b%d7%99%d7%a6%d7%93-%d7%99%d7%a8%d7%90%d7%94-%d7%91%d7%a2%d7%aa%d7%99%d7%93-%d7%94%d7%9c%d7%99%d7%9a-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%aa%d7%97%d7%96%d7%99%d7%aa-%d7%9c%d7%a9","כיצד יראה בעתיד הליך גירושין &#8211; תחזית לשנים הבאות",""
12979,"http://jus-tice.co.il/experienced-family-law-attorney/","http://jus-tice.co.il/experienced-family-law-attorney/",200,0,1744,true,false,false,"%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%aa%d7%95%d7%aa%d7%97-%d7%9e%d7%a2%d7%9c-20-%d7%a9%d7%a0%d7%95%d7%aa-%d7%a0","עורך דין לענייני משפחה תותח מעל 20 שנות נסיון | ייעוץ חינם &#8211; נתונים עדכניים בדיני המשפחה",""
12975,"http://jus-tice.co.il/1396562-2/","http://jus-tice.co.il/1396562-2/",200,0,1748,true,false,false,"%d7%a4%d7%a1%d7%93-%d7%91%d7%99%d7%98%d7%95%d7%9c-%d7%94%d7%97%d7%9c%d7%98%d7%94-%d7%9c%d7%a9%d7%9c%d7%95%d7%9d-%d7%91%d7%99%d7%aa-%d7%94%d7%a7%d7%a4%d7%90%d7%aa-%d7%aa%d7%a9%d7%9c%d7%95","פס&#8221;ד ביטול החלטה לשלום בית ; הקפאת תשלום מזונות אישה",""
12946,"http://jus-tice.co.il/can-you-be-common-law-married-to-a-married-person/","http://jus-tice.co.il/can-you-be-common-law-married-to-a-married-person/",200,0,1797,true,false,false,"%d7%94%d7%90%d7%9d-%d7%90%d7%99%d7%a9%d7%94-%d7%a0%d7%a9%d7%95%d7%90%d7%94-%d7%99%d7%9b%d7%95%d7%9c%d7%94-%d7%9c%d7%94%d7%99%d7%97%d7%a9%d7%91-%d7%99%d7%93%d7%95%d7%a2%d7%94-%d7%91%d7%a6%d7%99%d7%91","האם אישה נשואה יכולה להיחשב ידועה בציבור של אחר? מדריך מקיף ידועים בציבור",""
12940,"http://jus-tice.co.il/1440015/1/","http://jus-tice.co.il/1440015/1/",200,0,1680,true,false,false,"%d7%90%d7%9b%d7%99%d7%a4%d7%aa-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%a2%d7%9c-%d7%a8%d7%a7%d7%a2-%d7%98%d7%a2%d7%a0%d7%95%d7%aa-%d7%94%d7%93%d7%93%d7%99%d7%95%d7%aa","אכיפת הסכם גירושין על רקע טענות הדדיות בדבר הפרתו",""
12934,"http://jus-tice.co.il/family-mediation-updated-trends/","http://jus-tice.co.il/family-mediation-updated-trends/",200,0,1693,true,false,false,"%d7%92%d7%99%d7%a9%d7%95%d7%a8-%d7%9e%d7%a9%d7%a4%d7%97%d7%aa%d7%99-%d7%91%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%95%d7%91%d7%a2%d7%95%d7%9c%d7%9d-%d7%92%d7%99%d7%a9%d7%95%d7%a8-%d7%95%d7%92%d7%99%d7%a8","גישור משפחתי בישראל ובעולם | גישור וגירושין | נתונים, התפתחות ומגמות עדכניות",""
12924,"http://jus-tice.co.il/investigations-and-intelligence-division/","http://jus-tice.co.il/investigations-and-intelligence-division/",200,0,1655,true,false,false,"%d7%90%d7%92%d7%a3-%d7%94%d7%97%d7%a7%d7%99%d7%a8%d7%95%d7%aa-%d7%95%d7%94%d7%9e%d7%95%d7%93%d7%99%d7%a2%d7%99%d7%9f-%d7%a9%d7%9c-%d7%9e%d7%a9%d7%98%d7%a8%d7%aa-%d7%99%d7%a9%d7%a8%d7%90%d7%9c","אגף החקירות והמודיעין של משטרת ישראל",""
12921,"http://jus-tice.co.il/top-experts-family-law/","http://jus-tice.co.il/top-experts-family-law/",200,0,1624,true,false,false,"2025-%d7%94%d7%9e%d7%95%d7%9e%d7%97%d7%99%d7%9d-%d7%94%d7%9e%d7%95%d7%91%d7%99%d7%9c%d7%99%d7%9d-%d7%91%d7%93%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94","(2025) המומחים המובילים בדיני משפחה",""
