type,id_or_token,status,path_or_reason,notes
file,launchpad,PASS,project-control/investor-demo-launchpad-2026-05-25.html,Single non-technical control screen for the morning investor demo.
file,scenario-script,PASS,project-control/investor-demo-scenario-script-2026-05-25.md,First-person medical-malpractice lawyer walkthrough.
file,morning-control-sheet,PASS,project-control/investor-demo-morning-control-sheet-2026-05-25.md,Operator tab order and exact talk tracks.
file,hebrew-morning-brief,PASS,project-control/investor-morning-brief-he-2026-05-25.md,Hebrew owner-facing script for pressure moments in the investor meeting.
file,hebrew-morning-brief-html,PASS,project-control/investor-morning-brief-he-2026-05-25.html,Browser-ready RTL Hebrew brief that avoids terminal encoding issues.
file,payment-lifecycle-playbook,PASS,project-control/investor-payment-lifecycle-playbook-2026-05-25.md,"Real-money lifecycle answers for payment, invoice, refund, cancel and plan-change questions."
file,fallback-answers,PASS,project-control/investor-demo-fallback-answers-2026-05-25.md,"Controlled answers if a page is slow, a login is missing, or the investor challenges payment proof."
file,live-data-provider-checklist,PASS,project-control/investor-live-data-provider-action-checklist-2026-05-25.md,Owner-side steps for the five remaining live-data/provider blockers.
file,ascii-demo-data,PASS,project-control/investor-demo-data-seed-packet-ascii-2026-05-25.md,Copy-safe demo lawyer and lead fields if Hebrew rendering is risky.
file,readiness-report,PASS,project-control/investor-demo-readiness-2026-05-25.md,Readiness status and remaining blockers.
file,revenue-funnel-report,PASS,project-control/lawyer-revenue-funnel-live-2026-05-25.md,Live public lawyer funnel verification.
file,morning-refresh-script,PASS,tools/run-investor-morning-pack.ps1,One command to refresh all morning demo gates before the meeting.
launchpad_token,Jus-Tice Investor Demo Launchpad,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,Homepage</strong><span>PASS</span>,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,Revenue Funnel</strong><span>10/10 PASS</span>,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,Investor Gate</strong><span>14 PASS</span>,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,Payment Lifecycle</strong><span>Playbook ready</span>,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,2 demo-data + 3 provider blockers,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,https://jus-tice.co.il/,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,https://jus-tice.co.il/lawyer-plans/,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,https://jus-tice.co.il/checkout/?plan_interest=lead_partner,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,https://jus-tice.co.il/lawyer-registration/?plan_interest=lead_partner,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,https://jus-tice.co.il/lawyer-dashboard/,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,https://jus-tice.co.il/wp-admin/admin.php?page=justice-lawyer-onboarding,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,./investor-payment-lifecycle-playbook-2026-05-25.md,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,./investor-morning-brief-he-2026-05-25.md,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,./investor-morning-brief-he-2026-05-25.html,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,./investor-demo-fallback-answers-2026-05-25.md,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,./investor-live-data-provider-action-checklist-2026-05-25.md,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,tools\run-investor-morning-pack.ps1,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
launchpad_token,Do not claim recurring billing,PASS,project-control/investor-demo-launchpad-2026-05-25.html,present
