"OldSlug","NewSlug","PostId","PostType","Status"
"article-12007","bgz-infidelity-adultery-supreme-court-ruling","12007","articles","RENAMED"
"article-9128","un-convention-against-corruption-israel","9128","articles","RENAMED"
"article-9126","innocent-prisoner-dilemma-criminal-defense-israel","9126","articles","RENAMED"
"article-8808","plastic-surgeon-face-malpractice-israel","8808","articles","RENAMED"
"article-8318","doctor-role-duties-professional-obligations-israel","8318","articles","RENAMED"
"article-8142","types-of-doctors-medical-specializations-israel","8142","articles","RENAMED"
"lawyer-recommended-law-price","military-lawyer-israel-court-martial-defense","9436","articles","RENAMED"
"article-6882","police-crime-data-transparency-report-israel","6882","articles","RENAMED"
"lawyer","find-lawyer-near-me-israel-all-areas","8473","articles","RENAMED"
"lawyers","lawyers-online-reputation-management-israel","0","","NOT_FOUND"
"house","buying-apartment-israel-legal-checklist","2149","articles","RENAMED"
"tax","tax-law-israel-guide-obligations-2025","1681","articles","RENAMED"
"civil","civil-procedure-law-israel-courts-guide","1664","articles","RENAMED"
"courts","courts-system-israel-guide-hierarchy","1770","articles","RENAMED"
"court","what-is-a-court-israel-legal-guide","6886","articles","RENAMED"
"lawsuits","civil-lawsuits-israel-procedure-guide","1767","articles","RENAMED"
"jerusalem","jerusalem-courts-legal-proceedings-israel","2183","articles","RENAMED"
"privacy","privacy-rights-coronavirus-employment-israel","2651","articles","RENAMED"
"company","company-law-israel-incorporation-guide","1910","articles","RENAMED"
"prosecution","state-prosecution-israel-criminal-process","5356","articles","RENAMED"
"penal","penal-code-israel-criminal-law-guide","2839","articles","RENAMED"
"conviction","criminal-conviction-israel-defense-options","5570","articles","RENAMED"
"punishment","criminal-sentencing-israel-penalties-guide","5385","articles","RENAMED"
"judge","judge-role-israel-court-system","3406","articles","RENAMED"
"evidence","evidence-law-israel-criminal-civil","6901","articles","RENAMED"
"properties","receivers-trustees-property-management-court","6935","articles","RENAMED"
"custody","child-custody-transfer-mother-father-israel","6980","articles","RENAMED"
"alimony","child-alimony-calculation-father-obligation-israel","6903","articles","RENAMED"
"right","womens-rights-domestic-violence-israel-law","6786","articles","RENAMED"
"accounts","inheritance-estate-accounts-siblings-dispute","6657","articles","RENAMED"
"nso","nso-pegasus-spyware-israel-police-legal","6749","articles","RENAMED"
"19-covid","covid-19-employment-rights-israel-employer","2235","articles","RENAMED"
"161","form-161-employee-departure-employer-notice-israel","944","articles","RENAMED"
"verdict-rights","facebook-copyright-digital-rights-court-israel","6117","articles","RENAMED"
"verdict-appeal","criminal-tax-appeal-supreme-court-israel","1660","articles","RENAMED"
"verdict-will","inheritance-will-dispute-heirs-court-israel","1596","articles","RENAMED"
"procedures-law","criminal-procedure-rights-investigation-israel","5602","articles","RENAMED"
"proceedings-law","legal-proceedings-jurisdiction-israel-courts","6037","articles","RENAMED"
"torts-new","tort-law-new-rules-israel-damages-2025","2913","articles","RENAMED"
"courts-law","courts-administration-law-israel-jurisdiction","1966","articles","RENAMED"
"police-officer","police-officer-legal-status-rights-israel","2113","articles","RENAMED"
"law-account","banking-law-account-disclosure-israel","3328","articles","RENAMED"
"alimony-agreement","alimony-divorce-agreement-israel-child-support","2874","articles","RENAMED"
"agreement-lawsuit","post-divorce-agreement-enforcement-lawsuit","3363","articles","RENAMED"
"consent-agreement","consent-decree-court-divorce-settlement","5955","articles","RENAMED"
"petition-approval","petition-approval-debt-arrangement-creditors","6163","articles","RENAMED"
"criminal-sentencing","criminal-sentencing-guidelines-israel-2025","5744","articles","RENAMED"
"criminal-conviction","criminal-conviction-appeal-options-israel","5392","articles","RENAMED"
"offense-license","criminal-offense-business-license-israel","5468","articles","RENAMED"
"lawsuit-alimony","alimony-lawsuit-reduction-changed-circumstances","5655","articles","RENAMED"
"lawsuit-obligations","contract-obligations-lawsuit-israel-civil","3393","articles","RENAMED"
"lawsuit-torts","tort-lawsuit-negligence-damages-israel","1700","articles","RENAMED"
"law-jurisdiction","civil-service-authority-legal-jurisdiction","0","","NOT_FOUND"
"indictment-cancellation","criminal-indictment-cancellation-withdrawal-israel","6884","articles","RENAMED"
"proceedings-divorce","divorce-proceedings-special-rules-rabbinical","6793","articles","RENAMED"
"regulations","tenancy-regulation-israel-landlord-tenant","2127","articles","RENAMED"
"lawsuits-companies","corporate-lawsuit-employer-employee-israel","2727","articles","RENAMED"
"investigation-criminal","criminal-investigation-procedure-rights-israel","2649","articles","RENAMED"
"lawyers-judge","expert-lawyers-judges-directory-israel","6633","articles","RENAMED"
"rabbinical-court","rabbinical-court-divorce-request-israel","6600","articles","RENAMED"
"procedure","criminal-legal-procedure-israel-guide","6552","articles","RENAMED"
"news-criminal","criminal-law-news-updates-israel-2025","6514","articles","RENAMED"
"divorce-partners","common-law-divorce-cohabiting-partners-israel","6433","articles","RENAMED"
"compensation-law","personal-injury-compensation-verdict-israel","6456","articles","RENAMED"
"compensation-privacy","privacy-violation-compensation-lawsuit-israel","5674","articles","RENAMED"
"law-israel","overview-israel-legal-system-courts-2025","1655","articles","RENAMED"
"lawyer-101","lawyer-101-guide-hiring-attorney-israel","5604","articles","RENAMED"
"lawyer-law","how-to-find-qualified-lawyer-israel-guide","7038","articles","RENAMED"
"tax-law-destination","tax-law-obligations-vat-income-israel-2025","0","","NOT_FOUND"
"request-damages","compensation-claim-request-lawsuit-israel","1590","articles","RENAMED"
"compensation-apartment","apartment-defects-contractor-compensation-israel","6916","articles","RENAMED"
