url,status,final_url,impressions,clicks,primary_cluster,recommended_action,title,h1,visible_ben_attribution,schema_ben_author,schema_article_authors,schema_article_reviewers,schema_parse_errors,audit_action
https://jus-tice.co.il/%D7%AA%D7%97%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%94-%D7%9B%D7%AA%D7%95%D7%91%D7%AA-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A8%D7%A9%D7%99%D7%9E%D7%94-%D7%90%D7%A8%D7%A6%D7%99%D7%AA-%D7%9E%D7%A2%D7%95%D7%93%D7%9B%D7%9F,404,https://jus-tice.co.il/%D7%AA%D7%97%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%94-%D7%9B%D7%AA%D7%95%D7%91%D7%AA-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A8%D7%A9%D7%99%D7%9E%D7%94-%D7%90%D7%A8%D7%A6%D7%99%D7%AA-%D7%9E%D7%A2%D7%95%D7%93%D7%9B%D7%9F?jt_author_audit=1779183425746,118014,482,criminal-law,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,Page not found | Jus-Tice.co.il,העמוד לא נמצא,NO,NO,,,,NO_BEN_ATTRIBUTION_DETECTED
https://jus-tice.co.il/criminal-defense-attorney,200,https://jus-tice.co.il/criminal-defense-attorney/?jt_author_audit=1779183427301,62561,10,criminal-law,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,עורך דין פלילי | עו&quot;ד פלילי | משרדי עורכי דין פליליים,עורך דין פלילי בישראל: המדריך המלא | מעודכן 2026,YES,YES,Person | עו״ד בן בטש | https://jus-tice.co.il/,,,REVIEW_AND_REPLACE_WITH_ORG_OR_VERIFIED_REVIEWER
https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C,404,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C?jt_author_audit=1779183430175,52640,96,criminal-law,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,Page not found | Jus-Tice.co.il,העמוד לא נמצא,NO,NO,,,,NO_BEN_ATTRIBUTION_DETECTED
https://jus-tice.co.il/apply-for-police-criminal-information-certificates,200,https://jus-tice.co.il/apply-for-police-criminal-information-certificates/?jt_author_audit=1779183431572,38667,188,criminal-law,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,טופס בקשה לתעודת מידע פלילי | תעודת יושר | היעדר מרשם פלילי | Jus-Tice.co.il,טופס בקשה לתעודת מידע פלילי | תעודת יושר | היעדר מרשם פלילי,YES,YES,Person | עו״ד בן בטש | https://jus-tice.co.il/,,,REVIEW_AND_REPLACE_WITH_ORG_OR_VERIFIED_REVIEWER
https://jus-tice.co.il/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99,404,https://jus-tice.co.il/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99?jt_author_audit=1779183434411,38017,234,criminal-law,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,Page not found | Jus-Tice.co.il,העמוד לא נמצא,NO,NO,,,,NO_BEN_ATTRIBUTION_DETECTED
https://jus-tice.co.il/police-records-data-deletion,200,https://jus-tice.co.il/police-records-data-deletion/?jt_author_audit=1779183435858,34081,8,criminal-law,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,מחיקת רישום משטרתי | ביטול רישום של תיקים סגורים | Jus-Tice.co.il,מחיקת רישום משטרתי | ביטול רישום של תיקים סגורים,YES,YES,Person | עו״ד בן בטש | https://jus-tice.co.il/,,,REVIEW_AND_REPLACE_WITH_ORG_OR_VERIFIED_REVIEWER
https://jus-tice.co.il/sex-crime-lawyer,200,https://jus-tice.co.il/sex-crime-lawyer/?jt_author_audit=1779183438706,27904,34,UNKNOWN,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,עורך דין לענייני עבירות מין | טענות הגנה בעבירות מין | עו&quot;ד פלילי חקירת עבירות מין | Jus-Tice.co.il,עורך דין לענייני עבירות מין | טענות הגנה בעבירות מין | עו&quot;ד פלילי חקירת עבירות מין,YES,YES,Person | עו״ד בן בטש | https://jus-tice.co.il/,,,REVIEW_AND_REPLACE_WITH_ORG_OR_VERIFIED_REVIEWER
https://jus-tice.co.il/drug-related-crime,200,https://jus-tice.co.il/drug-related-crime/?jt_author_audit=1779183441531,24014,3,criminal-law,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,עבירות סמים | Jus-Tice.co.il,עבירות סמים,YES,YES,Person | עו״ד בן בטש | https://jus-tice.co.il/,,,REVIEW_AND_REPLACE_WITH_ORG_OR_VERIFIED_REVIEWER
https://jus-tice.co.il/lahav-433,200,https://jus-tice.co.il/lahav-433/?jt_author_audit=1779183444283,23382,302,UNKNOWN,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,להב 433: מבנה היחידה כתובות וטלפונים | משטרת ישראל להב 433 | Jus-Tice.co.il,להב 433: מבנה היחידה כתובות וטלפונים | משטרת ישראל להב 433,YES,YES,Person | עו״ד בן בטש | https://jus-tice.co.il/,,,REVIEW_AND_REPLACE_WITH_ORG_OR_VERIFIED_REVIEWER
https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost,200,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/?jt_author_audit=1779183447198,23313,224,inheritance-wills,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,כמה עולה ייצוג עורך דין פלילי? | מחירון מומלץ 2024 | Jus-Tice.co.il,כמה עולה ייצוג עורך דין פלילי? | מחירון מומלץ 2024,YES,YES,Person | עו״ד בן בטש | https://jus-tice.co.il/,,,REVIEW_AND_REPLACE_WITH_ORG_OR_VERIFIED_REVIEWER
