target,priority,source,sectionOrder,decision,heading,words,sample,rationale,sourceFile
"/child-support/","P0","draft","1","KEEP_DRAFT_BASE","מזונות ילדים: איך להבין את המסגרת לפני הסכם, תביעה או שינוי","177","מידע זה נועד להסביר באופן כללי את נושא מזונות הילדים בישראל. הוא אינו ייעוץ משפטי, אינו מחליף בדיקה פרטנית של עורך דין, ואינו קובע מה הסכום או המסלול הנכון במקרה מסוים. מזונות ילדים מושפעים מגיל הילדים, צרכיהם, הכנסות ההורים, זמני השהות, הוצאות מגורים, הסכמ...","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","2","KEEP_DRAFT_BASE","מה כוללים מזונות ילדים?","107","מזונות ילדים יכולים לכלול צרכים שוטפים וצרכים משתנים. בדרך כלל השיח כולל מזון, ביגוד, הוצאות בית, חלק מהוצאות המגורים, מסגרות חינוך, צהרונים, חוגים, טיפולים, בריאות, נסיעות, ציוד לימודי והוצאות מיוחדות. לא תמיד כל הרכיבים נכללים באותו סעיף. לפעמים יש סכום ח...","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","3","KEEP_DRAFT_BASE","מה משפיע על גובה המזונות?","108","אין גורם אחד שקובע לבדו את התוצאה. בין הנושאים שנבדקים נמצאים גיל הילדים, הצרכים שלהם, רמת החיים שהייתה לפני הפרידה, הכנסות שני ההורים, יכולת השתכרות, זמני שהות, מדור, הוצאות חריגות, חובות, הסכמים קודמים ופסקי דין קיימים. גם מצב שבו אחד ההורים עצמאי, בעל חב...","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","4","KEEP_DRAFT_BASE","זמני שהות והקשר למזונות","101","זמני שהות משפיעים על ההוצאות שכל הורה נושא בהן בפועל. כאשר הילדים נמצאים פרקי זמן משמעותיים אצל שני ההורים, לכל אחד מהם יש הוצאות ישירות: מזון בבית, חדר או מיטה, בגדים, נסיעות, ציוד, פעילויות והוצאות יומיומיות. לכן לא נכון לנתק את נושא המזונות מהשאלה איך נר...","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","5","KEEP_DRAFT_BASE","מדור והוצאות מגורים","90","מדור מתייחס להוצאות הקשורות למגורי הילדים, כמו שכירות או משכנתא, חשמל, מים, ארנונה, ועד בית והוצאות בית נוספות. במקרים מסוימים המדור נכלל כחלק מהדיון במזונות, ובמקרים אחרים הוא מופיע כרכיב נפרד או כחלק ממנגנון רחב יותר. הקושי הוא שמגורים של ילדים אינם רק מס...","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","6","KEEP_DRAFT_BASE","הוצאות חריגות","94","הוצאות חריגות הן אחד המקומות שבהם נוצרים סכסוכים אחרי הסכם. גם כאשר יש סכום חודשי מוסכם, עדיין צריך לדעת מה עושים עם טיפול רפואי, אבחון, טיפול רגשי, שיעורים פרטיים, חוגים, קייטנות, מסגרות מיוחדות, נסיעות או רכישת ציוד חריגה. בלי מנגנון ברור, כל הוצאה הופכת ...","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","7","KEEP_DRAFT_BASE","מזונות בהסכם גירושין","93","כאשר בני זוג מתגרשים בהסכמה, מזונות הילדים צריכים להשתלב בתוך הסכם גירושין רחב. ההסכם צריך להתייחס לסכום החודשי, מועדי תשלום, הצמדה או עדכון עתידי, מדור, הוצאות חריגות, חינוך, בריאות, מנגנון אישור הוצאות, זמני שהות ושינויים עתידיים. הסכם שאומר רק “ישולם סכו...","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","8","KEEP_DRAFT_BASE","תביעת מזונות","82","כאשר אין הסכמה, ייתכן שיהיה צורך בהליך משפטי. לפני הגשת תביעה או תגובה לתביעה, צריך לאסוף תמונה כלכלית מסודרת: הכנסות, הוצאות ילדים, זמני שהות, הוצאות מגורים, הסכמים קודמים, מסמכי בנק, תלושי שכר, דוחות לעצמאים, הוצאות חינוך ובריאות וכל מידע שמראה את צרכי הי...","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","9","KEEP_DRAFT_BASE","שינוי מזונות","86","מזונות שנקבעו בעבר אינם תמיד סוף הדרך. לעיתים ניתן לבדוק שינוי כאשר יש שינוי נסיבות משמעותי, למשל שינוי בהכנסות, שינוי בזמני השהות, שינוי בצרכי הילדים, מעבר דירה, מחלה, שינוי מסגרת חינוך או נסיבות אחרות. אבל לא כל שינוי קטן מצדיק פתיחה מחדש של ההסדר. לפני ש...","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","10","KEEP_DRAFT_BASE","גבייה ואי תשלום","82","כאשר קיימת החלטה או הסכם מחייב והתשלום אינו מבוצע, יש צורך להבין את אפשרויות הפעולה בזהירות. אי תשלום מזונות יכול ליצור לחץ כלכלי מיידי, אבל תגובה לא מתוכננת עלולה להחריף את הסכסוך. צריך לבדוק מה המסמך המחייב, מה בדיוק לא שולם, האם מדובר בפיגור חד פעמי או ב...","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","11","KEEP_DRAFT_BASE","מסמכים שכדאי להכין","93","לפני פנייה לייעוץ בנושא מזונות ילדים, כדאי לרכז את המסמכים הבאים ככל שהם קיימים: תלושי שכר של שני ההורים, דוחות הכנסה לעצמאים, דפי בנק מרכזיים, פירוט הוצאות הילדים, הוצאות חינוך ובריאות, חוזה שכירות או נתוני משכנתא, זמני שהות קיימים או מוצעים, הסכמים קודמים...","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","12","KEEP_DRAFT_BASE","טעויות נפוצות במזונות ילדים","89","טעות אחת היא להסתמך על מספר שמופיע במחשבון או במאמר כללי בלי לבדוק את נסיבות המשפחה. טעות שנייה היא לחתום על סעיף קצר מדי שלא מסביר מה כלול ומה מחולק בנפרד. טעות שלישית היא לערבב בין מאבק זוגי לבין צרכי הילדים. טעות נוספת היא לא לשמור קבלות, הודעות ואישורים...","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","13","KEEP_DRAFT_BASE","שאלות נפוצות","0","","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
"/child-support/","P0","draft","14","KEEP_DRAFT_BASE","האם יש נוסחה קבועה למזונות ילדים?","28","לא. יש עקרונות משפטיים ופסיקה, אבל התוצאה תלויה בגיל הילדים, צרכיהם, הכנסות ההורים, זמני השהות, מדור ונסיבות נוספות. חישוב כללי יכול לעזור בהכנה, אך אינו מחליף ייעוץ פרטני.","Clean draft section passed static QA and remains the base content unless owner/legal review changes it.","content-drafts/child-support-public-body-he.md"
