decision_id,source_row_id,decision_type,priority,current_url_or_reference,target_or_hub,role_or_topic,recommended_owner_decision,owner_decision_status,upload_readiness,gsc_risk,gsc_clicks,gsc_impressions,minimum_before_action,blocked_public_actions,next_step,notes
MEDMAL-OWNER-DECISION-001,MEDD-001,OWNER_DECISION_GATE,P0,https://jus-tice.co.il/medical-malpractice-lawyer/,commercial pillar,Use as current pillar candidate only after CMS identity is resolved,REVIEW_DUPLICATE_CMS_IDENTITY,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,PROTECTED_REVIEW,0,0,duplicate CMS identity resolved; owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Approve duplicate identity review and side-by-side comparison,Two REST records share same public URL
MEDMAL-OWNER-DECISION-002,MEDD-002,OWNER_DECISION_GATE,P0,REFERENCE:MEDMAL-FEE-GSC-001,fee cost support,Protect as GSC-visible support asset,PROTECT_COST_SUPPORT_THEN_COMPARE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,PROTECTED_REVIEW,,,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Approve protect compare and support-or-merge review,Do not redirect or noindex visible fee article
MEDMAL-OWNER-DECISION-003,MEDD-003,OWNER_DECISION_GATE,P0,REFERENCE:MEDMAL-BIRTH-HEBREW-GSC-001,birth pregnancy old URL,Protect as GSC-visible birth and pregnancy asset,CONFIRM_BOUNDARY_EXCLUSION_FROM_ISRAELI_SERVICE_CLUSTER,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,PROTECTED_REVIEW,,,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Approve protect compare and split-or-merge review,Do not create duplicate future slugs yet
MEDMAL-OWNER-DECISION-004,MEDD-004,OWNER_DECISION_GATE,P0,/birth-injury/; /birth-injury-lawyer/; /birth-injury-causes/; /brain-damage-at-birth/; /malpractice-cerebral-palsy/,birth injury support group,Use birth-injury as possible support parent after review,PROTECT_BIRTH_PREGNANCY_ROLE_THEN_SPLIT_OR_MERGE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,PROTECTED_REVIEW,,,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Approve parent support role and merge candidates,Sensitive causation and child injury topics
MEDMAL-OWNER-DECISION-005,MEDD-005,OWNER_DECISION_GATE,P0,/anesthesia-medical-malpractice/; /surgical-errors-medical-malpractice/; /personal-injury/medical-malpractice/surgery/,surgery anesthesia support group,Keep as support pages only after source review,KEEP_AS_SUPPORT_AFTER_SOURCE_AND_URL_REVIEW,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,,,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Approve support roles and nested URL strategy,Nested surgery URL needs canonical and migration review
MEDMAL-OWNER-DECISION-006,MEDD-006,OWNER_DECISION_GATE,P0,/what-is-medical-malpractice-definition-examples/; /medical-malpractice-common-errors-doctors-hospitals/; /medical-malpractice-vs-negligence-differences-israel/,definition common errors support,Keep as concept support not commercial duplicate,KEEP_INFORMATIONAL_SUPPORT_IF_UNIQUE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,,,duplicate CMS identity resolved; owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Approve informational support role,Needs careful non-duplicative titles and links
MEDMAL-OWNER-DECISION-007,MEDD-007,OWNER_DECISION_GATE,P0,REFERENCE:MEDMAL-REPORT-LARGE-001,report background,HOLD until source and copyright review,OWNER_ROLE_REVIEW_REQUIRED,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,,,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Approve source copyright and indexation review,Large word count must not determine pillar status
MEDMAL-OWNER-DECISION-008,MEDD-008,OWNER_DECISION_GATE,P0,TRAFFIC_MARVAD_GROUP; /criminal-negligence/; /medical-malpractice-in-the-united-states/; FUTURE_SLUG_GROUP,boundaries and future slugs,Exclude from current Israeli malpractice upload batch,CONFIRM_BOUNDARY_EXCLUSION_FROM_ISRAELI_SERVICE_CLUSTER,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,,,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Approve exclusions and future-only status,Prevents cannibalization and wrong-cluster links
MEDMAL-OWNER-DECISION-009,MEDD-009,CURRENT_URL_READINESS,P0,https://jus-tice.co.il/medical-malpractice-lawyer/,REST ID 11607; REST ID 1130; fee article; birth/pregnancy page,clean commercial pillar candidate,REVIEW_DUPLICATE_CMS_IDENTITY,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN_NEEDS_GSC,0,0,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,DUPLICATE_IDENTITY_REVIEW_THEN_COMPARE,Do not edit until authoritative CMS state is understood.
MEDMAL-OWNER-DECISION-010,MEDD-010,CURRENT_URL_READINESS,P0,REFERENCE:MEDMAL-DUPLICATE-SAME-URL-001,/medical-malpractice-lawyer/,two records same public URL,REVIEW_DUPLICATE_CMS_IDENTITY,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,PROTECTED_REVIEW,,,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,CMS_IDENTITY_REVIEW_REQUIRED,Not a redirect task yet; this is CMS/source identity review.
