post_id,slug_status,current_url,current_slug,decoded_slug,existing_english_slug,url_is_english,url_has_articles_prefix,title
14010,ENGLISH_URL_HEBREW_SLUG,"http://jus-tice.co.il/rabbinical-agreement-approval/","%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%9c%d7%90%d7%99%d7%a9%d7%95%d7%a8-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%91%d7%91%d7%aa%d7%99-%d7%94%d7%93%d7%99%d7%9f-%d7%94%d7%a8","מדריך-לאישור-הסכם-גירושין-בבתי-הדין-הר","rabbinical-agreement-approval",true,false,"מדריך לאישור הסכם גירושין בבתי הדין הרבניים – 55 כללים מעשיים"
13152,ENGLISH_URL_HEBREW_SLUG,"http://jus-tice.co.il/most-recommended-family-lawyer/","%d7%94%d7%9e%d7%9c%d7%a6%d7%95%d7%aa-2026-%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%9e%d7%95%d7%9e%d7%9c%d7%a5-%d7%94","המלצות-2026-עורך-דין-לענייני-משפחה-מומלץ-ה","most-recommended-family-lawyer",true,false,"המלצות 2026 עורך דין לענייני משפחה מומלץ  | התייעצות עם עורך דין לענייני משפחה וירושה"
12987,ENGLISH_URL_HEBREW_SLUG,"http://jus-tice.co.il/future-of-divorce-process/","%d7%9b%d7%99%d7%a6%d7%93-%d7%99%d7%a8%d7%90%d7%94-%d7%91%d7%a2%d7%aa%d7%99%d7%93-%d7%94%d7%9c%d7%99%d7%9a-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%aa%d7%97%d7%96%d7%99%d7%aa-%d7%9c%d7%a9","כיצד-יראה-בעתיד-הליך-גירושין-תחזית-לש","future-of-divorce-process",true,false,"כיצד יראה בעתיד הליך גירושין – תחזית לשנים הבאות"
12979,ENGLISH_URL_HEBREW_SLUG,"http://jus-tice.co.il/experienced-family-law-attorney/","%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%aa%d7%95%d7%aa%d7%97-%d7%9e%d7%a2%d7%9c-20-%d7%a9%d7%a0%d7%95%d7%aa-%d7%a0","עורך-דין-לענייני-משפחה-תותח-מעל-20-שנות-נ","experienced-family-law-attorney",true,false,"עורך דין לענייני משפחה תותח מעל 20 שנות נסיון | ייעוץ חינם – נתונים עדכניים בדיני המשפחה"
12975,ENGLISH_URL_HEBREW_SLUG,"http://jus-tice.co.il/1396562-2/","%d7%a4%d7%a1%d7%93-%d7%91%d7%99%d7%98%d7%95%d7%9c-%d7%94%d7%97%d7%9c%d7%98%d7%94-%d7%9c%d7%a9%d7%9c%d7%95%d7%9d-%d7%91%d7%99%d7%aa-%d7%94%d7%a7%d7%a4%d7%90%d7%aa-%d7%aa%d7%a9%d7%9c%d7%95","פסד-ביטול-החלטה-לשלום-בית-הקפאת-תשלו","1396562-2",true,false,"פס""ד ביטול החלטה לשלום בית ; הקפאת תשלום מזונות אישה"
12946,ENGLISH_URL_HEBREW_SLUG,"http://jus-tice.co.il/can-you-be-common-law-married-to-a-married-person/","%d7%94%d7%90%d7%9d-%d7%90%d7%99%d7%a9%d7%94-%d7%a0%d7%a9%d7%95%d7%90%d7%94-%d7%99%d7%9b%d7%95%d7%9c%d7%94-%d7%9c%d7%94%d7%99%d7%97%d7%a9%d7%91-%d7%99%d7%93%d7%95%d7%a2%d7%94-%d7%91%d7%a6%d7%99%d7%91","האם-אישה-נשואה-יכולה-להיחשב-ידועה-בציב","can-you-be-common-law-married-to-a-married-person",true,false,"האם אישה נשואה יכולה להיחשב ידועה בציבור של אחר? מדריך מקיף ידועים בציבור"
12940,NEEDS_TRANSLATION,"http://jus-tice.co.il/1440015/1/","%d7%90%d7%9b%d7%99%d7%a4%d7%aa-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%a2%d7%9c-%d7%a8%d7%a7%d7%a2-%d7%98%d7%a2%d7%a0%d7%95%d7%aa-%d7%94%d7%93%d7%93%d7%99%d7%95%d7%aa","אכיפת-הסכם-גירושין-על-רקע-טענות-הדדיות","",,false,"אכיפת הסכם גירושין על רקע טענות הדדיות בדבר הפרתו"
12934,ENGLISH_URL_HEBREW_SLUG,"http://jus-tice.co.il/family-mediation-updated-trends/","%d7%92%d7%99%d7%a9%d7%95%d7%a8-%d7%9e%d7%a9%d7%a4%d7%97%d7%aa%d7%99-%d7%91%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%95%d7%91%d7%a2%d7%95%d7%9c%d7%9d-%d7%92%d7%99%d7%a9%d7%95%d7%a8-%d7%95%d7%92%d7%99%d7%a8","גישור-משפחתי-בישראל-ובעולם-גישור-וגיר","family-mediation-updated-trends",true,false,"גישור משפחתי בישראל ובעולם | גישור וגירושין | נתונים, התפתחות ומגמות עדכניות"
12924,ENGLISH_URL_HEBREW_SLUG,"http://jus-tice.co.il/investigations-and-intelligence-division/","%d7%90%d7%92%d7%a3-%d7%94%d7%97%d7%a7%d7%99%d7%a8%d7%95%d7%aa-%d7%95%d7%94%d7%9e%d7%95%d7%93%d7%99%d7%a2%d7%99%d7%9f-%d7%a9%d7%9c-%d7%9e%d7%a9%d7%98%d7%a8%d7%aa-%d7%99%d7%a9%d7%a8%d7%90%d7%9c","אגף-החקירות-והמודיעין-של-משטרת-ישראל","investigations-and-intelligence-division",true,false,"אגף החקירות והמודיעין של משטרת ישראל"
12921,ENGLISH_URL_HEBREW_SLUG,"http://jus-tice.co.il/top-experts-family-law/","2025-%d7%94%d7%9e%d7%95%d7%9e%d7%97%d7%99%d7%9d-%d7%94%d7%9e%d7%95%d7%91%d7%99%d7%9c%d7%99%d7%9d-%d7%91%d7%93%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94","2025-המומחים-המובילים-בדיני-משפחה","top-experts-family-law",true,false,"(2025) המומחים המובילים בדיני משפחה"
