"OldSlug","NewSlug","PostId","PostType","Status"
"article-5585","divorce-alimony-property-expert-witness-court","5585","articles","RENAMED"
"article-5957","criminal-defense-right-to-counsel-israel","5957","articles","RENAMED"
"article-6039","company-dissolution-receivership-court-order-israel","6039","articles","RENAMED"
"article-6477","civil-appeal-court-ruling-compensation-israel","6477","articles","RENAMED"
"article-3250","legal-rights-awareness-israel-guide","0","","NOT_FOUND"
"article-3069","civil-lawsuit-procedure-israel-district-court","3069","articles","RENAMED"
"article-2738","labor-law-employee-rights-israel-employment","2738","articles","RENAMED"
"article-2380","legal-forms-israel-official-government","2380","articles","RENAMED"
"article-2288","legal-contracts-obligations-israel-guide","2288","articles","RENAMED"
"article-2177","class-action-lawsuit-israel-consumer-rights","2177","articles","RENAMED"
"article-2160","criminal-procedure-rights-israel-detention","2160","articles","RENAMED"
"article-2103","criminal-law-sentencing-guidelines-israel","2103","articles","RENAMED"
"article-2031","labor-dispute-employer-employee-israel","2031","articles","RENAMED"
"article-1980","supreme-court-petition-israel-administrative","1980","articles","RENAMED"
"article-1858","real-estate-contract-buyer-seller-israel","1858","articles","RENAMED"
"article-1852","property-rights-dispute-israel-court","1852","articles","RENAMED"
"article-1827","criminal-appeal-sentencing-review-israel","1827","articles","RENAMED"
"article-1121","legal-terminology-glossary-israel-law","1121","articles","RENAMED"
"article-1706","medical-expert-testimony-malpractice-lawsuit","1706","articles","RENAMED"
"new","new-laws-israel-2025-legal-updates","1615","articles","RENAMED"
"7023-19","supreme-court-7023-19-constitutional-petition","2599","articles","RENAMED"
"52531-03-21","divorce-property-division-real-estate-ruling-52531","6644","articles","RENAMED"
"57428-12-19","rabbinical-court-divorce-verdict-57428-12-19","6558","articles","RENAMED"
"7679-12-21","family-court-ruling-7679-12-21-custody-rights","7103","articles","RENAMED"
"verdict-request","court-verdict-injunction-stickspay-communications","7090","articles","RENAMED"
"judgment-request","common-law-couple-status-private-marriage-israel","6691","articles","RENAMED"
"lawsuit-compensation","labor-court-compensation-termination-63705","7070","articles","RENAMED"
"compensation-448","personal-injury-car-accident-compensation-bus","7067","articles","RENAMED"
"verdict-rights","digital-content-rights-court-ruling-israel","0","","NOT_FOUND"
"punishment-3417","criminal-punishment-assault-verdict-3417","3417","articles","RENAMED"
"law-1962","companies-ordinance-1962-israel-corporate-law","4995","articles","RENAMED"
"regulations-2015","court-procedure-regulations-2015-israel","2015","articles","RENAMED"
"regulations-1951","criminal-procedure-ordinance-1951-israel","1951","articles","RENAMED"
"regulations-1884","ottoman-land-code-1884-israel-property","1884","articles","RENAMED"
"regulations-1879","civil-procedure-regulations-1879-ottoman-israel","1879","articles","RENAMED"
"regulations-new","updated-court-regulations-israel-2020","1943","articles","RENAMED"
"regulations-2020","emergency-regulations-covid-2020-israel","1963","articles","RENAMED"
"appeal-company","corporate-appeal-shareholder-dispute-israel","6646","articles","RENAMED"
"law-2002","arbitration-law-2002-israel-dispute-resolution","1802","articles","RENAMED"
