group,path,mapped_target,live_status,final_path,gsc_clicks,gsc_impressions,gsc_position,risk,proposed_action,required_before_action,status
clean_target,/divorce-lawyer/,/divorce-lawyer/,LIVE_PRESENT_REVIEW,/divorce-lawyer/,0,0,,LOW_UNKNOWN,UPDATE_EXISTING_PAGE_ONLY_AFTER_APPROVAL_NO_URL_CHANGE,owner_legal_source_approval; wordpress_backup,NO_GSC_ROW_IN_INPUT
clean_target,/consensual-divorce/,/consensual-divorce/,LIVE_PRESENT_REVIEW,/consensual-divorce/,0,0,,LOW_UNKNOWN,UPDATE_EXISTING_PAGE_ONLY_AFTER_APPROVAL_NO_URL_CHANGE,owner_legal_source_approval; wordpress_backup,NO_GSC_ROW_IN_INPUT
clean_target,/divorce-mediation/,/divorce-mediation/,LIVE_PRESENT_REVIEW,/divorce-mediation/,0,0,,LOW_UNKNOWN,UPDATE_EXISTING_PAGE_ONLY_AFTER_APPROVAL_NO_URL_CHANGE,owner_legal_source_approval; wordpress_backup,NO_GSC_ROW_IN_INPUT
clean_target,/divorce-property-division/,/divorce-property-division/,LIVE_PRESENT_REVIEW,/divorce-property-division/,0,0,,LOW_UNKNOWN,UPDATE_EXISTING_PAGE_ONLY_AFTER_APPROVAL_NO_URL_CHANGE,owner_legal_source_approval; wordpress_backup,NO_GSC_ROW_IN_INPUT
clean_target,/family-dispute-resolution/,/family-dispute-resolution/,LIVE_PRESENT_REVIEW,/family-dispute-resolution/,0,0,,LOW_UNKNOWN,UPDATE_EXISTING_PAGE_ONLY_AFTER_APPROVAL_NO_URL_CHANGE,owner_legal_source_approval; wordpress_backup,NO_GSC_ROW_IN_INPUT
clean_target,/child-support/,/child-support/,LIVE_PRESENT_REVIEW,/child-support/,0,0,,LOW_UNKNOWN,UPDATE_EXISTING_PAGE_ONLY_AFTER_APPROVAL_NO_URL_CHANGE,owner_legal_source_approval; wordpress_backup,NO_GSC_ROW_IN_INPUT
clean_target,/child-custody/,/child-custody/,LIVE_PRESENT_REVIEW,/child-custody/,0,0,,LOW_UNKNOWN,UPDATE_EXISTING_PAGE_ONLY_AFTER_APPROVAL_NO_URL_CHANGE,owner_legal_source_approval; wordpress_backup,NO_GSC_ROW_IN_INPUT
protected_source,/free-divorce-agreement-template/,/consensual-divorce/,PASS,/free-divorce-agreement-template/,173,35601,25.1,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,focused_gsc_export; owner_approval_before_redirect_or_retirement,GSC_ROW_FOUND
protected_source,/%D7%9E%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/,/child-support/,CONFLICT,/,16,17105,48.7,HIGH,RESTORE_OR_TARGETED_301_REVIEW_AFTER_FOCUSED_GSC,focused_gsc_export; restore_or_confirm_redirect_source; owner_approval,GSC_ROW_FOUND
protected_source,/joint-custody-shared-parenting/,/child-custody/,PASS,/joint-custody-shared-parenting/,4,16538,61.8,HIGH,KEEP_LIVE_OR_301_ONLY_AFTER_APPROVAL,focused_gsc_export; owner_approval_before_redirect_or_retirement,GSC_ROW_FOUND
