cluster,business_value,seo_value,lead_value,complexity,current_url_count,gsc_impressions_12m,gsc_clicks_12m,cannibalization_risk,category_page_status,pillar_status,homepage_space_needed,menu_space_needed,recommended_order,notes
Criminal Law,HIGH,HIGH,HIGH,MEDIUM,18+legacy,14455+,100+,HIGH (13 pages),CREATED (ID 730),LIVE (ID 857),YES,YES,1 - CURRENT,Phase 1 complete; exit review in progress
Family Law,HIGH,HIGH,HIGH,HIGH,legacy exists,,,,NOT_CREATED,NOT_STARTED,YES,YES,2,8508 imp for משמורת ילדים; high demand
Real Estate Law,HIGH,HIGH,HIGH,MEDIUM,legacy exists,11218,,HIGH (2 pages),NOT_CREATED,NOT_STARTED,YES,YES,3,11K impressions cannibalized
Divorce,HIGH,HIGH,HIGH,HIGH,legacy exists,,,,NOT_CREATED,NOT_STARTED,YES - under family,YES - under family,2b,may merge with family law or separate pillar
Medical Malpractice,HIGH,HIGH,HIGH,MEDIUM,some exists,,,,NOT_CREATED,NOT_STARTED,YES,YES,4,high CPC value
Traffic Law,MEDIUM,MEDIUM,HIGH,LOW,some exists,,,,NOT_CREATED,NOT_STARTED,YES,YES,5,overlaps with criminal driving-under-influence
Personal Injury / Tort,MEDIUM,HIGH,HIGH,MEDIUM,some exists,,,,NOT_CREATED,NOT_STARTED,YES,YES,6,
Employment / Labor Law,MEDIUM,MEDIUM,MEDIUM,MEDIUM,legacy CPT exists,,,,NOT_CREATED,NOT_STARTED,YES,YES,7,has dedicated labor_law CPT
Inheritance / Wills,MEDIUM,MEDIUM,MEDIUM,LOW,,,,,NOT_CREATED,NOT_STARTED,YES,YES,8,
Tax Law,HIGH,MEDIUM,HIGH,MEDIUM,,,,,NOT_CREATED,NOT_STARTED,YES,YES,9,overlaps with criminal tax-crimes
Notary / Foreign Documents,LOW,LOW,LOW,LOW,,,,,NOT_CREATED,NOT_STARTED,YES,YES,15,niche
National Insurance,MEDIUM,MEDIUM,MEDIUM,MEDIUM,,,,,NOT_CREATED,NOT_STARTED,YES,YES,10,
Debt Collection / Execution,MEDIUM,MEDIUM,HIGH,LOW,,,,,NOT_CREATED,NOT_STARTED,YES,YES,11,
Insolvency,MEDIUM,MEDIUM,MEDIUM,MEDIUM,,,,,NOT_CREATED,NOT_STARTED,YES,YES,12,
Administrative Law,LOW,LOW,MEDIUM,HIGH,,,,,NOT_CREATED,NOT_STARTED,YES,YES,16,
Consumer Law,LOW,MEDIUM,LOW,LOW,,,,,NOT_CREATED,NOT_STARTED,YES,YES,14,
Defamation / Privacy / Cyber,MEDIUM,MEDIUM,MEDIUM,MEDIUM,,,,,NOT_CREATED,NOT_STARTED,YES,YES,13,
Business / Commercial Law,HIGH,MEDIUM,HIGH,MEDIUM,,,,,NOT_CREATED,NOT_STARTED,YES,YES,8b,
Military Law,MEDIUM,MEDIUM,MEDIUM,LOW,,,,,NOT_CREATED,NOT_STARTED,YES,YES,5b,overlaps with criminal military
Immigration / Citizenship,LOW,LOW,LOW,MEDIUM,,,,,NOT_CREATED,NOT_STARTED,YES,YES,17,
