id,name,slug,parent,count
699,Practice Areas,practice-areas,0,0
1,Uncategorized,uncategorized,0,0
556,"בג""צ",%d7%91%d7%92%d7%a6,0,3
638,בדיקה 30/07/2021,%d7%91%d7%93%d7%99%d7%a7%d7%94-30-07-2021,0,0
551,בית הדין לעבודה,%d7%91%d7%99%d7%aa-%d7%94%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%91%d7%95%d7%93%d7%94,0,5
563,בריאות,%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa,0,4
561,דחיית מועדים,%d7%93%d7%97%d7%99%d7%99%d7%aa-%d7%9e%d7%95%d7%a2%d7%93%d7%99%d7%9d,0,0
558,הנחיות לציבור,%d7%94%d7%a0%d7%97%d7%99%d7%95%d7%aa-%d7%9c%d7%a6%d7%99%d7%91%d7%95%d7%a8,0,13
560,הקלות,%d7%94%d7%a7%d7%9c%d7%95%d7%aa,0,0
505,חדשות,news,0,7
533,חקיקת חירום קורונה,%d7%97%d7%a7%d7%99%d7%a7%d7%aa-%d7%97%d7%99%d7%a8%d7%95%d7%9d-%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94,505,13
557,כנסת,%d7%9b%d7%a0%d7%a1%d7%aa,0,2
562,מענקים,%d7%9e%d7%a2%d7%a0%d7%a7%d7%99%d7%9d,0,1
539,מעסיקים,employers,0,7
555,משבר הקורונה,%d7%9e%d7%a9%d7%91%d7%a8-%d7%94%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94,0,3
554,עובד פרילנסר,%d7%a2%d7%95%d7%91%d7%93-%d7%a4%d7%a8%d7%99%d7%9c%d7%a0%d7%a1%d7%a8,0,1
553,עצמאים,%d7%a2%d7%a6%d7%9e%d7%90%d7%99%d7%9d,0,1
540,פיטורים,dismissal,0,4
526,פסיקה,%d7%a4%d7%a1%d7%99%d7%a7%d7%94,0,3
527,צרכנות,%d7%a6%d7%a8%d7%9b%d7%a0%d7%95%d7%aa,0,2
559,תקנות,%d7%aa%d7%a7%d7%a0%d7%95%d7%aa,0,6
