id,name,slug,count
600,אובדן כושר עבודה,%d7%90%d7%95%d7%91%d7%93%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%a2%d7%91%d7%95%d7%93%d7%94,0
602,אופניים,%d7%90%d7%95%d7%a4%d7%a0%d7%99%d7%99%d7%9d,0
603,אופניים חשמליים,%d7%90%d7%95%d7%a4%d7%a0%d7%99%d7%99%d7%9d-%d7%97%d7%a9%d7%9e%d7%9c%d7%99%d7%99%d7%9d,0
547,"בג""ץ אדלשטיין",%d7%91%d7%92%d7%a5-%d7%90%d7%93%d7%9c%d7%a9%d7%98%d7%99%d7%99%d7%9f,1
529,ביטול טיסה,%d7%91%d7%99%d7%98%d7%95%d7%9c-%d7%98%d7%99%d7%a1%d7%94,1
541,הגבלת מספר העובדים במקום עבודה,%d7%94%d7%92%d7%91%d7%9c%d7%aa-%d7%9e%d7%a1%d7%a4%d7%a8-%d7%94%d7%a2%d7%95%d7%91%d7%93%d7%99%d7%9d-%d7%91%d7%9e%d7%a7%d7%95%d7%9d-%d7%a2%d7%91%d7%95%d7%93%d7%94,1
544,משבר הקורונה,%d7%9e%d7%a9%d7%91%d7%a8-%d7%94%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94,1
530,צרכנות,%d7%a6%d7%a8%d7%9b%d7%a0%d7%95%d7%aa,1
549,שיקים ללא כיסוי,%d7%a9%d7%99%d7%a7%d7%99%d7%9d-%d7%9c%d7%9c%d7%90-%d7%9b%d7%99%d7%a1%d7%95%d7%99,1
604,תאונת אופניים,%d7%aa%d7%90%d7%95%d7%a0%d7%aa-%d7%90%d7%95%d7%a4%d7%a0%d7%99%d7%99%d7%9d,0
528,תביעות קטנות,%d7%aa%d7%91%d7%99%d7%a2%d7%95%d7%aa-%d7%a7%d7%98%d7%a0%d7%95%d7%aa,1
543,תקנות שעת חירום,%d7%aa%d7%a7%d7%a0%d7%95%d7%aa-%d7%a9%d7%a2%d7%aa-%d7%97%d7%99%d7%a8%d7%95%d7%9d,2
