"source_url","target_url","redirect_type","reason","traffic_risk","gsc_clicks_12m","gsc_impressions_12m","backlink_check_needed","owner_approved","implementation_status"
"https://jus-tice.co.il/%D7%90%D7%9E%D7%A0%D7%AA-%D7%94%D7%90%D7%95%D7%9E%D7%95%D7%AA-%D7%94%D7%9E%D7%90%D7%95%D7%97%D7%93%D7%95%D7%AA-%D7%A0%D7%92%D7%93-%D7%A9%D7%97%D7%99%D7%AA%D7%95%D7%AA","","301","NEEDS_OWNER_REVIEW","LOW","4","407","YES_NEEDS_BACKLINK_TOOL","NO_PENDING","DRAFT_ONLY_DO_NOT_IMPLEMENT"
"https://jus-tice.co.il/%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%94%D7%A8%D7%A9%D7%A2%D7%94-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%94%D7%95%D7%A0%D7%90%D7%94","","301","NEEDS_OWNER_REVIEW","LOW","2","1287","YES_NEEDS_BACKLINK_TOOL","NO_PENDING","DRAFT_ONLY_DO_NOT_IMPLEMENT"
"https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%A2%D7%99%D7%95%D7%9F-%D7%91%D7%97%D7%95%D7%9E%D7%A8-%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%9C%D7%A4%D7%99-%D7%A1%D7%A2%D7%99%D7%A3-74-%D7%9C%D7%97%D7%A1%D7%93%D7%A4","","301","NEEDS_OWNER_REVIEW","LOW","10","922","YES_NEEDS_BACKLINK_TOOL","NO_PENDING","DRAFT_ONLY_DO_NOT_IMPLEMENT"
"https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%AA-%D7%A0%D7%A4%D7%92%D7%A2-%D7%A2%D7%91%D7%99%D7%A8%D7%94-%D7%9E%D7%99%D7%93%D7%A2-%D7%90%D7%A9%D7%A4%D7%95%D7%96%D7%95-%D7%A9%D7%9C-%D7%A0%D7%90%D7%A9%D7%9D-%D7%91%D7%91%D7%99%D7%AA-%D7%97%D7%95%D7%9C%D7%99%D7%9D","","301","NEEDS_OWNER_REVIEW","LOW","0","13","YES_NEEDS_BACKLINK_TOOL","NO_PENDING","DRAFT_ONLY_DO_NOT_IMPLEMENT"
"https://jus-tice.co.il/%D7%92%D7%96%D7%93-%D7%A2%D7%95%D7%A0%D7%A9-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%9C%D7%A7%D7%98%D7%99%D7%9F-%D7%9E%D7%AA%D7%97%D7%AA-%D7%9C16-%D7%A9%D7%91%D7%99%D7%A6%D7%A2-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%99%D7%9F-%D7%AA%D7%A4%D7%97-39000-05-21","","301","NEEDS_OWNER_REVIEW","LOW","19","1302","YES_NEEDS_BACKLINK_TOOL","NO_PENDING","DRAFT_ONLY_DO_NOT_IMPLEMENT"
"https://jus-tice.co.il/%D7%92%D7%96%D7%A8-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A0%D7%90%D7%A9%D7%9D-%D7%A2%D7%91%D7%99%D7%A8%D7%AA-%D7%AA%D7%A7%D7%99%D7%A4%D7%AA-%D7%90%D7%99%D7%A9%D7%94-%D7%95%D7%91%D7%AA","","301","NEEDS_OWNER_REVIEW","MEDIUM","42","1604","YES_NEEDS_BACKLINK_TOOL","NO_PENDING","DRAFT_ONLY_DO_NOT_IMPLEMENT"
"https://jus-tice.co.il/%D7%93%D7%99%D7%9C%D7%9E%D7%AA-%D7%90%D7%A1%D7%99%D7%A8-%D7%97%D7%A3-%D7%9E%D7%A4%D7%A9%D7%A2","","301","NEEDS_OWNER_REVIEW","LOW","10","489","YES_NEEDS_BACKLINK_TOOL","NO_PENDING","DRAFT_ONLY_DO_NOT_IMPLEMENT"
"https://jus-tice.co.il/%D7%93%D7%A8%D7%A2%D7%99-%D7%92%D7%96%D7%A8-%D7%93%D7%99%D7%9F-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%A1-%D7%94%D7%A1%D7%93%D7%A8-%D7%98%D7%99%D7%A2%D7%95%D7%9F","","301","NEEDS_OWNER_REVIEW","LOW","11","1224","YES_NEEDS_BACKLINK_TOOL","NO_PENDING","DRAFT_ONLY_DO_NOT_IMPLEMENT"
"https://jus-tice.co.il/%D7%94%D7%94%D7%9C%D7%99%D7%9A-%D7%94%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A4%D7%A8%D7%A7%D7%9C%D7%99%D7%98%D7%95%D7%AA-%D7%94%D7%9E%D7%93%D7%99%D7%A0%D7%94-%D7%9E%D7%95%D7%9C-%D7%97%D7%98%D7%99%D7%91%D7%AA-%D7%AA%D7%91%D7%99%D7%A2%D7%95%D7%AA-%D7%94%D7%9E%D7%A9%D7%98%D7%A8%D7%94","","301","NEEDS_OWNER_REVIEW","MEDIUM","71","5781","YES_NEEDS_BACKLINK_TOOL","NO_PENDING","DRAFT_ONLY_DO_NOT_IMPLEMENT"
"https://jus-tice.co.il/%D7%94%D7%97%D7%95%D7%91%D7%94-%D7%9C%D7%90%D7%A4%D7%A9%D7%A8-%D7%A1%D7%A0%D7%99%D7%92%D7%95%D7%A8-%D7%9C%D7%99%D7%99%D7%A2%D7%A5-%D7%9C%D7%90%D7%A1%D7%99%D7%A8-%D7%A2%D7%A6%D7%95%D7%A8-%D7%91%D7%91%D7%99%D7%AA-%D7%94%D7%9B%D7%9C%D7%90","","301","NEEDS_OWNER_REVIEW","LOW","3","631","YES_NEEDS_BACKLINK_TOOL","NO_PENDING","DRAFT_ONLY_DO_NOT_IMPLEMENT"
