"original_path","archive_path","file_name","file_type","file_size","modified_time","reason_for_archive","checksum_sha256","copied_successfully","notes"
"C:\Users\pro\justice\project-control\blockers.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","blockers.md",".md","2178","2026-05-10 14:07:36","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\business-model-review.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","business-model-review.md",".md","4029","2026-05-10 12:53:55","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\button-audit.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","button-audit.csv",".csv","68","2026-05-09 13:00:37","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\category-audit.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","category-audit.csv",".csv","1089","2026-05-09 12:43:00","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\changelog.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","changelog.md",".md","2384","2026-05-12 13:08:20","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\cms-audit.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","cms-audit.md",".md","5728","2026-05-10 14:05:12","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\cms-checklist.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","cms-checklist.csv",".csv","3043","2026-05-09 14:32:19","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\cms-review.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","cms-review.md",".md","2795","2026-05-10 12:54:45","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\competitor-analysis.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","competitor-analysis.md",".md","3489","2026-05-10 12:53:58","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\competitor-element-analysis.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","competitor-element-analysis.md",".md","5209","2026-05-09 14:26:54","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\current-status.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","current-status.md",".md","3627","2026-05-09 10:21:56","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\customer-facing-review.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","customer-facing-review.md",".md","3383","2026-05-10 12:54:23","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\decisions.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","decisions.md",".md","1472","2026-05-08 21:57:56","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\deep-dive-audit-v2.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","deep-dive-audit-v2.md",".md","15271","2026-05-10 13:53:51","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\demo-readiness.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","demo-readiness.md",".md","1653","2026-05-08 21:58:17","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\design-research-notes.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","design-research-notes.md",".md","2393","2026-05-09 12:42:49","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\frontend-cms-map.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","frontend-cms-map.md",".md","5806","2026-05-10 14:08:09","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\full-inventory.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","full-inventory.csv",".csv","516487","2026-05-12 12:56:55","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\full-review.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","full-review.md",".md","4017","2026-05-10 12:56:09","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\gsc-api-setup-guide.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","gsc-api-setup-guide.md",".md","4327","2026-05-12 10:19:11","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\homepage-visual-assets.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","homepage-visual-assets.md",".md","3494","2026-05-11 18:30:13","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\homepage-visual-cms-map.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","homepage-visual-cms-map.md",".md","3256","2026-05-11 17:53:05","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\lawyer-seed.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","lawyer-seed.csv",".csv","2238","2026-05-08 23:39:48","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\lawyer-system-audit.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","lawyer-system-audit.md",".md","4016","2026-05-10 14:07:24","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\legal-tech-opportunity-map.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","legal-tech-opportunity-map.md",".md","3253","2026-05-10 12:54:20","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\linear-sync.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","linear-sync.md",".md","936","2026-05-08 21:59:29","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\logo-audit.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","logo-audit.md",".md","3203","2026-05-10 14:08:35","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\menu-audit.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","menu-audit.md",".md","3791","2026-05-10 14:05:28","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\mobile-polish-checklist.csv","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","mobile-polish-checklist.csv",".csv","3447","2026-05-09 13:41:45","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
"C:\Users\pro\justice\project-control\mobile-visual-qa.md","c:\Users\pro\justice\arch-archive\2026-05-13-project-consolidation","mobile-visual-qa.md",".md","4744","2026-05-09 13:41:23","Old project-control folder - superseded by emergency master 2026-05-13","NOT_COMPUTED","DOCUMENTED_NOT_MOVED","Files remain in original location - move only after owner confirmation"
