query,clicks,impressions,ctr,position
פוסטה פשע,7,4125,0.17,5.7
להב 433 טלפון,6,202,2.97,5.3
חוזה שכירות אונליין,4,435,0.92,6.1
יקי גולד,4,30,13.33,3.7
תוצרת כחול לבן טלגרם,4,1098,0.36,4.8
בגץ הבוגדת,3,12,25.0,7.2
הלכת אלקצאצי,3,44,6.82,2.7
טוען רבני דוד עשור,3,22,13.64,25
פוסטה פלילי,3,2493,0.12,6.4
פוסטה פלילים,3,873,0.34,5.0
אריאל ממן שופט,2,25,8.0,9.1
הסכם גירושין,2,1297,0.15,8.3
ורד ריקנטי רוסהר,2,22,9.09,8.9
יחידות משרד המשפטים,2,44,4.55,8.9
מבנה ארגוני משרד המשפטים,2,13,15.38,7.2
מה ההבדל בין חכירה להשכרה,2,18,11.11,9.8
ממשלת פורטוגל,2,19,10.53,5.1
משה מזור עורך דין,2,3,66.67,16
נוטריון ישראלי בניו יורק,2,25,8.0,6.8
עורך דין פלילי מחירון,2,43,4.65,3.0
פוסטה פשע בצפון,2,187,1.07,6.2
פישר עורכי דין,2,25,8.0,9.5
רשימת מומחים רפואיים מטעם בית המשפט,2,9,22.22,7.6
ששי גז מחיר,2,74,2.7,7.7
gov אישור משטרה,1,2,50.0,24
marvad,1,79,1.27,7.2
אזהרת מירנדה,1,27,3.7,4.6
אזרחות יוונית לישראלים,1,9,11.11,7.2
אחוז הגירושין בישראל 2025,1,53,1.89,5.3
איזה סוגי עורכי דין יש,1,5,20.0,7.4
אירית קלמן ברום,1,15,6.67,8.4
אישור בגיר,1,4,25.0,14.8
אישור משטרה אונליין,1,4,25.0,18.5
אישור משטרה לבגיר,1,5,20.0,8.8
אלעד פרסקי,1,2,50.0,15.5
אמיר אלירז,1,2,50.0,16.5
אפרת ונקרט,1,11,9.09,10.8
אתר מרב ד,1,2,50.0,28.5
בגידה,1,17,5.88,46.2
בדיקת עורך דין,1,23,4.35,6.9
בקשה לסעד דחוף לפי תקנה 12,1,1,100,21
בקשה לקבלת אישור משטרה על היעדר עבירות אלימות,1,48,2.08,8.3
בקשה לקבלת אישור משטרה על היעדר עבירות מין,1,18,5.56,8.8
בקשה לתעודה מידע פלילי,1,4,25.0,10.2
בקשה לתעודת מידע פלילי,1,128,0.78,9.6
בתים לשיפוץ ביוון,1,5,20.0,7.6
דוגמא להסכם גירושין,1,80,1.25,20.6
דוגמא לתצהיר,1,43,2.33,16.7
דוגמא לתקנון שימוש,1,20,5.0,4
דרכון פורטוגלי עורך דין,1,18,5.56,32
הגשת בקשה לבית המשפט,1,4,25.0,14.5
הוצאת תעודת יושר,1,82,1.22,17.6
הוראות תע ס סדרי דין,1,9,11.11,9.1
הילה גורביץ עובדיה,1,18,5.56,8.4
הלכת רמי מור,1,14,7.14,7.9
המטה הארצי משטרת ישראל טלפון,1,2,50.0,39.5
הסכם גירושין דוגמא doc,1,40,2.5,4.0
הסכם גירושין להורדה בחינם,1,62,1.61,15.6
הסכמה,1,123,0.81,8.8
הצהרת אבהות ברבנות,1,5,20.0,8
השופטת אורית בן דור ליבל,1,48,2.08,6.9
השופטת הילה מלר שלו,1,3,33.33,8.3
השופטת ענת הלר כריש,1,8,12.5,5.4
חגית מטלין שופטת,1,17,5.88,6.7
חדשות וואלה פלילים פוסטה,1,6,16.67,9
חדשות פלילים פוסטה,1,319,0.31,6.6
חיפוש עורך דין,1,150,0.67,7.2
חיפוש עורך דין לפי שם,1,234,0.43,7.4
חנה פלינר שופטת,1,1,100,44
יובל כרמי פסק דין,1,1,100,3
יחידת אתגר טלפון,1,15,6.67,4.9
יחסי פורטוגל ישראל,1,36,2.78,4.6
יניב הלר,1,1,100,70
יעל בלכר,1,2,50.0,40
יעל ייטב,1,22,4.55,13.3
ישראל בן ברוך טוען רבני,1,14,7.14,7.9
כלב מסוכן,1,153,0.65,2.3
כמה עולה דירה בקפריסין,1,22,4.55,21.6
