batch_id,id,current_url,title,word_count,current_cluster_signal,proposed_role,canonical_category,url_strategy,content_quality_decision,internal_link_decision,sitemap_decision,redirect_decision,status,notes
TRAFFIC-UPLOAD-001,1751,https://jus-tice.co.il/traffic-lawyer/,עורך דין תעבורה,1399,traffic-law,PILLAR_CANDIDATE,traffic-law,KEEP_CURRENT_URL,EXPAND_PILLAR,"Link to all approved support pages; supports link back",INCLUDE_AFTER_OWNER_APPROVAL,NO_REDIRECT,READY_FOR_OWNER_REVIEW,"Current no-URL-change pillar candidate; needs stronger service structure and mobile/CTA review."
TRAFFIC-UPLOAD-002,834,https://jus-tice.co.il/driving-under-the-influence/,נהיגה בשכרות,516,traffic-law,CORE_SUPPORT_DRUNK_DRIVING,traffic-law,KEEP_CURRENT_URL_FOR_NOW,EXPAND_SUPPORT,"Link to traffic pillar, refusal/testing, breathalyzer, license suspension",INCLUDE_AFTER_EXPANSION,NO_REDIRECT_NOW_FUTURE_DRUNK_DRIVING_BLOCKED,READY_FOR_OWNER_REVIEW,"Do not create duplicate /drunk-driving/ until migration is approved."
TRAFFIC-UPLOAD-003,823,https://jus-tice.co.il/dui-refusal-blood-breath-urine-test/,סירוב לבדיקת שכרות,505,traffic-law,CORE_SUPPORT_TEST_REFUSAL,traffic-law,KEEP_OR_MERGE_REVIEW,EXPAND_OR_MERGE_WITH_DRUNK_DRIVING,"Link to drunk-driving, breathalyzer, traffic pillar",HOLD_UNTIL_EXPANDED_OR_MERGED,FUTURE_MERGE_REVIEW,NEEDS_REVIEW,"Thin but important drunk-driving support intent."
TRAFFIC-UPLOAD-004,3310,https://jus-tice.co.il/yanshuf-breathalyzer-test/,מכשיר הינשוף,484,traffic-law,CORE_SUPPORT_BREATHALYZER,traffic-law,KEEP_OR_MERGE_REVIEW,EXPAND_OR_MERGE_WITH_BREATHALYZER_GROUP,"Link to drunk-driving, refusal/testing, traffic pillar",HOLD_UNTIL_EXPANDED_OR_MERGED,FUTURE_MERGE_REVIEW,NEEDS_REVIEW,"Thin support page; useful for semantic cluster if rewritten."
TRAFFIC-UPLOAD-005,3315,https://jus-tice.co.il/blood-alcohol-content-breathalyzer/,מַד שִׁכּוֹרוּת | בודק נשימה ראייתי,5641,traffic-law,REFERENCE_SUPPORT_BREATHALYZER,traffic-law,KEEP_OR_CONSOLIDATE_REVIEW,REWRITE_AS_PRACTICAL_SUPPORT_OR_SOURCE,"Link to yanshuf, refusal/testing, drunk-driving, traffic pillar",INCLUDE_ONLY_IF_REFRAMED,FUTURE_MERGE_REVIEW,NEEDS_REVIEW,"Long informational page; should become practical legal support or be consolidated."
TRAFFIC-UPLOAD-006,839,https://jus-tice.co.il/speeding/,מהירות מופרזת,536,traffic-law,CORE_SUPPORT_SPEEDING,traffic-law,KEEP_CURRENT_URL,EXPAND_SUPPORT,"Link to traffic pillar and license suspension/points",INCLUDE_AFTER_EXPANSION,NO_REDIRECT,READY_FOR_OWNER_REVIEW,"Thin but clean support candidate."
TRAFFIC-UPLOAD-007,3254,https://jus-tice.co.il/medical-institute-for-road-safety/,המכון הרפואי לבטיחות בדרכים,558,traffic-law,CORE_SUPPORT_MARVAD,traffic-law,KEEP_CURRENT_URL,EXPAND_SUPPORT,"Link to traffic pillar, medical fitness pages, license suspension",INCLUDE_AFTER_EXPANSION,NO_REDIRECT,READY_FOR_OWNER_REVIEW,"Important driver medical fitness support topic."
TRAFFIC-UPLOAD-008,3263,https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,מה זה מרב״ד?- מידע על המכון הרפואי לבטיחות בדרכים,440,traffic-law,MERGE_OR_SUPPORT_MARVAD,traffic-law,MERGE_REVIEW,MERGE_OR_REWRITE,"Link only after deciding primary Marvad page",HOLD_UNTIL_MERGE_DECISION,FUTURE_REDIRECT_TO_MARVAD_POSSIBLE,NEEDS_REVIEW,"Thin duplicate-adjacent Marvad support."
TRAFFIC-UPLOAD-009,3265,https://jus-tice.co.il/standards-of-medical-fitness-to-drive/,תקנים מעודכנים להתאמה רפואית לנהיגה מרב”ד,23220,traffic-law,SOURCE_REFERENCE_MARVAD,traffic-law,KEEP_AS_REFERENCE_OR_SPLIT_REVIEW,REWRITE_WITH_SUMMARY_AND_SOURCE_LINKS,"Link to Marvad primary and traffic pillar",INCLUDE_ONLY_IF_USER_FRIENDLY,NO_REDIRECT_NOW,NEEDS_REVIEW,"Very long reference page; useful but not user-friendly as-is."
TRAFFIC-UPLOAD-010,2124,https://jus-tice.co.il/driver-with-36-valid-points-or-more-will-be-disqualified-from-holding-a-drivers-license/,נהג שלחובתו רשומות 36 נקודות תקפות או יותר ייפסל מלהחזיק ברישיון נהיגה למשך 3 חודשים,84,traffic-law,LICENSE_POINTS_SUPPORT,traffic-law,FUTURE_LICENSE_SUSPENSION_SUPPORT,MERGE_INTO_LICENSE_SUSPENSION,"Link to traffic pillar after consolidation",HOLD_OUT_THIN,FUTURE_REDIRECT_OR_MERGE,NEEDS_REVIEW,"Extremely thin; should feed license-suspension/points support."
