asset_id,item_type,current_url_or_reference,related_clean_page,current_signal,current_decision,allowed_first_wave_use,blocked_actions,approval_status,execution_status,next_step
FD-ASSET-001,document_pdf,https://jus-tice.co.il/wp-content/uploads/2022/06/misradhamishpatim-women.pdf,/divorce-lawyer/,45 GSC browser impressions for divorce lawyer query,PROTECT_DOCUMENT,Source context only after review,remove noindex redirect delete replace promote_as_related_card,OWNER_AND_GSC_API_REQUIRED,NOT_EXECUTED,Review with GSC API and decide HTML wrapper or download warning
FD-ASSET-002,document_docx,https://jus-tice.co.il/wp-content/uploads/2021/03/%D7%A0%D7%95%D7%A1%D7%97-%D7%94%D7%A1%D7%9B%D7%9D-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%93%D7%95%D7%92%D7%9E%D7%90-2021.docx,/divorce-mediation/,Visible mediation agreement demand in planning maps,PROTECT_TEMPLATE_DOC,Conditional link only with warning after review,promote_as_safe_template remove noindex redirect delete replace,OWNER_LEGAL_AND_GSC_API_REQUIRED,NOT_EXECUTED,Decide DOCX warning or HTML checklist replacement later
FD-ASSET-003,tool_old_url,https://jus-tice.co.il/%D7%9E%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/,/child-support/,GSC browser evidence 160 plus 131 plus 70 impressions for support calculation calculator demand,PROTECT_TOOL_INTENT,Keep live as old tool intent URL during first upload,redirect noindex delete binding_calculator_claim formula_claim,OWNER_LEGAL_AND_GSC_API_REQUIRED,NOT_EXECUTED,Plan future informational intake or calculator-safe page
FD-ASSET-004,case_law,/psakdin/...919-15...,/child-support/,Exported about 39818 words and strong case-law source depth,KEEP_CASE_SUPPORT,Context source only after guide/source review,merge_into_broad_guide redirect delete noindex,OWNER_REVIEW_REQUIRED,NOT_EXECUTED,Keep separate and summarize doctrine later if approved
FD-ASSET-005,article_old_url,https://jus-tice.co.il/what-is-child-custody/,/child-custody/,GSC browser evidence 400 impressions for custody query,PROTECT_COMPARE,Keep live and compare before merge decision,redirect noindex delete overwrite,OWNER_AND_GSC_API_REQUIRED,NOT_EXECUTED,Compare with clean custody guide after API export
FD-ASSET-006,document_pdf,https://jus-tice.co.il/wp-content/uploads/2021/07/ChildCustody.pdf,/child-custody/,GSC browser evidence 297 impressions for custody query,PROTECT_DOCUMENT,Keep live during first upload,remove noindex robots_block redirect replace,OWNER_AND_GSC_API_REQUIRED,NOT_EXECUTED,Consider HTML equivalent or approved download context later
FD-ASSET-007,case_law,REFERENCE:SOLE-MOTHER-CUSTODY-CASE-GSC-001,/child-custody/,GSC browser evidence 107 impressions and average position 9.6,PROTECT_CASE_SUPPORT,Keep live as case-law support,redirect noindex delete title_change retarget_to_broad_guide,OWNER_AND_GSC_API_REQUIRED,NOT_EXECUTED,Confirm exact URL and decide summary or support link later
FD-ASSET-008,support_page,/divorce-consultation-guide/,/divorce-lawyer/,Consultation support role from duplicate comparison,KEEP_SUPPORT,Support link after final pillar approval,merge_into_pillar_without_review redirect delete,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,Use as support if final draft needs consultation detail
FD-ASSET-009,legacy_support,REFERENCE:MEDIATION_PROS_CONS_LEGACY,/divorce-mediation/,Legacy mediation material referenced in readiness plan,COMPARE_MERGE_LATER,Source material only,redirect delete noindex before comparison,OWNER_REVIEW_REQUIRED,NOT_EXECUTED,Compare with clean mediation guide before merge
FD-ASSET-010,legacy_support,REFERENCE:MEDIATION_BASICS_LEGACY,/divorce-mediation/,Legacy mediation basics referenced in readiness plan,COMPARE_MERGE_LATER,Source material only,redirect delete noindex before comparison,OWNER_REVIEW_REQUIRED,NOT_EXECUTED,Compare with clean mediation guide before merge
