"rule_id","status","field","requirement","failure_result","public_change_boundary"
"LPV-001","VERIFIED_TOOLING","file_path","Private filled prospect CSV should be outside the repo by default.","BLOCKED_PRIVATE_DATA_PATH_IN_REPO","No public change"
"LPV-002","VERIFIED_TOOLING","headers","CSV must include all first-wave template headers.","MISSING_REQUIRED_HEADER","No public change"
"LPV-003","VERIFIED_TOOLING","row_count","First wave should normally contain exactly 20 rows.","ROW_COUNT_NOT_20 warning","No public change"
"LPV-004","VERIFIED_TOOLING","slot","Slots must be positive unique integers, normally 1 through 20.","INVALID_SLOT, DUPLICATE_SLOT or MISSING_EXPECTED_SLOT","No public change"
"LPV-005","VERIFIED_TOOLING","practice_area","Practice area must match approved first-wave taxonomy values.","INVALID_PRACTICE_AREA","No public change"
"LPV-006","VERIFIED_TOOLING","private_completeness","Actual private list mode requires city, lawyer name and contact source.","MISSING_CITY, MISSING_LAWYER_NAME or MISSING_CONTACT_SOURCE","No public change"
"LPV-007","VERIFIED_TOOLING","google_review_count","Google review count must be blank or a non-negative integer.","INVALID_REVIEW_COUNT","No public change"
"LPV-008","VERIFIED_TOOLING","date_fields","Latest review and next follow-up dates must be blank or YYYY-MM-DD.","INVALID_LATEST_REVIEW_DATE or INVALID_NEXT_FOLLOWUP_DATE","No public change"
"LPV-009","VERIFIED_TOOLING","has_website,has_profile_photo","Allowed values are yes, no or unknown.","INVALID_HAS_WEBSITE or INVALID_HAS_PROFILE_PHOTO","No public change"
"LPV-010","VERIFIED_TOOLING","plan_fit,outreach_status","Plan and outreach status must use approved values.","INVALID_PLAN_FIT or INVALID_OUTREACH_STATUS","No public change"
"LPV-011","VERIFIED_TOOLING","report","Validation report must be sanitized and contain issue rows only, not private lawyer/contact values.","BLOCKED_IF_PRIVATE_VALUES_ADDED","No public change"
