queue_id,current_or_planned_url,role,priority,outline_type,proposed_status,next_required_check,required_sources,legal_review_required,owner_approval_required,url_change_allowed,public_execution_allowed,notes
CPO-001,https://jus-tice.co.il/cyber-lawyer/,current_primary_candidate,CRITICAL,primary_service_refresh_outline,OUTLINE_ONLY_BLOCKED,Compare against Hebrew cyber-lawyer role page and cybercrime support page,"Cyber reporting; CERT; Computer Law; Privacy breach reporting",YES,YES,NO,NO,"Keep current URL/title/H1/meta/content until approved"
CPO-002,https://jus-tice.co.il/תפקידם-של-עורכי-דין-בתחום-הסייבר/,possible_duplicate_or_support,HIGH,merge_or_support_outline,OUTLINE_ONLY_BLOCKED,Exact URL verification and side-by-side content extraction,"Cyber reporting; Computer Law; Privacy sources where relevant",YES,YES,NO,NO,"Protect Hebrew URL before any merge or redirect"
CPO-003,https://jus-tice.co.il/cybercrime-lawyer-roll/,support_boundary,HIGH,support_article_outline,OUTLINE_ONLY_BLOCKED,Criminal/cyber boundary review,"Computer Law; police complaint service; cyber reporting where relevant",YES,YES,NO,NO,"Do not make primary by default"
CPO-004,https://jus-tice.co.il/cyber-laws/,informational_support,HIGH,informational_guide_outline,OUTLINE_ONLY_BLOCKED,Service-vs-information cannibalization review,"Computer Law; Privacy Protection Law; information-security regulations",YES,YES,NO,NO,"Frame as guide, not service pillar"
CPO-005,https://jus-tice.co.il/what-is-cyberattack/,support_guide,HIGH,practical_incident_outline,OUTLINE_ONLY_BLOCKED,Source-backed practical checklist review,"National Cyber Directorate; CERT; Privacy breach reporting",YES,YES,NO,NO,"Good lower-risk support candidate after approval"
CPO-006,old Hebrew privacy-injury URL,protected_privacy_support,HIGH,protected_rewrite_outline,OUTLINE_ONLY_BLOCKED,Exact URL verification and compare with thin privacy/case pages,"Privacy breach reporting; Privacy Law; information-security regulations",YES,YES,NO,NO,"Protect existing GSC impressions"
CPO-007,https://jus-tice.co.il/articles/פגיעה-בפרטיות-סקירת-המסגרת-הנורמטיבי/,thin_support,MEDIUM,expand_or_merge_outline,OUTLINE_ONLY_BLOCKED,Compare with old privacy-injury page,"Privacy Protection Council; Privacy Law; PPA services",YES,YES,NO,NO,"Likely merge/support after review"
CPO-008,https://jus-tice.co.il/police-records-data-deletion/,boundary_page,HIGH,boundary_classification_outline,OUTLINE_ONLY_BLOCKED,Find exact official procedure source,"Exact police/criminal-record source still needed; privacy sources if relevant",YES,YES,NO,NO,"Do not mix with Google/platform removal"
CPO-009,PLANNED_OR_EXISTING_TO_VERIFY,online_reputation_boundary,MEDIUM,research_before_outline,RESEARCH_BLOCKED,Run GSC/SERP and existing-page check,"Defamation Law PDFs; Google removal process; police source if threats/crime",YES,YES,NO,NO,"No new page yet"
CPO-010,PLANNED_SECTION_NO_URL,google_platform_removal_section,MEDIUM,section_outline,SECTION_ONLY_BLOCKED,Editorial/legal review of no-guarantee language,"Google personal information removal; Google legal/privacy removal",YES,YES,NO,NO,"Section only; not a standalone page yet"
CPO-011,PLANNED_SECTION_NO_URL,data_breach_reporting_section,HIGH,section_outline,SECTION_ONLY_BLOCKED,Confirm reporting-duty wording with legal review,"Privacy breach reporting; information-security regulations; cyber event report",YES,YES,NO,NO,"Section only; not a standalone page yet"
CPO-012,https://jus-tice.co.il/cyber-insurance/,business_support,MEDIUM,business_risk_support_outline,OUTLINE_ONLY_BLOCKED,Separate legal risk from insurance advice,"Cyber reporting; Privacy breach reporting; policy-specific sources if supplied",YES,YES,NO,NO,"Avoid policy coverage guarantees"
CPO-013,https://jus-tice.co.il/cybersex-trafficking/,sensitive_criminal_boundary,MEDIUM,sensitive_boundary_outline,OUTLINE_ONLY_BLOCKED,Sensitive content and criminal-law review,"Police complaint service; criminal-law sources; cyber/privacy only if relevant",YES,YES,NO,NO,"No graphic or invented examples"
CPO-014,https://jus-tice.co.il/fbi-cyber-division/,international_context_support,LOW,context_support_outline,OUTLINE_ONLY_BLOCKED,Local relevance and support-role review,"FBI/source context if retained; Israeli cyber service context",YES,YES,NO,NO,"Do not use as Israeli primary pillar"
