"item_id","page","field","current_live_issue","recommended_value","verification_status","approval_status","notes"
"MQ-EDIT-001","/real-estate-attorney/","page_role","High-impression real-estate money URL uses keyword-stack/trust-claim framing","Primary commercial hub for real-estate lawyer matching while support pages keep guide transaction registration and price intent","VERIFIED PLANNING","OWNER_APPROVAL_REQUIRED","Preserve URL and self-canonical"
"MQ-EDIT-002","/real-estate-attorney/","seo_title","Current title includes מומלץ and ייעוץ חינם claim risk","עורך דין מקרקעין: קנייה, מכירה, חוזים ורישום זכויות | Jus-Tice","VERIFIED PLANNING","OWNER_APPROVAL_REQUIRED","Avoid fake trust and unverified offer claims"
"MQ-EDIT-003","/real-estate-attorney/","h1","Current H1 reads as keyword stack","עורך דין מקרקעין לקנייה, מכירה ורישום נכס","VERIFIED PLANNING","OWNER_APPROVAL_REQUIRED","Commercial but factual"
"MQ-EDIT-004","/real-estate-attorney/","meta_description","Needs practical transaction intent","מדריך מעשי למציאת עורך דין מקרקעין: בדיקות לפני קנייה או מכירה, חוזה, טאבו, מיסוי, מסירה מקבלן ומתי לפנות לייעוץ משפטי.","VERIFIED PLANNING","OWNER_APPROVAL_REQUIRED","Snippet matches user intent"
"MQ-EDIT-005","/real-estate-attorney/","intro_block","Current above-fold intent needs clearer user path","Explain transaction checks: rights ownership registration liens permits taxes delivery dates and document risk before signing","VERIFIED PLANNING","OWNER_APPROVAL_REQUIRED","Exact HTML block is in MD package"
"MQ-EDIT-006","/real-estate-attorney/","cta_block","Needs lead path without guarantee or fake free-consultation claim","Ask for transaction type property location and current stage; disclose no guaranteed legal result and no substitute for private advice","VERIFIED PLANNING","OWNER_APPROVAL_REQUIRED","Exact HTML block is in MD package"
"MQ-EDIT-007","/real-estate-attorney/","internal_links","Support/hub structure needs stronger crawlable links","/real-estate-lawyer-guide/; /lawyer-for-buying-or-selling-a-house/; /registration-of-real-estate-israel/; /real-estate-lawyer-cost-2025/; /lawyers/?area=real-estate-law","VERIFIED 200 TARGETS","OWNER_APPROVAL_REQUIRED","Use descriptive Hebrew anchors"
"MQ-EDIT-008","/real-estate-attorney/","blocked_language","Current wording has trust/offer risk","Do not use מומלץ הכי טוב מוביל אמין ייעוץ חינם or guaranteed-result wording unless separately substantiated and approved","VERIFIED PLANNING","BLOCKED","Compliance and trust guardrail"
"MQ-EDIT-009","/criminal-defense-attorney/","page_role","High-impression criminal-law URL reads more like broad guide than urgent commercial hub","Primary criminal defense hub for investigation arrest hearing indictment criminal-record and lawyer-routing intent","VERIFIED PLANNING","OWNER_APPROVAL_REQUIRED","Preserve URL and self-canonical"
"MQ-EDIT-010","/criminal-defense-attorney/","seo_title","Current title is too broad and misses urgent sub-intents","עורך דין פלילי: חקירה, מעצר, שימוע וכתב אישום | Jus-Tice","VERIFIED PLANNING","OWNER_APPROVAL_REQUIRED","Matches money-query and urgent-intent layers"
"MQ-EDIT-011","/criminal-defense-attorney/","h1","Current H1 says complete guide rather than immediate legal need","עורך דין פלילי לפני חקירה, מעצר או כתב אישום","VERIFIED PLANNING","OWNER_APPROVAL_REQUIRED","Keeps page commercial and practical"
"MQ-EDIT-012","/criminal-defense-attorney/","meta_description","Needs practical criminal-process intent","מדריך מעשי למי שצריך עורך דין פלילי: זכויות לפני חקירה, מעצר, שימוע, כתב אישום, רישום פלילי ומה להכין לפני פנייה.","VERIFIED PLANNING","OWNER_APPROVAL_REQUIRED","No outcome promise"
"MQ-EDIT-013","/criminal-defense-attorney/","intro_block","Above-fold content should address urgent first decisions","Explain summons investigation arrest case opening indictment hearing and rights before giving a statement or signing documents","VERIFIED PLANNING","OWNER_APPROVAL_REQUIRED","Exact HTML block is in MD package"
"MQ-EDIT-014","/criminal-defense-attorney/","cta_block","Needs lead path without fear marketing or promise","Ask for stage of proceeding suspected offense and urgency; disclose no guaranteed result and no substitute for private legal advice","VERIFIED PLANNING","OWNER_APPROVAL_REQUIRED","Exact HTML block is in MD package"
"MQ-EDIT-015","/criminal-defense-attorney/","internal_links","Support/hub structure needs stronger crawlable links","/police-investigation-rights/; /criminal-lawyer-cost/; /apply-for-police-criminal-information-certificates/; /sex-crime-lawyer/; /drug-related-crime/; /lawyers/?area=criminal-law","VERIFIED 200 TARGETS","OWNER_APPROVAL_REQUIRED","Avoid /articles/criminal-indictment/ because it redirects"
"MQ-EDIT-016","/criminal-defense-attorney/","sensitive_topic_guard","Criminal-law content has YMYL and reputational risk","Use cautious language; distinguish general information from legal advice; avoid sensational language and guaranteed outcomes","VERIFIED PLANNING","BLOCKED","Legal/source review needed before public edit"
"MQ-EDIT-017","both","upload_order","Public edit should be staged and measurable","Apply real-estate first then criminal after backup and QA; monitor GSC after recrawl","VERIFIED PLANNING","OWNER_APPROVAL_REQUIRED","No public upload this cycle"
"MQ-EDIT-018","both","live_change_status","None","No CMS title H1 body meta URL canonical redirect sitemap taxonomy link or schema change was executed","VERIFIED","N/A","Repo-only planning and read-only live checks"
