id,area,question,finding,status,severity,verified_or_inferred,evidence,recommended_fix,
1,practice-areas,Is practice-areas registered?,"Yes. Registered as hierarchical taxonomy, slug practice-areas, rest_base practice-areas.",OK,-,VERIFIED,Live REST /wp-json/wp/v2/taxonomies,None,
2,practice-areas,Is practice-areas attached to articles?,"Yes. Live taxonomy object types = articles, post, justice_lawyer.",OK,-,VERIFIED,Live REST /wp-json/wp/v2/taxonomies,None,
3,practice-areas,Is practice-areas attached to post?,Yes. Present in live object types.,OK,-,VERIFIED,Live REST /wp-json/wp/v2/taxonomies,None,
4,practice-areas,Is practice-areas attached to justice_lawyer?,Yes on live right now. Also hardened by theme safety net in inc/taxonomy-seed.php (init priority 99).,OK,-,VERIFIED,Live REST taxonomies + Nahari 19309 returns practice-areas field,Fix applied: justice_theme_ensure_core_taxonomy_objects() now guarantees this every load,
5,practice-areas,Is practice-areas exposed in REST?,"Yes. show_in_rest true, rest_base practice-areas, returned on justice_lawyer items.",OK,-,VERIFIED,Live REST taxonomies + justice_lawyer/19309,None,
6,practice-areas,Is the REST field name correct?,Yes. Field key on posts is practice-areas (matches taxonomy slug).,OK,-,VERIFIED,justice_lawyer/19309 JSON shows practice-areas:[170],None,
7,practice-areas,Can a lawyer profile receive a practice-area term via REST?,Confirmed previously (review 2026-05-14) and Nahari currently holds term 170. Authenticated write path requires App Password; not re-tested this cycle.,OK,LOW,INFERRED,Prior review doc + current Nahari state,Re-confirm with one authenticated REST POST when App Password access is wired,
8,city,Can a lawyer profile receive a city term via REST?,"Yes. Nahari holds city [700,721]. city is show_in_rest true.",OK,-,VERIFIED,justice_lawyer/19309 JSON shows city:[700,721],None
9,city,Is city attached to justice_lawyer?,"Yes. Live object types = lawyer, justice_lawyer. Also hardened by theme safety net.",OK,-,VERIFIED,Live REST /wp-json/wp/v2/taxonomies,Fix applied: safety net now also guarantees city -> justice_lawyer,
10,city,Is city exposed in REST?,"Yes. show_in_rest true, rest_base city.",OK,-,VERIFIED,Live REST taxonomies,None,
11,plugins,Is there a plugin registration conflict?,"CRITICAL. Theme repo contains THREE plugin copies: justice-core (uje_ prefix), ultra-justice-engine (uje_ prefix), ultra-justice (uj_ prefix). justice-core and ultra-justice-engine BOTH declare uje_register_practice_areas_taxonomy / uje_register_city_taxonomy / uje_register_lawyer_cpt -> activating both causes a fatal PHP redeclare error.",ISSUE,HIGH,VERIFIED,Code review of all three includes/ folders,Keep exactly ONE plugin copy active. Decommission the other two folders from the repo after confirming the active plugin in wp-admin/plugins.php,
12,plugins,Which plugin copy is actually active?,Inferred ultra-justice (uj_ prefix). Live practice-areas taxonomy label is the English 'Practice Areas' which ONLY ultra-justice uses; justice-core and ultra-justice-engine both use Hebrew 'תחומי משפט'.,ISSUE,MEDIUM,INFERRED,Live REST taxonomies name field vs code labels,Confirm via wp-admin/plugins.php (needs browser permission or admin login),
13,plugins,Encoding corruption in plugin code?,"justice-core/includes/taxonomy-city.php and justice-core/includes/cpt-lawyers.php have mojibake Hebrew (double-encoded, e.g. ׳¢׳¨׳™׳). ultra-justice and ultra-justice-engine copies have correct Hebrew.",ISSUE,MEDIUM,VERIFIED,Code review,"Do NOT activate justice-core. If justice-core must be the canonical plugin, re-save its files as UTF-8 with correct Hebrew first",
14,plugins,Does the theme load these plugin folders?,"No. functions.php loads only inc/*.php. The three plugin folders inside the theme repo are source copies, not theme-loaded. The active plugin lives separately in wp-content/plugins/.",INFO,LOW,VERIFIED,functions.php $justice_theme_files array,Clarify in repo: either move plugin source out of the theme folder or document why it is bundled,
15,load-order,Is load order causing taxonomy problems?,"Possible. CPT justice_lawyer registers at init priority 10 with taxonomies=>[practice-areas,city]; practice-areas taxonomy also registers at priority 10; city at priority 9. If the CPT registers before practice-areas, the CPT-side association can be skipped. Net effect on live is currently fine, but it is fragile.",ISSUE,MEDIUM,VERIFIED,Code review of cpt-lawyers.php + taxonomy-*.php hooks,Fix applied: theme safety net at priority 99 makes the result deterministic regardless of plugin load order,
16,terms,Are there duplicate practice-area terms?,"Yes - legacy pollution confirmed. practice-areas contains old WordPress categories that were merged in: term 18 has a URL-encoded Hebrew slug (%d7%90%d7%92...) and an old /קטגוריות-מאמרים/ URL; term 640 (rabbinical-court) carries a full HTML article body as its description. Mix of clean English-slug terms (criminal-law 170, real-estate-law 713, national-insurance 717) and legacy terms.",ISSUE,HIGH,VERIFIED,Live REST /wp-json/wp/v2/practice-areas sample (full list truncated by tooling),"Produce full term inventory, then map legacy terms -> canonical terms and plan a controlled merge (no deletes until mapped)",
17,terms,Is the practice-areas term naming consistent?,No. Some terms have an English string as the display NAME (term 713 name = 'real-estate-law') instead of Hebrew. Slugs are mostly English but at least one is percent-encoded Hebrew (term 18).,ISSUE,MEDIUM,VERIFIED,Live REST practice-areas sample,Normalise: Hebrew display name + clean lowercase English slug for every term,
18,terms,Are there duplicate or inconsistent city terms?,"19 city terms total. 9 (ids 700-710) have Latin placeholder NAMES (e.g. name 'tel-aviv'); 10 (ids 719-728) have correct Hebrew names. No slug collisions, but front-end will display Latin names for 9 cities. Root cause: the 9 Latin terms were created first by an earlier import; inc/taxonomy-seed.php only inserts cities whose slug does not already exist, so it could not correct them.",ISSUE,MEDIUM,VERIFIED,Subagent extract of full city term list,Rename the 9 Latin-named city terms to Hebrew display names (term names only; keep slugs and IDs to preserve URLs and assignments),
19,categories,Are WordPress categories being used instead of practice-areas?,"Partly. A category criminal-law (ID 730, ~18 posts per prior review) coexists with practice-areas/criminal-law (term 170, ~139 posts). category is also still attached to legacy CPTs labor_law, small_claims, corona_virus, supreme_court.",ISSUE,MEDIUM,PARTIALLY VERIFIED,Live REST taxonomies (category types) + prior review doc,Treat practice-areas as the single canonical legal-field taxonomy. Re-tag category-only articles into practice-areas before any category cleanup. Do NOT delete category yet,
20,legacy,Are there legacy/deprecated taxonomies or post types?,"Yes. Legacy CPTs still present: labor_law, small_claims, corona_virus, supreme_court, and an old lawyer CPT (distinct from justice_lawyer - city taxonomy lists object type 'lawyer'). Also yada_wiki CPT with wiki_cats/wiki_tags taxonomies.",ISSUE,MEDIUM,VERIFIED,Live REST /wp-json/wp/v2/taxonomies,Inventory legacy CPT content; decide keep/redirect/migrate per cluster. Out of scope for this cycle - documented only,
21,cpt-ui,Is CPT UI competing with code registration?,"Not determined. No CPT UI code found in the theme. The English practice-areas label + legacy lawyer CPT + legacy post types could indicate an old DB-based registration (CPT UI or old plugin), but this needs the wp-admin plugins screen to confirm.",UNKNOWN,MEDIUM,NOT VERIFIED,Absence of evidence in theme code,Check wp-admin/plugins.php and Tools for CPT UI when browser permission is granted,
22,rest-permissions,Are REST permissions blocking assignment?,"No blocker found. Lawyer meta fields use auth_callback current_user_can(edit_posts) so they are correctly hidden from anonymous REST (this is why /justice_lawyer/19309 shows no meta block when fetched logged-out - expected, not a bug). Taxonomy terms themselves are public and assignable by editors.",OK,LOW,VERIFIED,Code review cpt-lawyers.php + anonymous REST response,None,
23,admin-ui,Does the lawyer edit screen show practice area and city?,"Code supports it: justice_lawyer registered with show_ui true and taxonomies=>[practice-areas,city], both taxonomies show_ui true / show_admin_column true. Not visually re-verified this cycle (needs admin login).",OK,LOW,INFERRED,Code review,Spot-check the lawyer edit screen in wp-admin once browser access works,
24,templates,Do the lawyer card and single profile display practice area and city?,"Prior review (2026-05-14) states yes. Templates archive-justice_lawyer.php, single-justice_lawyer.php and template-parts/cards/ not re-read this cycle.",OK,LOW,NOT VERIFIED,Prior review doc,Re-verify template output in the Criminal Law category-page cycle,
25,nahari,Does Sharon Nahari profile exist and is it published?,"Yes. Post 19309, type justice_lawyer, status publish, URL /lawyers/advocate-sharon-nahari/.",OK,-,VERIFIED,Live REST /wp-json/wp/v2/justice_lawyer/19309,None,
26,nahari,Is Criminal Law assigned to Nahari?,"Yes. practice-areas:[170], class_list contains practice-areas-criminal-law.",OK,-,VERIFIED,Live REST justice_lawyer/19309,None,
27,nahari,Is city assigned to Nahari?,"Yes. city:[700,721] = tel-aviv + bnei-brak (class_list city-tel-aviv, city-bnei-brak).",OK,-,VERIFIED,Live REST justice_lawyer/19309,None,
28,nahari,Outstanding issues on the Nahari profile,featured_media = 0 (no profile image). og:url uses http:// not https://. Breadcrumb schema repeats the label 'עורכי דין' at positions 1 and 2.,ISSUE,LOW,VERIFIED,Live REST justice_lawyer/19309 yoast_head_json,Add a profile image per lawyer-profile-image-system rules; fix breadcrumb position-1 label to a Home/בית label,
29,seo-plugin,Which SEO plugin is active?,Yoast SEO v27.6. Present in every REST yoast_head output.,INFO,-,VERIFIED,Live REST yoast_head on every object,No action for taxonomy. Note for the separate SEO-plugin audit,
30,fix,Theme-side fix applied this cycle,"inc/taxonomy-seed.php: justice_theme_ensure_practice_areas_on_lawyer_cpt() generalised to justice_theme_ensure_core_taxonomy_objects() - guarantees practice-areas -> articles/post/justice_lawyer and city -> justice_lawyer at init priority 99. Purely additive, idempotent. Old function name kept as back-compat alias. Deployment marker bumped to 2026-05-15-taxonomy-object-type-safety-net-v1.",DONE,-,VERIFIED,inc/taxonomy-seed.php + functions.php edits this cycle,"Push to Git + uPress Pull, then confirm marker on live",
