"queue_id","gap_id","priority","target_url","target_draft_file","enhancement_scope","action_type","status","blocker","acceptance_criteria","next_step","source_artifacts"
"FL-DRAFT-ENH-001","FL-COMP-GAP-001","CRITICAL","/divorce-lawyer/","content-drafts/divorce-lawyer-public-body-he.md","Cost module: fee types; cost drivers; external expenses; first-meeting questions","draft_content_enhancement","FIXED PLANNING / BLOCKED OWNER WORDING","OWNER APPROVES COST WORDING","Draft has conservative cost framing with no unsupported price guarantees","Owner approves cost wording; then edit draft and rerun public-body static QA","family-law-competitor-gap-analysis-2026-05-22; family-divorce-public-body-static-qa-2026-05-21"
"FL-DRAFT-ENH-002","FL-COMP-GAP-002","CRITICAL","/divorce-lawyer/; /family-dispute-resolution/","content-drafts/divorce-lawyer-public-body-he.md; content-drafts/family-dispute-resolution-public-body-he.md","Process module: consultation; conflict-settlement request; agreement; mediation; litigation; urgent motions; approval/enforcement","draft_content_enhancement","FIXED PLANNING / READY FOR DRAFT EDIT AFTER OWNER WORDING","OWNER APPROVES PROCESS WORDING","Drafts explain the main paths without creating legal outcome promises","Owner approves process wording; then edit drafts and rerun static QA","family-law-competitor-gap-analysis-2026-05-22"
"FL-DRAFT-ENH-003","FL-COMP-GAP-004","HIGH","/divorce-lawyer/; /divorce-property-division/; /child-support/; /child-custody/","content-drafts/divorce-lawyer-public-body-he.md; content-drafts/divorce-property-division-public-body-he.md; content-drafts/child-support-public-body-he.md; content-drafts/child-custody-public-body-he.md","Document checklist: assets; debts; children; income; prior agreements; urgent-risk documents","draft_content_enhancement","FIXED PLANNING / READY FOR DRAFT EDIT AFTER OWNER WORDING","OWNER APPROVES DOCUMENT CHECKLIST WORDING","Drafts include actionable preparation checklist without promising document review results","Owner approves checklist wording; then edit drafts and rerun static QA","family-law-competitor-gap-analysis-2026-05-22; family-law-live-safety-check-2026-05-22"
"FL-DRAFT-ENH-004","FL-COMP-GAP-007","CRITICAL","/consensual-divorce/; /divorce-agreement/","content-drafts/consensual-divorce-public-body-he.md; project-control/family-law-visible-repair-field-map-2026-05-22.md","Agreement/template policy: clauses; approval; enforcement; change/cancellation risk; PDF caution","draft_content_enhancement_and_live_repair_dependency","BLOCKED LIVE QA / BLOCKED PDF ASSET","OWNER APPROVAL; CMS ROLLBACK; PDF ASSET APPROVAL","Agreement content does not expose raw shortcode or promise an unavailable PDF/template","Fix live agreement defects after approval; then edit consensual-divorce draft wording","family-law-competitor-gap-analysis-2026-05-22; family-law-visible-repair-field-map-2026-05-22"
"FL-DRAFT-ENH-005","FL-COMP-GAP-005","HIGH","/divorce-mediation/","content-drafts/divorce-mediation-public-body-he.md","Mediation decision block: good fit; unsafe situations; when to move to court route","draft_content_enhancement","FIXED PLANNING / READY FOR DRAFT EDIT AFTER OWNER WORDING","OWNER APPROVES MEDIATION RISK WORDING","Draft distinguishes mediation fit from urgent or unsafe conflict cases","Owner approves mediation wording; then edit draft and rerun static QA","family-law-competitor-gap-analysis-2026-05-22"
"FL-DRAFT-ENH-006","FL-COMP-GAP-006","HIGH","/child-support/; /child-custody/","content-drafts/child-support-public-body-he.md; content-drafts/child-custody-public-body-he.md","Parent decision tables: support factors; custody and time-arrangement risks; practical questions","draft_content_enhancement","FIXED PLANNING / READY FOR DRAFT EDIT AFTER OWNER WORDING","OWNER APPROVES CHILDREN MODULE WORDING","Drafts add parent-focused decision tables without unsupported calculator claims","Owner approves children module wording; then edit drafts and rerun static QA","family-law-competitor-gap-analysis-2026-05-22; reports/family-divorce-public-body-static-qa-2026-05-21.csv"
"FL-DRAFT-ENH-007","FL-COMP-GAP-009","HIGH","all seven first-cluster URLs","all seven public-body drafts","Restrained CTA module: lawyer matching; urgent-risk warning; consultation prep checklist","draft_content_enhancement_and_lead_qa_dependency","BLOCKED LEAD QA / BLOCKED LAWYER ROUTE QA","Lead/form routing and lawyer profile route are verified before public CTA expansion","Verify lead forms and Maya route; then add approved CTA modules to drafts","lead-area-vocabulary-safety-2026-05-22; maya-lawyer-mini-site-readiness-2026-05-22"
"FL-DRAFT-ENH-008","FL-COMP-GAP-003","MEDIUM","all seven first-cluster URLs","all seven public-body drafts","FAQ retention and post-upload FAQPage schema verification","post_upload_schema_qa","BLOCKED POST UPLOAD LIVE QA","LIVE ROUTE CLEANUP; APPROVED UPLOAD","FAQ sections remain intact and FAQPage schema is verified only after route cleanup","After approved upload run schema QA and screenshots","family-law-competitor-gap-analysis-2026-05-22"
"FL-DRAFT-ENH-009","FL-COMP-GAP-008; FL-COMP-GAP-011","HIGH","/divorce-lawyer/; lawyer-card sections","Maya mini-site readiness packet; relevant public-body drafts","E-E-A-T and lawyer connection using verified facts only","lawyer_connection_dependency","BLOCKED MAYA LIVE QA","MAYA ROUTE; SCHEMA; SOURCE FACTS; SCREENSHOTS","No lawyer claims rankings reviews or awards appear unless verified and approved","Verify Maya route and approved facts before adding lawyer-card CTA","maya-lawyer-mini-site-readiness-2026-05-22; authority-person-profile-schema-gate-2026-05-22"
"FL-DRAFT-ENH-010","FL-COMP-GAP-010","MEDIUM","all seven first-cluster URLs","cluster structure and upload dashboard","Internal structure: keep seven-page cluster; avoid thin standalone pages; tie anti-cannibalization to GSC","cluster_structure_review","BLOCKED GSC EXPORT","FOCUSED GSC EXPORT; OWNER URL DECISION","Cluster structure remains seven-page first batch with no redirect/canonical/noindex decision from drafts alone","Run focused GSC export before pillar consolidation decision","family-divorce-upload-readiness-dashboard-2026-05-21; family-law-competitor-gap-analysis-2026-05-22"
