row_id,lane,source_id,cluster,priority,current_url,secondary_url,target_url_or_hub,role_or_topic,decision_status,readiness_status,traffic_risk,gsc_clicks,gsc_impressions,content_draft_status,draft_word_count,source_legal_status,internal_link_status,url_action_status,next_step,blocked_actions,notes
CTD-001,CRIMINAL_FIRST_UPLOAD_TARGET,CRIM-UPLOAD-PKG-001,criminal-law,P1,https://jus-tice.co.il/criminal-defense-attorney/,,/criminal-lawyer/,current_planning_pillar,READY_FOR_OWNER_REVIEW,READY_FOR_OWNER_REVIEW_NOT_UPLOAD,PROTECTED_CURRENT_URL,,,DRAFT_PRESENT_LONG_FORM,5390,VERIFIED_SOURCE_ANCHORS,21_LINK_MAP_AVAILABLE,NO_URL_CHANGE_APPROVED; FUTURE_SLUG_BLOCKED,Draft current criminal pillar after owner/legal approval,Public upload; /criminal-lawyer/ migration; sitemap; redirects; CMS links; lawyer cards; schema reviews,Owner approval; legal/source review; no fake lawyer cards or ratings; mobile QA; current URL links only
CTD-002,CRIMINAL_FIRST_UPLOAD_TARGET,CRIM-UPLOAD-PKG-002,criminal-law,P2,https://jus-tice.co.il/%D7%94%D7%9B%D7%A0%D7%94-%D7%9C%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,,/police-investigation/,core_support_police_investigation,READY_FOR_OWNER_REVIEW,READY_FOR_OWNER_REVIEW_NOT_UPLOAD,UNKNOWN_NEEDS_GSC,,,DRAFT_PRESENT_LONG_FORM,3724,PARTIAL_VERIFIED,LINK_MAP_AVAILABLE,NO_URL_CHANGE_APPROVED; FUTURE_SLUG_BLOCKED,Draft police investigation after pillar draft or owner approval,Public upload; clean slug; redirects; exact rights wording without review; related-card writes,Legal review of rights wording; no interrogation scripts; source-backed disclaimer; current URL links only
CTD-003,CRIMINAL_FIRST_UPLOAD_TARGET,CRIM-UPLOAD-PKG-003,criminal-law,P3,https://jus-tice.co.il/detention-before-charge-or-trial/,https://jus-tice.co.il/detention-days/,/pretrial-detention/,core_support_detention_group,READY_FOR_OWNER_REVIEW,READY_FOR_OWNER_REVIEW_NOT_UPLOAD,UNKNOWN_NEEDS_GSC,,,DRAFT_PRESENT_LONG_FORM,3733,PARTIAL_VERIFIED,LINK_MAP_AVAILABLE,NO_URL_CHANGE_APPROVED; FUTURE_SLUG_BLOCKED,Draft detention support after merge/expand decision,Public upload; clean slug; redirects; exact time limits without review; sitemap changes,Owner merge/expand decision; legal review of time/release wording; no guarantees; current URL links only
CTD-004,CRIMINAL_FIRST_UPLOAD_TARGET,CRIM-UPLOAD-PKG-004,criminal-law,P4,https://jus-tice.co.il/articles/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%97%D7%96%D7%A8%D7%94-%D7%9E%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%91%D7%99%D7%98%D7%95%D7%9C/,,/indictment/,core_support_indictment,READY_FOR_OWNER_REVIEW,READY_FOR_OWNER_REVIEW_NOT_UPLOAD,UNKNOWN_NEEDS_GSC,,,MISSING_DRAFT,0,PARTIAL_VERIFIED,LINK_MAP_AVAILABLE,NO_URL_CHANGE_APPROVED; FUTURE_SLUG_BLOCKED,Draft indictment support after legal/source review,Public upload; clean slug; redirects; treating specific case page as general guide; sitemap changes,Legal review of hearing/deadline/cancellation wording; no outcome promises; protect Netanyahu case page
CTD-005,CRIMINAL_FIRST_UPLOAD_TARGET,CRIM-UPLOAD-PKG-005,criminal-law,P5,https://jus-tice.co.il/drug-offenses-criminal-lawyer/,,/drug-offenses/,core_support_drug_offenses,READY_FOR_OWNER_REVIEW,READY_FOR_OWNER_REVIEW_NOT_UPLOAD,UNKNOWN_NEEDS_GSC,,,MISSING_DRAFT,0,PARTIAL_VERIFIED,LINK_MAP_AVAILABLE,NO_URL_CHANGE_APPROVED; FUTURE_SLUG_BLOCKED,Draft drug offenses after source/legal consolidation review,Public upload; duplicate /drug-offenses/ page; redirects; penalty claims without review; sitemap changes,Legal review of offense categories thresholds penalties; cannabis-fine limitation; no obstruction guidance
CTD-006,CRIMINAL_SUPPORT_MAP,criminal-support-001,criminal-law,P0,https://jus-tice.co.il/%D7%AA%D7%97%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%94-%D7%9B%D7%AA%D7%95%D7%91%D7%AA-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A8%D7%A9%D7%99%D7%9E%D7%94-%D7%90%D7%A8%D7%A6%D7%99%D7%AA-%D7%9E%D7%A2%D7%95%D7%93%D7%9B%D7%9F,,https://jus-tice.co.il/criminal-defense-attorney/,police investigation legal advice,NOT_CHANGED,SUPPORT_TO_CRIMINAL_HUB_REVIEW,HIGH,482,118014,NOT_A_FIRST_UPLOAD_DRAFT,,NEEDS_CONTENT_REVIEW_BEFORE_REWRITE,PLANNED_ONLY_AFTER_OWNER_APPROVAL,NOT_CHANGED; INTERNAL_LINK_ONLY_AFTER_OWNER_APPROVAL,Protect existing ranking value; decide rewrite/link role before upload batch,"No redirect, no canonical/noindex, no slug migration, no blind merge",Massive practical police-intent page; route urgent users to criminal-defense help
CTD-007,CRIMINAL_SUPPORT_MAP,criminal-support-002,criminal-law,P0,https://jus-tice.co.il/criminal-defense-attorney/,,https://jus-tice.co.il/criminal-defense-attorney/,criminal defense lawyer,NOT_CHANGED,SUPPORT_TO_CRIMINAL_HUB_REVIEW,HIGH,10,62561,NOT_A_FIRST_UPLOAD_DRAFT,,NEEDS_CONTENT_REVIEW_BEFORE_REWRITE,PLANNED_ONLY_AFTER_OWNER_APPROVAL,NOT_CHANGED; INTERNAL_LINK_ONLY_AFTER_OWNER_APPROVAL,Protect existing ranking value; decide rewrite/link role before upload batch,"No redirect, no canonical/noindex, no slug migration, no blind merge",Hub is live and protected
CTD-008,CRIMINAL_SUPPORT_MAP,criminal-support-003,criminal-law,P0,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C,,https://jus-tice.co.il/criminal-defense-attorney/,how to choose a criminal defense lawyer,NOT_CHANGED,SUPPORT_TO_CRIMINAL_HUB_REVIEW,HIGH,96,52640,NOT_A_FIRST_UPLOAD_DRAFT,,NEEDS_CONTENT_REVIEW_BEFORE_REWRITE,PLANNED_ONLY_AFTER_OWNER_APPROVAL,NOT_CHANGED; INTERNAL_LINK_ONLY_AFTER_OWNER_APPROVAL,Protect existing ranking value; decide rewrite/link role before upload batch,"No redirect, no canonical/noindex, no slug migration, no blind merge",Trust-claim risk; rewrite away from famous/best/leading framing
CTD-009,CRIMINAL_SUPPORT_MAP,criminal-support-004,criminal-law,P0,https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,,https://jus-tice.co.il/criminal-defense-attorney/,criminal record and police certificate,NOT_CHANGED,SUPPORT_TO_CRIMINAL_HUB_REVIEW,HIGH,188,38667,NOT_A_FIRST_UPLOAD_DRAFT,,NEEDS_CONTENT_REVIEW_BEFORE_REWRITE,PLANNED_ONLY_AFTER_OWNER_APPROVAL,NOT_CHANGED; INTERNAL_LINK_ONLY_AFTER_OWNER_APPROVAL,Protect existing ranking value; decide rewrite/link role before upload batch,"No redirect, no canonical/noindex, no slug migration, no blind merge",Strong criminal-record intent; high clicks
CTD-010,CRIMINAL_SUPPORT_MAP,criminal-support-005,criminal-law,P0,https://jus-tice.co.il/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99,,https://jus-tice.co.il/criminal-defense-attorney/,criminal defense lawyer cost,NOT_CHANGED,SUPPORT_TO_CRIMINAL_HUB_REVIEW,HIGH,234,38017,NOT_A_FIRST_UPLOAD_DRAFT,,NEEDS_CONTENT_REVIEW_BEFORE_REWRITE,PLANNED_ONLY_AFTER_OWNER_APPROVAL,NOT_CHANGED; INTERNAL_LINK_ONLY_AFTER_OWNER_APPROVAL,Protect existing ranking value; decide rewrite/link role before upload batch,"No redirect, no canonical/noindex, no slug migration, no blind merge",Commercial price intent; remove recommended framing
