batch_id,id,current_url,title_or_topic,word_count,current_cluster_signal,proposed_role,canonical_category,url_strategy,content_quality_decision,internal_link_decision,sitemap_decision,redirect_decision,status,notes
CRIM-UPLOAD-001,857,https://jus-tice.co.il/criminal-defense-attorney/,Criminal lawyer current clean page,9086,criminal-law,PILLAR_CANDIDATE_CURRENT,criminal-law,KEEP_CURRENT_URL_UNTIL_PRIMARY_SELECTED,EXPAND_OR_MERGE_TO_CRIMINAL_LAWYER,"Link to all approved support pages; supports link back",INCLUDE_AFTER_OWNER_APPROVAL,FUTURE_REDIRECT_TO_CRIMINAL_LAWYER_POSSIBLE,READY_FOR_OWNER_REVIEW,"Current clean-ish page must be compared with future /criminal-lawyer/ and old GSC URL."
CRIM-UPLOAD-002,GSC-OLD-CRIMINAL,https://jus-tice.co.il/%D7%9E%D7%A9%D7%A8%D7%93-%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%94%D7%9B%D7%99-%D7%98%D7%95%D7%91-%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91/,Old GSC-visible criminal lawyer URL,UNKNOWN,criminal-law,PROTECTED_OLD_GSC_URL,criminal-law,BLOCKED_MIGRATION_ONLY,PROTECT_UNTIL_REDIRECT_MAP_APPROVED,"Do not link newly until primary decision; preserve evidence",HOLD_UNTIL_MIGRATION_APPROVED,REQUIRES_301_PLAN,BLOCKED_OWNER_APPROVAL,"GSC shows 267 impressions for criminal-lawyer query and 275 for broad criminal law query."
CRIM-UPLOAD-003,11755,https://jus-tice.co.il/top-criminal-lawyer-tel-aviv/,Tel Aviv criminal lawyer page,1942,criminal-law-local,CITY_SUPPORT_OR_MERGE_REVIEW,criminal-law,KEEP_OR_CITY_SUPPORT_REVIEW,REWRITE_WITH_NO_FAKE_RANKING,"Link to criminal pillar only after primary selected",INCLUDE_ONLY_IF_LOCAL_PAGE_APPROVED,FUTURE_CITY_REDIRECT_REVIEW,NEEDS_REVIEW,"Commercial city intent but risk of fake best/top language and cannibalization."
CRIM-UPLOAD-004,9427,https://jus-tice.co.il/criminal-defense-attorney-roles-and-responsibilities/,Criminal lawyer roles and responsibilities,1918,criminal-law,SUPPORT_OR_MERGE_REVIEW,criminal-law,KEEP_OR_MERGE_REVIEW,REWRITE_AS_SUPPORT_OR_MERGE,"Link to criminal pillar and lawyer-selection guides",INCLUDE_AFTER_REWRITE,FUTURE_MERGE_REVIEW,NEEDS_REVIEW,"Low GSC sample; can support the pillar but should not compete for main service intent."
CRIM-UPLOAD-005,850,https://jus-tice.co.il/how-to-choose-criminal-defense-attorney/,How to choose criminal defense attorney,1150,criminal-law,SUPPORT_LAWYER_SELECTION,criminal-law,KEEP_CURRENT_URL,EXPAND_SUPPORT,"Link to criminal pillar and cost/consultation pages",INCLUDE_AFTER_EXPANSION,NO_REDIRECT_NOW,READY_FOR_OWNER_REVIEW,"Useful user-intent support if claims are source-reviewed."
CRIM-UPLOAD-006,3274,https://jus-tice.co.il/what-to-consider-when-hiring-a-criminal-lawyer/,Hiring a criminal lawyer checklist,2495,criminal-law,SUPPORT_LAWYER_SELECTION,criminal-law,KEEP_CURRENT_URL,EXPAND_SUPPORT,"Link to criminal pillar and how-to-choose page",INCLUDE_AFTER_REVIEW,NO_REDIRECT_NOW,READY_FOR_OWNER_REVIEW,"Good support intent; avoid generic duplication with choose-lawyer page."
CRIM-UPLOAD-007,2885,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/,Criminal lawyer cost,2445,criminal-law,SUPPORT_COST,criminal-law,KEEP_CURRENT_URL,EXPAND_SUPPORT,"Link to criminal pillar and lawyer-selection pages",INCLUDE_AFTER_REVIEW,NO_REDIRECT_NOW,READY_FOR_OWNER_REVIEW,"Commercial support page; requires disclaimer and no invented pricing promises."
CRIM-UPLOAD-008,6635,https://jus-tice.co.il/should-i-admit-guilt-to-my-criminal-defense-attorney/,Admitting guilt to defense lawyer,708,criminal-law,SUPPORT_PRIVILEGE_CONSULTATION,criminal-law,KEEP_OR_MERGE_REVIEW,EXPAND_OR_MERGE,"Link to criminal pillar and police investigation",HOLD_UNTIL_EXPANDED,FUTURE_MERGE_REVIEW,NEEDS_REVIEW,"Thin but useful trust/consultation topic."
CRIM-UPLOAD-009,7761,https://jus-tice.co.il/criminal-defenses/,Criminal defenses,2492,criminal-law,CORE_SUPPORT_DEFENSES,criminal-law,KEEP_CURRENT_URL,EXPAND_SUPPORT,"Link to criminal pillar indictment and detention pages",INCLUDE_AFTER_REVIEW,NO_REDIRECT_NOW,READY_FOR_OWNER_REVIEW,"Core support topic for procedure and indictment pages."
CRIM-UPLOAD-010,9501,https://jus-tice.co.il/crime/,What is crime,2699,criminal-law,SUPPORT_OR_GLOSSARY,criminal-law,KEEP_OR_GLOSSARY_REVIEW,REWRITE_AS_GLOSSARY_SUPPORT,"Link to criminal pillar only if useful",INCLUDE_ONLY_IF_REFRAMED,NO_REDIRECT_NOW,NEEDS_REVIEW,"Broad definition page; should not compete with lawyer-service intent."
CRIM-UPLOAD-011,12907,https://jus-tice.co.il/criminal-prosecutions/,Criminal prosecution,16392,criminal-law,SOURCE_SUPPORT_PROSECUTION,criminal-law,KEEP_AS_SOURCE_OR_REWRITE_REVIEW,SUMMARIZE_AS_PRACTICAL_SUPPORT,"Link to indictment and criminal procedure pages",INCLUDE_ONLY_IF_REFRAMED,NO_REDIRECT_NOW,NEEDS_REVIEW,"Long source/reference asset; needs user-focused summary."
CRIM-UPLOAD-012,12428,https://jus-tice.co.il/famous-criminal-defense-lawyer/,Famous criminal lawyer,17374,criminal-law,COMMERCIAL_CANNIBALIZATION_REVIEW,criminal-law,MERGE_OR_REWRITE_REVIEW,REMOVE_TOP_BEST_IMPLIED_RANKING_RISK,"Do not use as main pillar; link only after editorial decision",HOLD_UNTIL_REVIEW,FUTURE_MERGE_REVIEW,NEEDS_REVIEW,"Risky famous/top framing; should not imply unverifiable ranking."
CRIM-UPLOAD-013,12264,https://jus-tice.co.il/best-criminal-defence-lawyers-worldwide/,Best criminal lawyers worldwide,15157,international-criminal-law,FOREIGN_OR_REPUTATION_BOUNDARY,international-law,KEEP_OUT_OF_ISRAELI_PILLAR,REWRITE_OR_EXCLUDE_FROM_CORE,"No core criminal pillar links until boundary approved",HOLD_OUT_OF_CORE_SITEMAP,NO_REDIRECT_TO_CORE,NEEDS_REVIEW,"International/reputation content; not a local Israeli service pillar."
CRIM-UPLOAD-014,2876,https://jus-tice.co.il/everything-you-need-to-know-about-becoming-a-criminal-lawyer/,Becoming a criminal lawyer,16759,legal-career-boundary,EXCLUDE_FROM_SERVICE_CLUSTER,legal-careers,KEEP_OUT_OF_CRIMINAL_SERVICE_CLUSTER,SEPARATE_LEGAL_CAREER_CONTENT,"No lawyer-service links except contextual",HOLD_OUT_OF_CRIMINAL_SITEMAP,NO_REDIRECT_TO_CORE,READY_FOR_CATEGORY_CLEANUP,"Career intent is not user legal-help intent."
