"review_group","target_url","current_role_guess","title","word_count","inventory_status","quality_action","gsc_status","recommended_decision","next_review_step","status","notes"
"PRIMARY_CANDIDATE","https://jus-tice.co.il/child-support/","public_guide_candidate","מזונות ילדים: מדריך מעשי לפני הסכם, תביעה או שינוי מצב","2767","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","KEEP_OR_MAKE_PILLAR_REVIEW","NOT_VERIFIED_DIRECT_QUERY_PASS","KEEP_AS_PRIMARY_CANDIDATE","Run GSC for מזונות ילדים, חישוב מזונות, בעמ 919/15, מזונות משותפת before final primary approval.","REVIEW_ONLY_NO_URL_CHANGE","Exact clean URL exists and already links to divorce/custody/mediation/property/family-dispute/lawyer-directory pages."
"CASE_LAW_SUPPORT","https://jus-tice.co.il/psakdin/בע״ם-919-15-הלכת-המזונות-החדשה/","case_law_support","בע״ם 919/15 | הלכת המזונות החדשה","39818","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","REWRITE","NOT_VERIFIED_DIRECT_QUERY_PASS","SUPPORT_OR_MERGE_AFTER_LEGAL_REVIEW","Verify official/court source and decide whether this remains a case-law explainer linked from /child-support/ or contributes a short public-facing summary.","REVIEW_ONLY_NO_URL_CHANGE","Do not make this the primary child-support page just because it is long."
"CASE_LAW_SUPPORT","https://jus-tice.co.il/psakdin/משמורת-מזונות-ההלכה-החדשה-במזונות-919-15/","case_law_support","משמורת מזונות | ההלכה החדשה במזונות 919/15","6270","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","REWRITE","NOT_VERIFIED_DIRECT_QUERY_PASS","SUPPORT_OR_MERGE_AFTER_LEGAL_REVIEW","Compare against the 919/15 page and /child-custody/ before deciding merge or support role.","REVIEW_ONLY_NO_URL_CHANGE","Mixed custody/support intent; possible bridge page, not a primary."
"THIN_TOOL_REVIEW","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","calculator_or_tool_support","מחשבון מזונות ילדים 2023","373","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","EXPAND","NOT_VERIFIED_DIRECT_QUERY_PASS","REWRITE_AS_TOOL_EXPLAINER_OR_REDIRECT_LATER_AFTER_APPROVAL","Decide whether to build a cautious intake/checklist tool page; do not promise exact legal calculation.","REVIEW_ONLY_NO_URL_CHANGE","Source audit says any calculator must be framed as preparation/intake only."
"JURISDICTION_SUPPORT","https://jus-tice.co.il/5988-21/","case_law_support","בג״ץ 5988-21 פלוני נ. פלוני (19.02.2025) | סמכות בית דין רבני מזונות ילדים","16963","KEEP_CURRENT_CLEAN_SLUG","KEEP_OR_MAKE_PILLAR_REVIEW","NOT_VERIFIED_DIRECT_QUERY_PASS","KEEP_AS_SUPPORT_REVIEW","Review whether this should support a narrow jurisdiction section under /child-support/ and link to family-dispute-resolution.","REVIEW_ONLY_NO_URL_CHANGE","Good depth but narrow legal issue; not a general guide."
"JURISDICTION_SUPPORT","https://jus-tice.co.il/בגץ-5988/21-סמכות-בתי-הדין-הרבניים-במזונות-ילדים/","possible_duplicate_support","סמכות בתי הדין הרבניים במזונות ילדים: בחינה משפטית, חוקתית וחברתית בעקבות בג״ץ 5988/21","838","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","KEEP_OR_SUPPORT_PILLAR_REVIEW","NOT_VERIFIED_DIRECT_QUERY_PASS","MERGE_OR_SUPPORT_REVIEW","Compare with /5988-21/; likely duplicate/narrow support, not primary.","REVIEW_ONLY_NO_URL_CHANGE","Potential duplicate topic; do not redirect until GSC checked."
"CASE_LAW_SUPPORT","https://jus-tice.co.il/child-support-divorced-parents61641-09-19/","case_law_support","סגנית הנשיא רותם קודלר עיאש: פס״ד בתביעת מזונות בין בני זוג לשעבר (61641-09-19)","3328","KEEP_CURRENT_CLEAN_SLUG","KEEP_OR_MAKE_PILLAR_REVIEW","NOT_VERIFIED_DIRECT_QUERY_PASS","KEEP_AS_CASE_SUPPORT_REVIEW","Use as support/example only if it adds a public-facing lesson; otherwise preserve until traffic check.","REVIEW_ONLY_NO_URL_CHANGE","Already appears in internal-link map through sitemap page."
"CHANGE_OF_CIRCUMSTANCES_SUPPORT","https://jus-tice.co.il/פסד-בבקשת-אב-להפחתת-מזונות-בטענה-של-שינוי-נסיבות-תלהמ-35493-10-19/","supporting_subtopic","פס״ד בבקשת אב להפחתת מזונות בטענה של שינוי נסיבות (תלה״מ 35493-10-19)","6098","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","KEEP_OR_MAKE_PILLAR_REVIEW","NOT_VERIFIED_DIRECT_QUERY_PASS","SUPPORT_CHANGE_REQUEST_SECTION","Use for a section/link about changing child-support amount after changed circumstances.","REVIEW_ONLY_NO_URL_CHANGE","Could support a future /change-child-support/ page if GSC shows demand."
"CHANGE_OF_CIRCUMSTANCES_SUPPORT","https://jus-tice.co.il/מזונות-שבהסכם-והעילות-לביטולן-או-שינויין-מכוח-שינוי-נסיבות/","supporting_subtopic","מעמדן של התחייבויות למזונות שבהסכם והעילות לביטולן או שינויין מכוח שינוי נסיבות","32476","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","REWRITE","NOT_VERIFIED_DIRECT_QUERY_PASS","MERGE_SUMMARY_OR_SUPPORT_AFTER_LEGAL_REVIEW","Extract only public-facing principles after lawyer review; keep detailed legal/case material separate.","REVIEW_ONLY_NO_URL_CHANGE","Long old content should not override the cleaner guide."
"CALCULATION_SUPPORT","https://jus-tice.co.il/מזונות-הילדים-האם-לפי-צריכה-בפועל-או-ערך-שולי/","supporting_subtopic","חישוב מזונות הילדים– האם לפי צריכה בפועל או ערך שולי? תיק 1161022/12","36942","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","KEEP_OR_MAKE_PILLAR_REVIEW","NOT_VERIFIED_DIRECT_QUERY_PASS","SUPPORT_CALCULATION_SECTION_AFTER_LEGAL_REVIEW","Use only as source material for cautious explanation of calculation factors; avoid formulas without legal approval.","REVIEW_ONLY_NO_URL_CHANGE","Very long but narrow; source/legal review required."
