link_id,source,target,relationship_type,priority,anchor_intent,placement_guidance,approval_status,execution_status,reason
FD-LINK-001,https://jus-tice.co.il/divorce-lawyer/,REFERENCE:DIVORCE-OLD-HEBREW-GSC-001,PILLAR_TO_PROTECTED_ASSET,P1,old divorce guide,Link only after side-by-side comparison,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Old Hebrew divorce URL owns visible commercial query demand
FD-LINK-002,REFERENCE:DIVORCE-OLD-HEBREW-GSC-001,https://jus-tice.co.il/divorce-lawyer/,PROTECTED_ASSET_TO_PILLAR,P1,divorce lawyer,Add contextual link after comparison and merge decision,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Protect old query asset while guiding users to final pillar
FD-LINK-003,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/wp-content/uploads/2022/06/misradhamishpatim-women.pdf,DOCUMENT_GATE,P1,divorce rights PDF,Do not promote or replace until document strategy,OWNER_APPROVAL_REQUIRED,NOT_EXECUTED,PDF has visible GSC impressions and cannot be removed blindly
FD-LINK-004,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/consensual-divorce/,PILLAR_TO_SUPPORT,P1,consensual divorce,Add from agreement/low-conflict section after legal review,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Clean support page for low-conflict divorce intent
FD-LINK-005,https://jus-tice.co.il/consensual-divorce/,https://jus-tice.co.il/divorce-lawyer/,SUPPORT_TO_PILLAR,P1,divorce lawyer,Add one contextual link back to pillar,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Support page should not compete with commercial pillar
FD-LINK-006,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/divorce-mediation/,PILLAR_TO_SUPPORT,P1,divorce mediation,Add from alternatives/mediation section after DOCX review,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Clean support page for mediation intent
FD-LINK-007,https://jus-tice.co.il/divorce-mediation/,https://jus-tice.co.il/divorce-lawyer/,SUPPORT_TO_PILLAR,P1,divorce lawyer,Add litigation/consultation transition link,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Mediation page should stay support not broad pillar
FD-LINK-008,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/child-support/,PILLAR_TO_SUPPORT,P1,child support,Add from children/financial obligations section after calculator strategy,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Child support is major divorce support intent
FD-LINK-009,https://jus-tice.co.il/child-support/,https://jus-tice.co.il/divorce-lawyer/,SUPPORT_TO_PILLAR,P1,divorce lawyer,Add one contextual link to divorce pillar,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Child-support guide should connect to wider divorce process
FD-LINK-010,https://jus-tice.co.il/divorce-lawyer/,https://jus-tice.co.il/child-custody/,PILLAR_TO_SUPPORT,P1,child custody,Add from children/parenting section after document review,OWNER_LEGAL_APPROVAL_REQUIRED,NOT_EXECUTED,Custody is major divorce support intent
