decision_id,area,current_url,current_status,evidence,recommended_action,owner_approval_question,approval_status,blocked_actions,notes
INHERITANCE-COMMERCIAL-PILLAR-001,inheritance-wills-commercial-pillar,https://jus-tice.co.il/inheritance-lawyer/,"Strategic future target only; no exact current public URL verified","cluster-pillar-review lists strategic target slug inheritance-lawyer; current heuristic chose /most-recommended-family-lawyer/ by word count only","PRIMARY_SELECTION_REQUIRED_NO_URL_CHANGE","Should /inheritance-lawyer/ become the future commercial pillar only after comparison and migration map approval?","OWNER_APPROVAL_REQUIRED","No page creation URL slug redirect canonical sitemap title H1 meta menu or CMS edit","Do not let family-law recommendation content become inheritance/wills pillar by word count alone."
INHERITANCE-GUIDE-001,inheritance-guide,https://jus-tice.co.il/inheritance/,"Published current candidate; 705 words; quality 4/10; thin; no internal links","content-quality-audit marks /inheritance/ thin and recommends EXPAND","EXPAND_COMPARE_AS_SUPPORT_OR_HUB","Should /inheritance/ be expanded as an informational hub/support page after source review?","OWNER_APPROVAL_REQUIRED","No rewrite merge redirect title meta canonical sitemap or CMS edit","Needs comparison with old Hebrew inheritance pages and official sources."
WILL-GUIDE-001,will-guide,https://jus-tice.co.il/will-and-testament/,"Published current candidate; 682 words; quality 4/10; thin and outdated","content-quality-audit recommends REWRITE; GSC broad will demand is mostly elsewhere","REWRITE_COMPARE_AS_WILL_GUIDE","Should /will-and-testament/ remain the current will guide candidate before any /will/ migration?","OWNER_APPROVAL_REQUIRED","No new /will/ page slug redirect title meta canonical sitemap or CMS edit","Potential guide but too thin/outdated to approve as primary now."
WILL-SLUG-CONFLICT-001,will-clean-slug,https://jus-tice.co.il/will/,"Strategic future clean slug only; exact current clean URL not found","slug-conflict-review: target_slug will has 10 conflict rows and 0 exact current slug count","SELECT_PRIMARY_AND_PLAN_REDIRECTS_LATER","Should /will/ be planned only after conflict comparison and owner-approved redirect map?","OWNER_APPROVAL_REQUIRED","No creation migration redirect canonical sitemap noindex or deletion","Highest word-count candidate is a long case-law URL ID 6426, not automatically a public guide."
WILL-CONTEST-GUIDE-001,will-contest-guide,https://jus-tice.co.il/will-probate-objection/,"Published candidate; 618 words; quality 2/10; thin/outdated; no internal links","GSC maps התנגדות לצוואה mostly to a case-law URL, not this guide candidate","REWRITE_COMPARE_AS_WILL_CONTEST_SUPPORT","Should this be rewritten as the public will-contest guide or become support for a future /will-contest/?","OWNER_APPROVAL_REQUIRED","No new /will-contest/ page redirect title meta canonical sitemap or CMS edit","Needs source/legal review and case-law comparison."
WILL-CONTEST-CASELAW-001,case-law-current-signal,https://jus-tice.co.il/psakdin/התנגדות-לצוואה-בשל-השפעה-בלתי-הוגנת/,"Published case-law URL with visible GSC signals","GSC: 126 impressions for צוואה and 120 impressions for התנגדות לצוואה; classified cannibalization/needs-supporting-article","PROTECT_USE_AS_SUPPORT_AFTER_REVIEW","Should this case-law page be protected and linked as support after a public guide is approved?","OWNER_APPROVAL_REQUIRED","No redirect noindex deletion merge rewrite or canonical change","Do not destroy existing signal before public guide strategy is approved."
WILL-OLD-HEBREW-RISK-001,old-hebrew-wills-service,https://jus-tice.co.il/עורך-דין-צוואות-וירושות/,"Old Hebrew service/guide URL with visible GSC signal","GSC: 43 impressions for צוואה; classified URL_MIGRATION_RISK","PROTECT_COMPARE_BEFORE_MIGRATION","Should this old URL be protected until English-slug migration map is approved?","OWNER_APPROVAL_REQUIRED","No English slug migration redirect canonical sitemap title meta or CMS edit","Old URL may carry useful equity and should not be changed blindly."
WILL-DOCX-RISK-001,will-document-template,https://jus-tice.co.il/wp-content/uploads/2020/09/צוואה.docx,"Uploaded DOCX appears in GSC for will intent","GSC: 6 impressions for צוואה; classified MEDIA_URL_REVIEW","DOCUMENT_STRATEGY_REQUIRED","Should the DOCX be kept, connected to a guide, replaced, gated, noindexed later or redirected later?","OWNER_APPROVAL_REQUIRED","No delete replace noindex robots block redirect or media-library edit","Document/media handling must be part of the URL migration plan."
PROBATE-ORDER-001,probate-order-support,https://jus-tice.co.il/what-is-a-probate-order/,"Published support candidate; 573 words; quality 4/10; thin; no internal links","GSC: 5 impressions for צוואה; content-quality-audit recommends EXPAND","EXPAND_AS_SUPPORT_AFTER_SOURCE_REVIEW","Should this become the probate-order support article after official-source review?","OWNER_APPROVAL_REQUIRED","No rewrite title meta URL canonical sitemap or CMS edit","Needs official process sources and internal-link role."
INHERITANCE-ORDER-001,inheritance-order-support,https://jus-tice.co.il/inheritance-order/,"Published support candidate; 2182 words; quality 5/10; outdated","content-quality-audit recommends REWRITE and shows internal links exist","REWRITE_AS_SUPPORT_AFTER_SOURCE_REVIEW","Should this become the inheritance-order support page after comparison with old Hebrew צו ירושה pages?","OWNER_APPROVAL_REQUIRED","No rewrite merge redirect title meta canonical sitemap or CMS edit","Likely useful support page but outdated."
WILL-REVOCATION-001,will-revocation-support,https://jus-tice.co.il/revocation-of-a-will-and-reviving-previous-will/,"Published support/case article; 11861 words; quality 4/10; outdated; no internal links","GSC low-sample will impressions plus wrong-page traffic-law matches for נהיגה בשכרות","PROTECT_REWRITE_REVIEW_REMOVE_WRONG_INTENT_LATER","Should this remain protected while inheritance/wills and traffic-law wrong-intent signals are separated?","OWNER_APPROVAL_REQUIRED","No traffic-law optimization redirect rewrite canonical sitemap or CMS edit","Do not optimize this will page for drunk-driving intent."
INTERNATIONAL-INHERITANCE-001,international-inheritance,https://jus-tice.co.il/international-inheritance-wills-lawyer/,"Published international inheritance/wills page; 13800 words; quality 3/10; no internal links","content-quality-audit recommends REWRITE; intent differs from local Israeli inheritance-lawyer pillar","SEPARATE_INTERNATIONAL_INTENT_REVIEW","Should international inheritance/wills stay separate from local Israeli inheritance-lawyer intent?","OWNER_APPROVAL_REQUIRED","No merge redirect title meta canonical sitemap or CMS edit","Do not let international content pollute local service/pillar signals."
INHERITANCE-SOURCE-LEGAL-001,source-and-legal-review,ALL_INHERITANCE_WILLS_URLS,"Source/legal review not complete","Inheritance, probate, will contest and estate topics require official/public sources and legal review before publication","SOURCE_LEGAL_REVIEW_REQUIRED","Approve official-source and legal-review checklist before public rewrites?","OWNER_APPROVAL_REQUIRED","No public legal claims rewrite or publish without review","Use official Israeli/public sources; avoid unsupported claims."
INHERITANCE-MIGRATION-001,url-migration-safety,ALL_INHERITANCE_WILLS_URLS,"Migration not approved","GSC and inventory show old Hebrew, case-law, clean-English support and media/document URLs; traffic risk remains partly UNKNOWN","URL_MIGRATION_MAP_REQUIRED","Should all URL decisions wait for old-to-new mapping, 301 plan, canonicals, sitemap and internal-link map?","OWNER_APPROVAL_REQUIRED","No URL slug redirect noindex canonical sitemap robots or document/media action","Map first, approve second, execute later."
