"query_group","query_filter","search_intent","expected_primary_url","expected_supporting_urls","why_check","record_pages_tab","record_queries_tab","known_current_signal","decision_if_primary_matches","decision_if_old_url_wins","decision_if_multiple_urls","status","notes"
"child_support_main","מזונות ילדים","Family-law public guide intent; parent wants to understand child support rights, process, calculation and documents.","https://jus-tice.co.il/child-support/","https://jus-tice.co.il/divorce-lawyer/ | https://jus-tice.co.il/child-custody/ | https://jus-tice.co.il/family-dispute-resolution/","The child-support slug conflict is the largest current group and needs direct GSC traffic proof before merge or redirect decisions.","YES","YES","NOT VERIFIED in direct GSC; inventory shows clean /child-support/ candidate and 30 conflict rows.","KEEP /child-support/ as primary candidate and add/strengthen supporting links only after content-quality review.","DO_NOT_TOUCH_HIGH_TRAFFIC_URL; map old URL as support or merge-review before any redirect approval.","Classify as CANNIBALIZATION_RISK unless pages serve clearly different sub-intents.","NOT_VERIFIED_NEEDS_GSC","Record clicks, impressions, CTR and position for every URL visible in Pages tab."
"child_support_calculation","חישוב מזונות","Calculation/how-much intent; user wants practical explanation of child-support calculation.","https://jus-tice.co.il/child-support/","future possible support: https://jus-tice.co.il/child-support-calculation/","Inventory found calculator/calculation-related old material; decide whether it supports /child-support/ or needs a narrow supporting guide.","YES","YES","NOT VERIFIED in direct GSC.","Treat as support section inside /child-support/ unless GSC/SERP prove a separate calculator guide is needed.","Preserve old calculator/content URL until merge and redirect plan is approved.","If several calculation URLs appear, mark MERGE_CANDIDATE and choose one support target.","NOT_VERIFIED_NEEDS_GSC","Do not create a calculator page only because the query exists; require GSC/SERP/user-value evidence."
"child_support_calculator","מחשבון מזונות","Tool/calculator intent; user may expect a calculation tool or formula explanation.","https://jus-tice.co.il/child-support/","future possible tool/article: https://jus-tice.co.il/child-support-calculator/","This may be a distinct tool intent, but no product/tool decision is approved yet.","YES","YES","NOT VERIFIED in direct GSC.","If /child-support/ appears, add a public calculator-explanation section and tool roadmap note, not a fake calculator.","Preserve old calculator URL if it has impressions; map to future tool/support page later.","If tool/doc/article URLs compete, mark NEEDS_SUPPORTING_ARTICLE_OR_TOOL and owner review.","NOT_VERIFIED_NEEDS_GSC","No legal calculator should be published without legal review and clear disclaimer."
"child_support_case_law","בעמ 919/15","Case-law/legal doctrine intent around the Israeli child-support ruling.","https://jus-tice.co.il/child-support/","old case-law/support pages from child-support conflict review","Old 919/15 pages may hold long-tail impressions and should not be collapsed blindly into a broad guide.","YES","YES","NOT VERIFIED in direct GSC.","Keep /child-support/ as public guide and link to a narrow case-law/support page if the case-law URL has its own intent.","DO_NOT_TOUCH_HIGH_TRAFFIC_URL; keep as support or merge case content only after review.","If multiple case-law URLs appear, choose one canonical support article and mark others REDIRECT_LATER pending approval.","NOT_VERIFIED_NEEDS_GSC","Also test spelling variant בע""מ 919/15 if browser time allows."
"child_support_shared_custody","מזונות משותפת","Shared-custody child-support intent; overlaps child support and custody.","https://jus-tice.co.il/child-support/","https://jus-tice.co.il/child-custody/","This query may reveal whether custody/support pages cannibalize each other or form a healthy cluster.","YES","YES","NOT VERIFIED in direct GSC.","If /child-support/ wins, add strong internal link to /child-custody/ and shared-custody section.","If an old custody/support page wins, classify support page before redirect or merge.","If /child-support/ and /child-custody/ both show, classify by intent before calling cannibalization.","NOT_VERIFIED_NEEDS_GSC","Healthy cluster is possible if one page explains support and the other explains custody."
"child_support_change","הפחתת מזונות","Post-judgment modification/reduction intent; user wants to change existing support.","https://jus-tice.co.il/child-support/","future possible support: https://jus-tice.co.il/change-child-support/","Inventory has changed-circumstances content; this may deserve a supporting article instead of broad-page merge.","YES","YES","NOT VERIFIED in direct GSC.","Keep as /child-support/ support section unless evidence supports a separate modification guide.","Preserve old change/reduction URL until merge/redirect review.","If several reduction/change URLs appear, mark MERGE_CANDIDATE for one support guide.","NOT_VERIFIED_NEEDS_GSC","Run together with שינוי מזונות if time allows."
"child_support_change_general","שינוי מזונות","Modification intent; same cluster as reduction but broader.","https://jus-tice.co.il/child-support/","future possible support: https://jus-tice.co.il/change-child-support/","Needed to avoid collapsing an important post-judgment sub-intent into a thin paragraph.","YES","YES","NOT VERIFIED in direct GSC.","Use data to decide whether /child-support/ can cover this or needs a support article.","Preserve old URL and content until decision packet is updated.","If old and clean URLs both show, classify CANNIBALIZATION_RISK or HEALTHY_CLUSTER by intent.","NOT_VERIFIED_NEEDS_GSC","Compare with הפחתת מזונות rows."
"child_custody_main","משמורת ילדים","Family-law custody guide intent; parent wants custody/parenting-time explanation.","https://jus-tice.co.il/child-custody/","https://jus-tice.co.il/child-support/ | https://jus-tice.co.il/divorce-lawyer/","Child custody is another high-conflict group and links strongly to child support.","YES","YES","Only related GSC evidence currently visible: משמורת בלעדית לאם opportunity, not broad custody.","Keep /child-custody/ as likely primary if it appears and quality is strong.","Do not redirect old custody pages until GSC and legal review classify each sub-intent.","If multiple custody pages appear, separate broad custody, sole custody, relocation, visitation and support overlap.","NOT_VERIFIED_NEEDS_GSC","Important for family-law cluster anti-cannibalization."
"child_custody_sole_mother","משמורת בלעדית לאם","Narrow custody sub-intent around sole custody for mother.","https://jus-tice.co.il/child-custody/","future possible support: https://jus-tice.co.il/sole-custody/","Existing GSC opportunity showed old custody content around this query; needs support-vs-pillar decision.","YES","YES","GSC priority exists, but direct queue review should capture current Pages tab details.","Treat as support section/article if intent is narrow and current old page has impressions.","DO_NOT_TOUCH_HIGH_TRAFFIC_URL before merge/redirect map.","If broad custody and old sole-custody pages both appear, likely HEALTHY_CLUSTER after internal links are clarified.","NOT_VERIFIED_NEEDS_GSC","Use this to decide if /child-custody/ needs a dedicated sole-custody subsection."
"employment_lawyer","עורך דין דיני עבודה","Lawyer/service intent for employment-law help.","https://jus-tice.co.il/employment-lawyer/","https://jus-tice.co.il/lawyers/?area=employment-law","Employment pillar is missing/not confirmed in the public URL map; homepage/directory may need interim ownership.","YES","YES","NOT VERIFIED in direct GSC for employment terms.","If clean pillar is absent from GSC, plan whether to create/strengthen /employment-lawyer/ or use directory as interim primary.","If old labor-law URL wins, protect it and classify as migration risk.","If many HR/employer/worker pages compete, mark WEAK_PRIMARY_PAGE and internal-link problem.","NOT_VERIFIED_NEEDS_GSC","Do not publish employment pillar until inventory confirms no stronger old page already exists."
