id,current_url,title,word_count,quality_score,current_role,gsc_signal,content_quality_signal,cannibalization_risk,recommended_action,execution_status,notes
11880,https://jus-tice.co.il/cyber-lawyer/,"עורך דין סייבר | עו״ד לענייני סייבר | דיני סייבר והגנת פרטיות",6405,8,current_cyber_service_candidate,"Reverse page-to-query check showed no visible rows","Clean URL; quality 8; internal links exist; title targets service intent",MEDIUM,KEEP_AS_CURRENT_CANDIDATE_COMPARE_FIRST,REVIEW_ONLY_NO_URL_CHANGE,"Do not edit title/H1/content until compared against Hebrew cyber-lawyer role page and /cybercrime-lawyer-roll/."
11982,https://jus-tice.co.il/תפקידם-של-עורכי-דין-בתחום-הסייבר/,"תפקידם של עורכי דין בתחום הסייבר",9576,8,possible_service_duplicate_or_support,"No direct GSC row recorded in current pass","Long; quality 8; internal links exist; Hebrew slug needs mapping",HIGH,COMPARE_FOR_MERGE_OR_SUPPORT,REVIEW_ONLY_NO_URL_CHANGE,"Potential duplicate of service intent; compare before choosing /cyber-lawyer/ as final expanded page."
11904,https://jus-tice.co.il/cybercrime-lawyer-roll/,"סקירה ממבט אישי על תפקידו של עורך דין לענייני פשעי סייבר",4455,6,cybercrime_support_boundary,"Query עורך דין סייבר had 42 impressions on this URL","Quality 6; no internal links; current visible GSC signal",HIGH,SUPPORT_BOUNDARY_REVIEW,REVIEW_ONLY_NO_URL_CHANGE,"Should support /cyber-lawyer/ after approval; do not make primary only because of one GSC row."
9554,https://jus-tice.co.il/cyber-laws/,"הגדרת דיני סייבר",13956,8,informational_cyber_law_guide,"דיני סייבר returned no visible rows in checked pass","Long; quality 8; internal links exist",MEDIUM,SUPPORT_OR_INFORMATIONAL_HUB_REVIEW,REVIEW_ONLY_NO_URL_CHANGE,"Keep informational; avoid competing title/H1 with /cyber-lawyer/."
12495,https://jus-tice.co.il/fbi-cyber-division/,"יחידת ה-Cyber Division של ה-FBI | עו״ד סייבר",21917,6,international_fbi_context_support,"No direct service-row evidence recorded","Longest cyber page; quality 6; no internal links",HIGH,PROTECT_SUPPORT_NOT_PRIMARY,REVIEW_ONLY_NO_URL_CHANGE,"Word count must not make this the Israeli cyber-lawyer pillar."
11910,https://jus-tice.co.il/what-is-cyberattack/,"מתקפת סייבר מהי? הגדרות מונחים והכרת טכנולוגיות בתחום התקפת סייבר",3744,6,technical_business_support,"מתקפת סייבר returned zero visible rows","Quality 6; no internal links",LOW,SUPPORT_GUIDE_REVIEW,REVIEW_ONLY_NO_URL_CHANGE,"Useful support explainer; not a service primary."
10562,https://jus-tice.co.il/cyber-insurance/,"ביטוח סייבר | מה זה ביטוח סייבר",2832,6,business_insurance_support,"No direct GSC row recorded in current pass","Quality 6; no internal links",MEDIUM,BUSINESS_SUPPORT_REVIEW,REVIEW_ONLY_NO_URL_CHANGE,"Keep separate from lawyer-service intent unless approved."
9571,https://jus-tice.co.il/cybersex-trafficking/,"עורך דין סחר במין סייבר | עו״ד פשעי מין אינטרנט וסייבר",2819,8,criminal_cyber_boundary_support,"No direct GSC row recorded in current pass","Quality 8; internal links exist",MEDIUM,CRIMINAL_CYBER_BOUNDARY_REVIEW,REVIEW_ONLY_NO_URL_CHANGE,"Sensitive criminal/cyber page; should connect to criminal and cyber only after boundary review."
5674,https://jus-tice.co.il/פיצוי-כספי-בגין-פגיעה-בפרטיות-צפייה-ומחיקה-של-פריטים-מהטלפון-ללא-רשות/,"פיצוי כספי בגין פגיעה בפרטיות | צפייה ומחיקה של פריטים מהטלפון ללא רשות",4121,6,privacy_support_migration_risk,"פגיעה בפרטיות: 38 impressions; הגנת הפרטיות: 7 impressions","Quality 6; outdated; rewrite flag; internal links exist",HIGH,PROTECT_COMPARE_REWRITE_LATER,REVIEW_ONLY_NO_URL_CHANGE,"Do not redirect or overwrite; compare and source-review first."
6676,https://jus-tice.co.il/articles/פגיעה-בפרטיות-סקירת-המסגרת-הנורמטיבי/,"פגיעה בפרטיות-סקירת המסגרת הנורמטיבית",763,4,thin_privacy_overview,"No direct GSC row recorded in current pass","Thin; quality 4; needs expansion; no internal links",MEDIUM,EXPAND_OR_MERGE_AFTER_SOURCE_REVIEW,REVIEW_ONLY_NO_URL_CHANGE,"Likely merge/support candidate after official source checklist."
6386,https://jus-tice.co.il/תא-28120-03-18-פלוני-נ-googel-llc-ואח/,"תביעת גוגל google llc למתן צו עשה, ולחיוב בפיצוי בגין לשון הרע ופגיעה בפרטיות",11079,4,case_law_privacy_defamation_support,"No direct GSC row recorded in current pass","Outdated; quality 4; rewrite flag; no internal links",MEDIUM,CASE_SUPPORT_REVIEW,REVIEW_ONLY_NO_URL_CHANGE,"Useful as case support, not as practical privacy or defamation guide."
11587,https://jus-tice.co.il/10864-09-21/,"חשיפת תמונות אישה שנתפסה בבגידה | פיצוי מכוח חוק איסור לשון הרע והגנת הפרטיות",15163,6,case_law_privacy_defamation_support,"No direct GSC row recorded in current pass","Quality 6; no internal links",MEDIUM,CASE_SUPPORT_REVIEW,REVIEW_ONLY_NO_URL_CHANGE,"Sensitive privacy/defamation case support; do not make broad guide."
9291,https://jus-tice.co.il/69430-06-20/,"פס״ד הגנת פרטיות והאזנה אסורה מפגשי אב ובתו",3580,6,case_law_privacy_family_boundary,"No direct GSC row recorded in current pass","Quality 6; no internal links",MEDIUM,CASE_SUPPORT_REVIEW,REVIEW_ONLY_NO_URL_CHANGE,"Privacy/family boundary; should not be pulled blindly into cyber."
888,https://jus-tice.co.il/police-records-data-deletion/,"מחיקת רישום משטרתי | ביטול רישום של תיקים סגורים",530,2,criminal_records_data_deletion_boundary,"מחיקת מידע returned zero visible rows","Thin; outdated; unclear intent; no internal links",HIGH,REWRITE_OR_REBUILD_AFTER_BOUNDARY_REVIEW,REVIEW_ONLY_NO_URL_CHANGE,"Decide criminal records vs privacy/data deletion before rewrite."
