"decision_id","topic","current_or_planned_url","post_id","current_title","word_count","quality_score","gsc_signal","intended_role","problem_type","recommended_action","traffic_risk","source_legal_gate","owner_approval_required","url_change_allowed","public_execution_allowed","notes"
"RE-PAGE-001","current commercial real-estate lawyer candidate","https://jus-tice.co.il/real-estate-attorney/","1149","עורך דין מקרקעין מומלץ | עורך דין מקרקעין מחיר | ייעוץ חינם","6941","6/10","Direct GSC page filter still needed; cluster evidence says homepage currently carries broad real-estate lawyer intent","current published commercial candidate","Possible title/intent overload and future-slug conflict","COMPARE_AS_CURRENT_PRIMARY","MEDIUM","YES","YES","NO","NO","No URL change; compare in place before rewrite or migration"
"RE-PAGE-002","strategic clean commercial slug","https://jus-tice.co.il/real-estate-lawyer/","","","NOT_CURRENT_EXACT_URL","NOT VERIFIED","Future slug only; exact public URL not verified in inventory","future commercial pillar candidate","URL_MIGRATION_RISK","MIGRATION_MAP_REQUIRED","HIGH","YES","YES","NO","NO","Do not create migrate redirect canonicalize or sitemap until approved"
"RE-PAGE-003","homepage real-estate signal","https://jus-tice.co.il/","","Homepage","NOT APPLICABLE","NOT APPLICABLE","Homepage has visible impressions for עורך דין מקרקעין and related variants in existing map","portal routing page","Accidental service-intent holder","HOMEPAGE_ROUTING_REVIEW","MEDIUM","NO","YES","NO","NO","No homepage copy layout menu CTA or link change approved"
"RE-PAGE-004","cost and sale lawyer support","https://jus-tice.co.il/real-estate-lawyer-cost-2025/","12655","עורך דין מכירת דירה מחיר (2025) | תפקידו של עורך הדין בעסקאות מקרקעין","11330","6/10","High visible support impressions for sale-lawyer apartment-buying and sale-agreement variants","protected support page","Overloaded support page not broad pillar","KEEP_AS_SUPPORT_AND_PROTECT","HIGH","YES","YES","NO","NO","Do not redirect canonicalize away noindex or rewrite blindly"
"RE-PAGE-005","broad Israeli property laws","https://jus-tice.co.il/israeli_land_and_property_laws/","10089","עורך דין מקרקעין | חוקי הקרקע והקניין בישראל","5479","6/10","Direct GSC page filter still needed","broad informational support or merge-review asset","May compete with commercial pillar; proposed future slug exists in URL map","COMPARE_BEFORE_MIGRATION","HIGH","YES","YES","NO","NO","URL map proposes /real-estate-lawyer/ but no URL change is approved"
"RE-PAGE-006","Hebrew fee price support","https://jus-tice.co.il/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%A9%D7%99%D7%A8%D7%95%D7%AA%D7%99-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A0%D7%93%D7%9C%D7%9F/","12065","מחירון שירותי עורך דין נדל”ן 2025","9735","NOT SCORED IN MATCHED QUALITY ROWS","Direct GSC page filter still needed","fee/cost support or merge-review asset","Possible duplication with cost support page","SIDE_BY_SIDE_COST_REVIEW","UNKNOWN","YES","YES","NO","NO","Compare with /real-estate-lawyer-cost-2025/ before title or merge decisions"
"RE-PAGE-007","buying and selling lawyer support","https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/","1142","עורך דין קניית דירה | עו”ד מכירת דירה | מומחה בעסקאות מקרקעין","2192","5/10","Direct GSC page filter still needed","buy/sell support page","Overlaps buying apartment sale lawyer and broad real estate lawyer intent","COMPARE_AS_SUPPORT","UNKNOWN","YES","YES","NO","NO","Potential support to approved real-estate pillar after comparison"
"RE-PAGE-008","future buying apartment support slug","https://jus-tice.co.il/buying-apartment/","","","NOT_CURRENT_EXACT_URL","NOT VERIFIED","URL map duplicate-target notes from old buying-apartment content","future support page","Duplicate target slug and migration risk","BUILD_SIDE_BY_SIDE_BEFORE_NEW_PAGE","HIGH","YES","YES","NO","NO","Do not create or redirect until old Hebrew and article candidates are compared"
"RE-PAGE-009","apartment abroad / international framing","https://jus-tice.co.il/apartment/","10860","רכישת דירה בחו”ל | מדריך סוגי דירות | השקעות נדל”ן חו”ל","5553","3/10","Low checked buying-apartment support signal; direct page filter still needed","international or abroad property support","Semantic contamination of local Israeli real-estate cluster","SEPARATE_FROM_LOCAL_CLUSTER","LOW_TO_MEDIUM","YES","YES","NO","NO","Should not be treated as Israeli buying-apartment pillar"
"RE-PAGE-010","contractor and construction defects","https://jus-tice.co.il/common-construction-defects-and-how-to-manage-them/","10175","דירה חדשה רכישה | ליקויי בנייה נפוצים וכיצד לטפל בהם","1824","5/10","Direct GSC page filter still needed","contractor/defect support page","Needs Sale Law and claims source/legal validation","KEEP_AS_SUPPORT_AFTER_SOURCE_REVIEW","UNKNOWN","YES","YES","NO","NO","Support only after source/legal review"
"RE-PAGE-011","land registry","https://jus-tice.co.il/land-registration/","10541","מרשם המקרקעין | פנקס זכויות מקרקעין","434","2/10","Direct GSC page filter still needed","registry support page","Thin content and official-source dependency","EXPAND_AFTER_SOURCE_REVIEW","UNKNOWN","YES","YES","NO","NO","Do not merge noindex or redirect before support role approval"
"RE-PAGE-012","registration rights","https://jus-tice.co.il/registration-of-real-estate-israel/","10503","רישום זכויות מקרקעין בישראל | לשכת רישום מקרקעין","487","2/10","Direct GSC page filter still needed","registration support or merge-review page","Thin duplicate/overlap risk with land registry","MERGE_OR_EXPAND_REVIEW","UNKNOWN","YES","YES","NO","NO","Compare with land registry and huge registration procedure page"
"RE-PAGE-013","huge registration procedure","https://jus-tice.co.il/real-estate-registration-procedure-israel/","10508","real estate registration procedure in israel","117178","3/10","Direct GSC page filter still needed","source-mined review asset","Extreme length quality duplication and readability risk","AUDIT_BEFORE_REWRITE_OR_MERGE","UNKNOWN","YES","YES","NO","NO","Do not publish forward as pillar by word count"
"RE-PAGE-014","land appreciation tax","https://jus-tice.co.il/land-appreciation-tax/","10528","מס שבח מקרקעין | מחשבון מס שבח | מי זכאי להחזר מס שבח מקרקעין","2781","6/10","Weak checked buying-apartment overlap; direct page filter still needed","tax support page","Tax/legal accuracy and source freshness risk","KEEP_AS_TAX_SUPPORT_AFTER_SOURCE_REVIEW","UNKNOWN","YES","YES","NO","NO","Support page only unless owner/legal review says otherwise"
"RE-PAGE-015","rental agreement","https://jus-tice.co.il/rental-agreement/","9988","מה זה הסכם שכירות | חוזה שכירות","5460","6/10","Direct GSC page filter still needed","rental support page","Rental intent should not be merged into purchase/sale service intent","KEEP_AS_RENTAL_SUPPORT","UNKNOWN","YES","YES","NO","NO","Separate rental subcluster"
"RE-PAGE-016","online rent agreement","https://jus-tice.co.il/online-rent-agreement/","12626","חוזה שכירות אונליין (עדכני 2025)","0","2/10","Direct GSC page filter still needed","tool/product placeholder or remove/merge candidate later","Empty thin-page risk","OWNER_REVIEW_BEFORE_NOINDEX_OR_REMOVE","UNKNOWN","YES","YES","NO","NO","No deletion noindex or redirect without approval"
"RE-PAGE-017","international property cluster","https://jus-tice.co.il/buying-property-in-greece/","8932","רכישת נכס ביוון | תהליך קניית בית ביוון | כמה עולה דירה ביוון","29988","8/10","Direct page filter still needed; heuristic selected as real-estate cluster by word count","separate international property cluster","Wrong local-pillar selection by word count","SEPARATE_INTERNATIONAL_CLUSTER","MEDIUM","YES","YES","NO","NO","Do not show as local Israeli real-estate lawyer related content unless manually approved"
"RE-PAGE-018","TMA 38 urban renewal","https://jus-tice.co.il/tma-38-and-urban-renewal-lawyer/","1134","עורך דין תמ”א 38 והתחדשות עירונית","575","NOT SCORED IN MATCHED QUALITY ROWS","Direct GSC page filter still needed","urban-renewal support or future subcluster","Thin specialist service page","EXPAND_OR_SUPPORT_REVIEW","UNKNOWN","YES","YES","NO","NO","Needs urban-renewal source/legal gate before expansion"
