"checked_at","status","page_key","request_url","http_status","final_url","title","h1","has_theme_marker","manifest_count","has_media_favicon","has_theme_favicon_fallback","home_traffic_fallback_ok","home_ai_fallback_ok","breadcrumb_markup_seen","breadcrumb_schema_seen","related_semantic_attrs_seen","related_cluster_attr_count","title_english_leak","search_english_ui_leak","filter_stayed_on_lawyers","generic_lawyer_filter_title","notes"
"2026-05-11T09:25:17","VERIFIED","theme_marker","https://jus-tice.co.il/wp-content/themes/justice-theme/deployment-marker.txt?qa=public-template-20260511092516","200","https://jus-tice.co.il/wp-content/themes/justice-theme/deployment-marker.txt?qa=public-template-20260511092516","","","True","0","False","False","","","False","False","False","0","False","False","True","False","Static marker verifies uPress theme sync."
"2026-05-11T09:25:18","VERIFIED","home","https://jus-tice.co.il/?qa=public-template-20260511092517","200","https://jus-tice.co.il/?qa=public-template-20260511092517","עורכי דין בישראל | מדריך עורכי דין, מאמרים משפטיים וייעוץ","צריכים עורך דין או הכוונה משפטית? התחילו כאן","True","2","True","True","True","True","False","False","False","0","False","False","True","False","Homepage source checks branding, favicon manifests and fallback links."
"2026-05-11T09:25:19","VERIFIED","lawyers","https://jus-tice.co.il/lawyers/?qa=public-template-20260511092518","200","https://jus-tice.co.il/lawyers/?qa=public-template-20260511092518","מדריך עורכי דין בישראל | Jus-Tice","מדריך עורכי דין בישראל","True","2","True","True","","","True","True","False","0","False","False","True","False","Main lawyer directory."
"2026-05-11T09:25:19","VERIFIED","lawyers_filter_personal_injury","https://jus-tice.co.il/lawyers/?area=personal-injury-law&qa=public-template-20260511092519","200","https://jus-tice.co.il/lawyers/?area=personal-injury-law&qa=public-template-20260511092519","עורך דין נזיקין | מצאו עורך דין מתאים","עורך דין נזיקין","True","2","True","True","","","True","True","False","0","False","False","True","False","Clean alias should stay on lawyers and use a specific title."
"2026-05-11T09:25:20","VERIFIED","lawyers_filter_medical_malpractice","https://jus-tice.co.il/lawyers/?area=medical-malpractice-law&qa=public-template-20260511092519","200","https://jus-tice.co.il/lawyers/?area=medical-malpractice-law&qa=public-template-20260511092519","עורך דין רשלנות רפואית | מצאו עורך דין מתאים","עורך דין רשלנות רפואית","True","2","True","True","","","True","True","False","0","False","False","True","False","Clean alias should stay on lawyers and use a specific title."
"2026-05-11T09:25:21","VERIFIED","lawyers_filter_employment","https://jus-tice.co.il/lawyers/?area=employment-law&qa=public-template-20260511092520","200","https://jus-tice.co.il/lawyers/?area=employment-law&qa=public-template-20260511092520","עורך דין דיני עבודה | מצאו עורך דין מתאים","עורך דין דיני עבודה","True","2","True","True","","","True","True","False","0","False","False","True","False","Clean alias should stay on lawyers and use a specific title."
"2026-05-11T09:25:22","VERIFIED","lawyers_filter_labor","https://jus-tice.co.il/lawyers/?area=labor-law&qa=public-template-20260511092521","200","https://jus-tice.co.il/lawyers/?area=labor-law&qa=public-template-20260511092521","עורך דין דיני עבודה | מצאו עורך דין מתאים","עורך דין דיני עבודה","True","2","True","True","","","True","True","False","0","False","False","True","False","Canonical labor filter should remain specific."
"2026-05-11T09:25:23","VERIFIED","lawyers_filter_traffic","https://jus-tice.co.il/lawyers/?area=traffic-law&qa=public-template-20260511092522","200","https://jus-tice.co.il/lawyers/?area=traffic-law&qa=public-template-20260511092522","עורך דין דיני תעבורה | מצאו עורך דין מתאים","עורך דין דיני תעבורה","True","2","True","True","","","True","True","False","0","False","False","True","False","Traffic filter should remain specific."
"2026-05-11T09:25:37","VERIFIED","articles","https://jus-tice.co.il/articles/?qa=public-template-20260511092523","200","https://jus-tice.co.il/articles/?qa=public-template-20260511092523","מאמרים משפטיים לפי הבעיה שלכם | Jus-Tice","מדריכים משפטיים לפי הבעיה שלכם","True","2","True","True","","","True","True","False","0","False","False","True","False","Articles archive title and breadcrumb/schema source check."
"2026-05-11T09:25:38","VERIFIED","article_sample","https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/?qa=public-template-20260511092537","200","https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/?qa=public-template-20260511092537","איך למצוא עורך דין מומלץ? כיצד לבחור עו""ד טוב | Jus-Tice.co.il","איך למצוא עורך דין מומלץ? כיצד לבחור עו”ד טוב","True","2","True","True","","","True","True","True","3","False","False","True","False","Single article related-content QA attributes."
"2026-05-11T09:25:43","VERIFIED","search_hebrew","https://jus-tice.co.il/?s=%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F&qa=public-template-20260511092538","200","https://jus-tice.co.il/?s=%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F&qa=public-template-20260511092538","תוצאות חיפוש עבור: גירושין | Jus-Tice","תוצאות חיפוש עבור: גירושין","True","2","True","True","","","True","True","False","0","False","False","True","False","Search page should not leak English default labels."
