pilot_slot,source_system,official_source_url,document_url,case_number,court,judge_or_panel,decision_date,discovery_date,legal_field,subtopic,parties_or_anonymized_title,publication_status,privacy_risk,sensitive_flags,allowed_for_publication,jus_tice_summary_status,reviewing_lawyer,connected_guide_url,connected_lawyer_url,index_policy,owner_approval_status,notes
1,court.gov.il,https://www.court.gov.il/NGCS.Web.Site/LocateDecisions/LocateDecisionQuering.aspx,,,,,,2026-05-20,family-law,,,,high,family,unknown,not_started,Maya Rotenberg,,,,hold,not_requested,"Pilot row. Fill from official source only."
2,court.gov.il,https://www.court.gov.il/NGCS.Web.Site/LocateDecisions/LocateDecisionQuering.aspx,,,,,,2026-05-20,family-law,,,,high,family,unknown,not_started,Maya Rotenberg,,,,hold,not_requested,"Pilot row. Fill from official source only."
3,court.gov.il,https://www.court.gov.il/NGCS.Web.Site/LocateDecisions/LocateDecisionQuering.aspx,,,,,,2026-05-20,family-law,,,,high,family,unknown,not_started,Maya Rotenberg,,,,hold,not_requested,"Pilot row. Fill from official source only."
4,court.gov.il,https://www.court.gov.il/NGCS.Web.Site/LocateDecisions/LocateDecisionQuering.aspx,,,,,,2026-05-20,family-law,,,,high,family,unknown,not_started,Maya Rotenberg,,,,hold,not_requested,"Pilot row. Fill from official source only."
5,court.gov.il,https://www.court.gov.il/NGCS.Web.Site/LocateDecisions/LocateDecisionQuering.aspx,,,,,,2026-05-20,family-law,,,,high,family,unknown,not_started,Maya Rotenberg,,,,hold,not_requested,"Pilot row. Fill from official source only."
6,court.gov.il,https://www.court.gov.il/NGCS.Web.Site/LocateDecisions/LocateDecisionQuering.aspx,,,,,,2026-05-20,family-law,,,,high,family,unknown,not_started,Maya Rotenberg,,,,hold,not_requested,"Pilot row. Fill from official source only."
7,court.gov.il,https://www.court.gov.il/NGCS.Web.Site/LocateDecisions/LocateDecisionQuering.aspx,,,,,,2026-05-20,family-law,,,,high,family,unknown,not_started,Maya Rotenberg,,,,hold,not_requested,"Pilot row. Fill from official source only."
8,court.gov.il,https://www.court.gov.il/NGCS.Web.Site/LocateDecisions/LocateDecisionQuering.aspx,,,,,,2026-05-20,family-law,,,,high,family,unknown,not_started,Maya Rotenberg,,,,hold,not_requested,"Pilot row. Fill from official source only."
9,court.gov.il,https://www.court.gov.il/NGCS.Web.Site/LocateDecisions/LocateDecisionQuering.aspx,,,,,,2026-05-20,family-law,,,,high,family,unknown,not_started,Maya Rotenberg,,,,hold,not_requested,"Pilot row. Fill from official source only."
10,court.gov.il,https://www.court.gov.il/NGCS.Web.Site/LocateDecisions/LocateDecisionQuering.aspx,,,,,,2026-05-20,family-law,,,,high,family,unknown,not_started,Maya Rotenberg,,,,hold,not_requested,"Pilot row. Fill from official source only."
