prospect_id,category,candidate_name,public_source_type,source_url,public_signal,fit_reason,priority,proposed_revenue_model,owner_next_step,approval_status,exposure_rule,notes
SUP-TRN-001,translation_notary,Zamenhof Translation Services,PsakDin profile,https://www.psakdin.co.il/Lawyers/5158,Legal translation and transcription support,Strong fit for urgent legal document translation,high,monthly_listing_or_warm_intro,Verify direct website/contact and service area,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Do not copy competitor contact data into outreach automation."
SUP-TRN-002,translation_notary,anyTEXT Legal Translation,PsakDin provider profile,https://www.psakdin.co.il/Providers/1255,Legal translation services for law firms and legal departments,Good candidate for B2B legal translation pilot,high,monthly_listing_or_warm_intro,Verify direct website/contact and ISO/current credential claims,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Check current credential claims before any public wording."
SUP-TRN-003,translation_notary,Frank Meyers Law And Notary Translation,PsakDin profile,https://www.psakdin.co.il/Lawyers/1488,Legal and notary translation signal,Useful for notarized translation demand,high,warm_intro,Verify direct contact and active notary status,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Sensitive professional claims require owner verification."
SUP-TRN-004,translation_notary,Marjorie Legal Translation,PsakDin profile,https://www.psakdin.co.il/Lawyers/1191,Legal translation for German English Hebrew and personal documents,Useful for multilingual document work,medium,warm_intro,Verify direct contact languages and turnaround times,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Source is discovery only."
SUP-TRN-005,translation_notary,Targum Miktzoi Ltd,PsakDin profile,https://www.psakdin.co.il/Lawyers/1202,Professional legal and business translation,Potential broad translation provider for law firms,medium,monthly_listing_or_warm_intro,Verify active business site and law-firm references,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Check service coverage before outreach."
SUP-TRN-006,translation_notary,Legal And Business Translation,PsakDin profile,https://www.psakdin.co.il/Lawyers/1494,Legal business financial medical and technical translation signal,Good fit for broad document translation needs,medium,warm_intro,Verify direct contact and legal translation examples,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"No public recommendation without proof."
SUP-TRN-007,translation_notary,Mila Bemila Dafna Baskin,PsakDin profile,https://www.psakdin.co.il/Lawyers/1129,Long-running translation office with legal translation signal,Potential premium translation provider,medium,warm_intro,Verify direct website/contact and current availability,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Owner should verify capacity and languages."
SUP-TRN-008,translation_notary,Kol Targum Universal Ltd,PsakDin profile,https://www.psakdin.co.il/Lawyers/3255,Legal medical technical and business translation signal,Potential volume translation/transcription provider,medium,warm_intro,Verify direct contact and service scope,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Do not expose until approved."
SUP-OFC-001,office_space,Din Office Pool - All Israel,Din public office board,https://www.din.co.il/office.asp,Large pool of lawyer office rental listings,Best initial source pool for meeting-room/office-space demand,high,monthly_listing,Select current listing owner and verify directly,RESEARCH_POOL_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Use as source pool; add specific owner only after verification."
SUP-OFC-002,office_space,Din Office Pool - Center,Din public office board,https://www.din.co.il/Office.asp?area=1,Center-region lawyer office listings,High demand near courts and Tel Aviv area,high,monthly_listing,Choose 1-2 active listings and verify direct contact,RESEARCH_POOL_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Do not import phone data blindly."
SUP-OFC-003,office_space,Din Office Pool - Shefela,Din public office board,https://www.din.co.il/office.asp?area=10,Shefela lawyer office listings,Useful for Rehovot/Ness Ziona/nearby lawyers,medium,monthly_listing,Choose active listing and verify owner permission,RESEARCH_POOL_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Public source pool only."
SUP-OFC-004,office_space,Din Office Pool - North,Din public office board,https://www.din.co.il/office.asp?area=19,North-region lawyer office listings,Useful for Haifa/north coverage,medium,monthly_listing,Choose active listing and verify owner permission,RESEARCH_POOL_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Public source pool only."
SUP-OFC-005,office_space,Din Office Pool - Sharon,Din public office board,https://www.din.co.il/office.asp?area=27,Sharon-region lawyer office listings,Useful for Netanya/Raanana/Herzliya lawyers,medium,monthly_listing,Choose active listing and verify owner permission,RESEARCH_POOL_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Public source pool only."
SUP-OFC-006,office_space,Din Office Pool - Jerusalem,Din public office board,https://www.din.co.il/office.asp?area=8,Jerusalem-region lawyer office listings,Useful for Jerusalem lawyers and court proximity,medium,monthly_listing,Choose active listing and verify owner permission,RESEARCH_POOL_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Public source pool only."
SUP-MKT-001,legal_marketing,LAWEXPRESS,Public company page,https://lawexpress.co.il/,Website building for lawyers signal,Potential profile/mini-site supplier for paid lawyers,medium,monthly_listing_or_sponsorship,Verify agency ownership and legal-advertising compliance posture,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Avoid performance promises."
SUP-MKT-002,legal_marketing,Soni Legal SEO,Public service page,https://www.soni.co.il/legal-seo/,Legal SEO service signal,Potential SEO/content supplier for lawyers,medium,monthly_listing_or_sponsorship,Verify current service fit and reporting model,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Do not promise rankings or leads."
SUP-MKT-003,legal_marketing,Cliplay Lawyers Marketing,Public service page,https://cliplay.co.il/services/seo-digital-marketing/lawyers/,Marketing and SEO for lawyers signal,Potential video/digital marketing supplier,medium,monthly_listing_or_sponsorship,Verify legal-sector portfolio and claim wording,RESEARCH_ONLY,ADMIN_ONLY_NO_DASHBOARD,"Review ad ethics claims before outreach."
