decision_id,item,url_or_reference,current_signal,current_role,recommended_action,publish_phase,redirect_canonical_posture,notes
FD-FIRST-001,Clean divorce pillar,https://jus-tice.co.il/divorce-lawyer/,"Live 200; self-canonical; 3,205 exported words; 5,083-word repo draft exists","Future primary pillar","REPAIR_ENRICH_AS_PRIMARY_AFTER_APPROVAL","FIRST","Self-canonical after approval; no redirect needed for this URL","Best first public candidate after old/new merge review"
FD-FIRST-002,Old Hebrew divorce URL,https://jus-tice.co.il/עוד-גירושין-מומלץ-כיצד-למצוא-עורך-דין-גירושין-וכמה-עולה-להתגרש/,"GSC browser: 960 impressions for עורך דין גירושין; 0 clicks; position 64.5; 697 exported words","Protected old traffic signal","PROTECT_NOW_MERGE_VALUE_REDIRECT_LATER_IF_NO_DISTINCT_ROLE","WAIT","No redirect noindex or canonical change yet","Protected from careless loss but not sacred forever"
FD-FIRST-003,Divorce PDF,https://jus-tice.co.il/wp-content/uploads/2022/06/misradhamishpatim-women.pdf,"GSC browser: 45 impressions for divorce-lawyer query","Document asset","DOCUMENT_STRATEGY_REQUIRED","WAIT","Do not remove or noindex yet","May need contextual HTML page or download warning"
FD-FIRST-004,Duplicate clean-target old article,http://jus-tice.co.il/עורך-דין-לענייני-גירושין/,"Slug conflict review: 9,077 words; duplicate target slug to /divorce-lawyer/","Large duplicate/migration candidate","COMPARE_FOR_MERGE_BEFORE_FINAL_UPLOAD","FIRST_REVIEW","No redirect until compared","Likely source of useful material for pillar"
FD-FIRST-005,Law-office selection article,http://jus-tice.co.il/articles/איך-לבחור-משרד-עורך-דין-גירושין-כשמתגר/,"Migration map duplicate target to /divorce-lawyer/","Selection support or merge candidate","MERGE_SELECTION_GUIDANCE_OR_KEEP_SUPPORT","SECOND","Redirect later only if merged","Useful for choosing-lawyer section"
FD-FIRST-006,What is divorce lawyer,http://jus-tice.co.il/מה-זה-עורך-דין-גירושין/,"Migration map duplicate target to /divorce-lawyer/","Thin/basic support or merge candidate","MERGE_BASIC_DEFINITION","SECOND","Redirect later only if merged","Likely too overlapping to remain independent"
FD-FIRST-007,Divorce cost page,https://jus-tice.co.il/divorce-costs-2025/,"Large cost support article; date-sensitive","Cost support","PROTECT_UPDATE_AS_SUPPORT","SECOND","Self-canonical if kept; no redirect now","Useful for cost keyword and pillar cost section"
FD-FIRST-008,Divorce consultation guide,https://jus-tice.co.il/divorce-consultation-guide/,"Review queue marks as consultation support","Consultation support","KEEP_AS_SUPPORT_REVIEW","SECOND","No redirect now","Can support first-meeting intent"
FD-FIRST-009,Generic divorce guide,https://jus-tice.co.il/divorce-everything-you-need-to-know/,"Review queue marks potential broad duplicate","Generic guide","COMPARE_OR_MERGE","SECOND","Redirect only after approval","May duplicate pillar"
FD-FIRST-010,Recommended/trusted divorce pages,REFERENCE:RECOMMENDED_TRUSTED_DIVORCE_PAGES,"Multiple pages use recommended/top/trusted language","Compliance-sensitive trust pages","HOLD_FOR_COMPLIANCE_REVIEW","WAIT","No canonical/redirect decision yet","Do not use as proof or trust badges"
FD-FIRST-011,Maya ranking-style page,https://jus-tice.co.il/rotenberg-law-top-ranked-family-divorce-mediation/,"Ranking-style lawyer/firm page","Profile/reputation risk","HOLD_FOR_PROFILE_COMPLIANCE","WAIT","No redirect/canonical decision yet","May not be used for fake ranking or review signal"
FD-FIRST-012,Family broad hub,https://jus-tice.co.il/family-law/,"Broad hub role unresolved","Future family-law hub","SEPARATE_HUB_DECISION","WAIT","No migration now","Do not overload divorce pillar with all family-law intent"
