section_id,live_order,source,visible_label_or_heading,user_signal,google_signal,business_signal,status,issue,recommended_action,priority,approval_gate,notes
homepage-meta,0,live-public-html,"Title: עורכי דין בישראל | מדריך עורכי דין, מאמרים משפטיים וייעוץ","Clear broad legal-help entry","Broad lawyer/legal portal relevance","Good brand/entity positioning","VERIFIED","Needs comparison before any rewrite","Keep current direction; do not rewrite blindly","HIGH","OWNER_APPROVAL_REQUIRED","Homepage has 26 clicks and 5459 impressions in prior GSC pass."
template-authority,0,front-page.php vs page-home.php,"Live scrape matches shorter front-page flow","Users see fewer strategic sections than page-home provides","Google sees only the live shorter structure","Planning risk if wrong template is optimized","REVIEW","Authoritative homepage template not formally decided","Decide whether front-page.php or page-home.php owns the public homepage","CRITICAL","OWNER_APPROVAL_REQUIRED","page-home.php has richer city LegalTech pillar topic lawyer CTA sections that were not visible in scrape."
header-nav,1,site-header/live-html,"Navigation links, /lawyers/, /articles/, #ask-lawyer, phone","Useful top-level routing","Crawlable directory/article links","Supports user and lawyer funnel","REVIEW","Two page_id links visible in scrape","Replace page_id navigation with clean URLs after target confirmation","MEDIUM","OWNER_APPROVAL_REQUIRED","No menu change executed."
hero-search,2,template-parts/sections/hero.php,"צריכים עורך דין או הכוונה משפטית? התחילו כאן","Strong first step for legal-help users","Strong broad lawyer/help signal","Routes users to directory/intake","VERIFIED_WITH_ISSUE","Hero city values appear Hebrew while directory expects city slugs","Align hero city dropdown values with /lawyers/ filter contract","HIGH","OWNER_APPROVAL_REQUIRED","Search posts to /lawyers/."
hero-quick-links,3,template-parts/sections/hero.php,"תחומי חיפוש מרכזיים","Helpful if terms are clean","Taxonomy links create topical crawl paths","Can route to major fields","REVIEW","Live headings include raw slug real-estate-law and duplicate/uncurated terms","Replace top-count taxonomy list with approved curated hubs","HIGH","OWNER_APPROVAL_REQUIRED","Avoid weak/unapproved categories."
practice-grid,4,template-parts/sections/practice-areas-grid.php,"חיפוש לפי תחום משפטי","Good user model","Broad topical relevance","Supports category and pillar navigation","REVIEW","hide_empty=false can expose empty or low-quality areas","Curate grid to approved clusters and stable URLs","HIGH","OWNER_APPROVAL_REQUIRED","No taxonomy/menu change executed."
find-lawyer-guide,5,template-parts/sections/find-lawyer-guide.php,"איך מוצאים עורך דין מתאים? 6 שלבים לבחירה נכונה","Very useful educational guide","Supports find-lawyer intent","Builds trust if sourced","KEEP_WITH_REVIEW","Long section and cost/free/review claims need source/compliance review","Keep but tighten mobile and add official/source links where needed","MEDIUM","LEGAL_REVIEW_REQUIRED","Could become separate /find-lawyer/ guide with homepage summary."
featured-lawyer,6,template-parts/sections/featured-lawyers.php,"מיני-סייט מקצועי בדיני משפחה","Empty state feels unfinished","No fake lawyer data shown","Shows lawyer product but weak proof point","REVIEW","Live scrape showed approved-profile placeholder","Show approved Maya only after approval or hide block until real profile is ready","HIGH","OWNER_APPROVAL_REQUIRED","Good anti-fake behavior; weak public trust state."
latest-articles,7,template-parts/sections/latest-articles.php,"מאמרים משפטיים אחרונים","Articles are findable","Fresh content but not semantic cluster map","Shows content depth","REVIEW","Latest-only articles skew family-law and card titles appear as H2s","Use curated important guides by cluster and review card heading level","HIGH","OWNER_APPROVAL_REQUIRED","Related/latest logic must not become random."
ask-lawyer,8,template-parts/sections/ask-lawyer.php,"שאלה משפטית? קבלו הכוונה ראשונית","Strong lead path","Clear legal-help intent","Core conversion surface","VERIFIED_PARTIAL","CRM delivery and GA4 events not verified","Verify form delivery and track generate_lead/search/CTA events","CRITICAL","TECHNICAL_VERIFICATION_REQUIRED","Form posts to admin-post with nonce/spam fields."
trust-stats,9,template-parts/sections/trust-section.php,"מאמרים, תחומי משפט, ערים, שנות פעילות","Builds confidence if accurate","Scale/authority signal","Brand trust","REVIEW","Some counts are hard-coded and need source verification","Keep dynamic counts; verify or soften hard-coded claims","MEDIUM","OWNER_APPROVAL_REQUIRED","No trust copy change executed."
bottom-cta,10,template-parts/sections/cta-section.php,"מצאו את עורך הדין המתאים לכם — עכשיו","Clear final action","Reinforces directory/contact pathway","Conversion support","REVIEW","Phone source and phone-click tracking not verified","Verify public phone ownership and GA4 phone_click event","MEDIUM","TECHNICAL_VERIFICATION_REQUIRED","Phone seen in public scrape: 036161535."
missing-sections,11,page-home.php,"Cities LegalTech featured pillars topic clusters lawyer CTA newsletter","Could improve navigation if real","Could strengthen hierarchy if curated","Supports directory/legal-tech/lawyer funnel","PLANNED_NOT_LIVE","Richer page-home sections not visible on live scrape","Decide which strategic sections should be added to live homepage","HIGH","OWNER_APPROVAL_REQUIRED","Do not expose LegalTech/newsletter until routes/forms/products are real."
link-hygiene,12,live-public-html,"117 links; 10 first-party http links; 2 page_id links; repeated # links","Possible trust/copying friction","Mixed link hygiene weakens crawl consistency","Technical polish issue","REVIEW","Legacy http/page_id/hash links still visible in live scrape","Classify source ownership and fix in approved batch","HIGH","OWNER_APPROVAL_REQUIRED","No link cleanup executed."
