source_id,cluster,topic,source_type,official_source_url,source_body,why_it_matters,privacy_risk,publication_policy,next_action
FAM-LIB-001,family-law,גירושין בהסכמה,official_service_page,https://www.gov.il/he/service/request-divorce-by-consent,בתי הדין הרבניים,Explains when spouses can file a consensual divorce/agreement approval request.,low,Use as official-source citation and process summary; do not copy text verbatim.,Map to consensual-divorce guide and divorce hub.
FAM-LIB-002,family-law,אישור הסכם גירושין או ממון,official_service_page,https://www.gov.il/he/service/couple-family-agreement,הרשות השופטת,Explains filing an agreement approval request in family court and required documents.,low,Use as official-source citation and checklist basis; do not claim legal advice.,Map to divorce agreement and property agreement guides.
FAM-LIB-003,family-law,זמני שהות ילדים,official_service_page,https://www.gov.il/he/service/stay-arrangements,בתי הדין הרבניים,Explains request for child stay arrangements and procedure framing.,medium,Use carefully; no child-specific facts; add legal-review gate.,Map to custody/parenting-time guide.
FAM-LIB-004,family-law,תעודת גירושין ומעשה בית דין,official_service_page,https://www.gov.il/he/service/obtaining-divorce-certificate,בתי הדין הרבניים,Explains divorce certificate and religious-court confirmation document.,low,Use as process explainer source with official link.,Map to post-divorce checklist.
FAM-LIB-005,family-law,יחידות הסיוע וישוב סכסוך,official_unit_page,https://www.gov.il/he/Departments/units/molsa-court-assiatance-units,משרד הרווחה והביטחון החברתי,Explains assistance units near family courts and religious courts and dispute-resolution process.,low,Use as official background source; do not overstate outcomes.,Map to mediation/dispute-resolution guide.
FAM-LIB-006,family-law,פסקי דין בתי הדין הרבניים,official_dynamic_collector,https://www.gov.il/he/Departments/DynamicCollectors/verdict_the_rabbinical_courts,בתי הדין הרבניים,Official searchable collection of rabbinical-court decisions.,high,Do not mass import; manually review allowed-publication status and anonymization before summary.,Create 3-case pilot only after privacy/legal review.
FAM-LIB-007,family-law,פסקי דין בתי הדין השרעיים,official_dynamic_collector,https://www.gov.il/he/departments/dynamiccollectors/shrais-verdicts,בתי הדין השרעיים,Official searchable collection of Sharia-court decisions.,high,Do not mass import; treat as separate jurisdiction and require reviewer.,Hold until non-Jewish family-law coverage strategy exists.
FAM-LIB-008,family-law,פסקי דין שפורסמו על ידי דוברות הרשות השופטת,official_dynamic_collector,https://www.gov.il/he/Departments/DynamicCollectors/spokmanship_court,הרשות השופטת,Official public-interest decisions and route note to Net HaMishpat for broader decisions.,high,Use as discovery source; publish only original summaries with source/legal/privacy review.,Filter for family-law items and add source-review queue.
FAM-LIB-009,cross-site,חוקי מדינת ישראל,official_legislation_database,https://www.gov.il/he/service/the_laws_of_the_state_of_israel_in_the_national_legislation_database,הכנסת / מאגר החקיקה הלאומי,Official service page for the National Legislation Database; official publications prevail on conflict.,low,Link to official law pages; do not claim Jus-Tice hosts controlling law text.,Use for law-reference data model and citation policy.
FAM-LIB-010,cross-site,אינדקס פסיקת חופש מידע,official_dynamic_collector,https://www.gov.il/he/Departments/DynamicCollectors/verdict-freedom-of-information,היחידה הממשלתית לחופש המידע,Example of a curated government case-law index with summary fields and full-decision links.,medium,Use as model for Jus-Tice index fields, not family-law source unless topic matches.,Model metadata fields for justice_case index.
