decision_id,area,current_url,current_status,evidence,recommended_action,owner_approval_question,approval_status,blocked_actions,notes
REALESTATE-CURRENT-PILLAR-001,real-estate-current-commercial-pillar,https://jus-tice.co.il/real-estate-attorney/,"Published current candidate; 6941 words; quality 6/10","Inventory shows no exact /real-estate-lawyer/ URL; current page has Hebrew slug and English URL real-estate-attorney","COMPARE_AS_CURRENT_PRIMARY_NO_URL_CHANGE","Should /real-estate-attorney/ remain current primary until a migration map approves /real-estate-lawyer/?","OWNER_APPROVAL_REQUIRED","No title H1 meta content slug redirect canonical sitemap homepage or CMS edit","Likely current service candidate but not approved for execution."
REALESTATE-STRATEGIC-SLUG-001,strategic-clean-slug,https://jus-tice.co.il/real-estate-lawyer/,"Strategic future target only; no exact current public URL found","User URL strategy prefers clean English slugs but migration is not approved","MIGRATION_MAP_REQUIRED","Should /real-estate-lawyer/ be future target only after redirect/canonical/sitemap map?","OWNER_APPROVAL_REQUIRED","No creation redirect canonical sitemap or slug change","Do not create duplicate live page."
REALESTATE-HOMEPAGE-GSC-001,homepage-accidental-primary,https://jus-tice.co.il/,"Homepage is carrying real-estate lawyer impressions","GSC: עורך דין מקרקעין has 136 impressions on homepage; עורך דין מקרקעין ייעוץ חינם has 135 impressions on homepage","HOMEPAGE_TO_PILLAR_LINK_REVIEW","Approve homepage section/link review so homepage routes real-estate intent to the correct pillar?","OWNER_APPROVAL_REQUIRED","No homepage copy layout CTA menu or link change","Homepage should support broad portal intent, not act as the real-estate pillar."
REALESTATE-COST-GSC-001,cost-sale-support,https://jus-tice.co.il/real-estate-lawyer-cost-2025/,"Published cost/sale support page; 11330 words; quality 6/10","GSC: 3.85K impressions for עורך דין מכירת דירה; 885 for קניית דירה; 31 for חוזה מכר","PROTECT_KEEP_AS_SUPPORT_COMPARE","Should the cost page stay as support and link to the approved real-estate pillar?","OWNER_APPROVAL_REQUIRED","No title meta rewrite merge redirect or canonical change","High impressions but broad overloaded intent."
REALESTATE-BUYING-APARTMENT-001,buying-apartment-support,https://jus-tice.co.il/buying-apartment/,"Future clean support candidate only; no exact current URL found","GSC buying-apartment demand is mostly on real-estate-lawyer-cost-2025; old buying pages exist","SUPPORT_COMPARISON_REQUIRED","Approve comparison before creating or migrating /buying-apartment/?","OWNER_APPROVAL_REQUIRED","No new page redirect slug title or CMS edit","Existing candidates include ID 11261, /apartment/, /lawyer-for-buying-or-selling-a-house/, and old checklist pages."
REALESTATE-OLD-BUYING-ARTICLE-001,old-buying-apartment-content,http://jus-tice.co.il/%D7%A7%D7%A0%D7%99%D7%99%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%91%D7%97%D7%9C%D7%A7%D7%99%D7%9D-%D7%A9%D7%90%D7%99%D7%A0%D7%9D-%D7%A9%D7%95%D7%95%D7%99%D7%9D-%D7%9B%D7%99%D7%A6%D7%93-%D7%97%D7%95%D7%9C%D7%A7%D7%99%D7%9D-%D7%90%D7%AA-%D7%94%D7%A8%D7%95%D7%95%D7%97/,"Published old Hebrew buying-apartment article; 15570 words; quality 6/10","Slug conflict review selects this by word count for buying-apartment but no exact clean URL exists","COMPARE_MERGE_OR_KEEP_LATER","Should useful content be merged into a future buying-apartment support page after source review?","OWNER_APPROVAL_REQUIRED","No rewrite redirect noindex deletion or canonical change","Word count does not make it the approved support primary."
REALESTATE-APARTMENT-INTERNATIONAL-001,international-apartment-overlap,https://jus-tice.co.il/apartment/,"Published abroad/investment-framed apartment page; 5553 words; quality 3/10","GSC: low sample 10 impressions for קניית דירה; title frames רכישת דירה בחו״ל","SEPARATE_OR_REWRITE_REVIEW","Should this be separated into international-property cluster instead of local buying-apartment support?","OWNER_APPROVAL_REQUIRED","No redirect noindex rewrite or related-card change","Avoid mixing Israeli buyer legal help with abroad investment intent."
REALESTATE-BUYSELL-SUPPORT-001,buying-selling-lawyer-support,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,"Published support candidate; 2192 words; quality 5/10","Existing page targets עורך דין קניית דירה and מכירת דירה","KEEP_SUPPORT_COMPARE","Should this support the pillar or merge into buying-apartment/sale page?","OWNER_APPROVAL_REQUIRED","No title H1 meta rewrite redirect or canonical change","Useful candidate for transaction support."
REALESTATE-PURCHASE-AGREEMENT-001,sale-agreement-support,https://jus-tice.co.il/real-estate-purchase-agreement/,"Future clean support candidate only","GSC: חוזה מכר maps to real-estate-lawyer-cost-2025 with 31 impressions; old contract/registration pages exist","SUPPORT_STRATEGY_REQUIRED","Approve support strategy before creating or migrating sale-agreement page?","OWNER_APPROVAL_REQUIRED","No new page redirect title rewrite or sitemap change","Compare contractor contract, sale registration, handwritten agreement and cost page first."
REALESTATE-REGISTRY-SUPPORT-001,registry-support,https://jus-tice.co.il/land-registration/,"Published registry page; 434 words; quality 2/10; marked EXPAND","Related registry pages include /registration-of-real-estate-israel/ and /real-estate-registration-procedure-israel/","EXPAND_AFTER_SOURCE_REVIEW","Approve registry support review with official-source checklist?","OWNER_APPROVAL_REQUIRED","No rewrite redirect noindex or merge","Registry/Tapu claims need official-source/legal review."
REALESTATE-TAX-SUPPORT-001,tax-support,https://jus-tice.co.il/land-appreciation-tax/,"Published tax support page; 2781 words; quality 6/10","Appears weakly for קניית דירה; should support transaction pages","KEEP_SUPPORT_SOURCE_REVIEW","Should tax page support pillar and buying-apartment pages after source review?","OWNER_APPROVAL_REQUIRED","No content rewrite title meta URL redirect or canonical change","Tax content must be source reviewed before changes."
REALESTATE-RENTAL-SUPPORT-001,rental-support,https://jus-tice.co.il/rental-agreement/,"Published rental support page; 5460 words; quality 6/10","Separate rental intent; online-rent-agreement has 0 words and quality 2/10","SEPARATE_RENTAL_SUPPORT_REVIEW","Approve separate rental support decision instead of mixing into purchase/sale pillar?","OWNER_APPROVAL_REQUIRED","No rewrite redirect noindex title or CMS change","Rental can support real-estate cluster but is separate from sale/purchase."
REALESTATE-INTERNATIONAL-CLEANUP-001,international-real-estate-contamination,https://jus-tice.co.il/buying-property-in-greece/,"International property page was selected as heuristic real-estate pillar by word count","Topic-cluster heuristic selected Greece page; related-content QA already found international-card risk","SEPARATE_INTERNATIONAL_CLUSTER","Approve manual cluster cleanup before internal-link generation?","OWNER_APPROVAL_REQUIRED","No taxonomy menu related-card or CMS change from this packet","International investment pages should not act as Israeli real-estate lawyer pillar."
