decision_id,area,current_url,current_status,evidence,recommended_action,owner_approval_question,approval_status,blocked_actions,notes
TRAFFIC-UPLOAD-REVIEW-PACKAGE-2026-05-11,owner-upload-review,https://jus-tice.co.il/traffic-lawyer/,"Review-only package created for 5 target decisions","Outline queue source/legal checklist and 31-row current-URL internal-link map are complete","APPROVE_PLANNING_PACKAGE_ONLY","Approve the traffic-law upload planning package and draft /traffic-lawyer/ first under source/legal review?","OWNER_APPROVAL_REQUIRED","No public upload URL redirect canonical sitemap internal-link related-card lawyer-card schema CRM review wp-admin or CMS action","See project-control/traffic-law-owner-upload-review-package-2026-05-11.md and .csv"
TRAFFIC-PILLAR-001,traffic-law-pillar,https://jus-tice.co.il/traffic-lawyer/,"Published article; 1399 words; exact clean URL exists","SERP commercial service intent; GSC weak primary ownership; existing URL has support links","EXPAND_EXISTING_NO_URL_CHANGE","Approve expanding /traffic-lawyer/ as the traffic-law pillar with no URL change?","OWNER_APPROVAL_REQUIRED","No slug redirect canonical sitemap or CMS edit until approved","Safest first traffic batch because no URL migration is needed."
DRUNK-DRIVING-001,traffic-support,https://jus-tice.co.il/driving-under-the-influence/,"Published article; 516 words; thin existing support page","SERP supports dedicated drunk-driving support; GSC wrong-page match points to will-revocation page","REVIEW_AND_EXPAND_EXISTING_NO_NEW_SLUG_YET","Approve reviewing and expanding current /driving-under-the-influence/ before creating /drunk-driving/?","OWNER_APPROVAL_REQUIRED","Do not create /drunk-driving/ or redirect existing page until approved","Wrong-page GSC signal should be fixed by traffic content/internal-link planning, not by editing the will page."
BREATHALYZER-001,traffic-support,https://jus-tice.co.il/yanshuf-breathalyzer-test/,"Published article; 484 words","Existing support page already linked from traffic pillar","KEEP_AS_SUPPORT_EXPAND_LATER","Approve keeping breathalyzer as support under /traffic-lawyer/?","OWNER_APPROVAL_REQUIRED","No content edit until source/legal review","Should link to drunk-driving and traffic pillar."
SPEEDING-001,traffic-support,https://jus-tice.co.il/speeding/,"Published article; 536 words","Existing support page already linked from traffic pillar","KEEP_AS_SUPPORT_EXPAND_LATER","Approve keeping speeding as support under /traffic-lawyer/?","OWNER_APPROVAL_REQUIRED","No content edit until source/legal review","Likely later support expansion."
DRUG-DRIVING-001,traffic-criminal-boundary,https://jus-tice.co.il/driving-under-the-influence-of-drugs/,"Published article; 500 words","Traffic/criminal overlap; existing support page","KEEP_AS_SUPPORT_REVIEW_BOUNDARY","Approve keeping as traffic support with careful criminal-law links?","OWNER_APPROVAL_REQUIRED","No content edit until cluster boundary is approved","Must not cannibalize drug-offenses criminal page."
LICENSE-SUSPENSION-001,traffic-support-candidate,https://jus-tice.co.il/license-suspension/,"Candidate only; no selected current page","GSC zero visible rows for checked filters; SERP intent exists but mixed","HOLD_DO_NOT_CREATE_YET","Approve holding /license-suspension/ until stronger evidence exists?","OWNER_APPROVAL_REQUIRED","Do not create page or slug yet","Need separate driver-license suspension from professional-license suspension."
WRONG-PAGE-001,wrong-page-gsc-signal,https://jus-tice.co.il/revocation-of-a-will-and-reviving-previous-will/,"Published will/inheritance page receiving drunk-driving lawyer impressions","GSC: 7 impressions for traffic lawyer intent on wrong page","DO_NOT_OPTIMIZE_WRONG_PAGE_FOR_TRAFFIC","Approve leaving will page alone and solving through traffic content/internal links later?","OWNER_APPROVAL_REQUIRED","Do not edit will page for traffic intent","Wrong-page signal is low sample but important as a warning."
CAR-ACCIDENT-BOUNDARY-001,personal-injury-boundary,https://jus-tice.co.il/car-accident-auto-injury-lawyer/,"Published article; 590 words; low-sample GSC","Traffic and personal-injury intent overlap","KEEP_SEPARATE_BOUNDARY_LINK_ONLY","Approve keeping car accident compensation separate from traffic defense?","OWNER_APPROVAL_REQUIRED","Do not fold into traffic pillar","Traffic page can explain boundary and link naturally."
INTERNAL-LINKS-001,internal-link-plan,https://jus-tice.co.il/traffic-lawyer/,"Existing pillar links to multiple support pages","Inventory and internal-link export show current traffic links","PREPARE_INTERNAL_LINK_BATCH_AFTER_CONTENT_APPROVAL","Approve natural Hebrew links between pillar and support pages after content approval?","OWNER_APPROVAL_REQUIRED","No CMS link edits yet","Every support article should link back to the pillar after approval."
