"area","url_or_file","current_status","visible_to_owner","next_action","safety"
"lawyer_registration","https://jus-tice.co.il/lawyer-registration/","LIVE_HTTP_200_FORM_PRESENT","YES_PUBLIC","Strengthen copy and make plan/account next step clearer","No test registration submitted"
"plan_interest_registration","https://jus-tice.co.il/lawyer-registration/?plan_interest=pro","LIVE_HTTP_200_FORM_PRESENT","YES_PUBLIC","Verify preselected/analytics intent in browser and GA4/GTM","No CMS/database changes"
"lawyer_plans","https://jus-tice.co.il/lawyer-plans/","LIVE_HTTP_200_NO_CHECKOUT_ACTIVE","YES_PUBLIC","Decide payment provider/product IDs/prices and disclosure wording","No payment setting changed"
"lawyer_dashboard","https://jus-tice.co.il/lawyer-dashboard/","LIVE_HTTP_200_GATED","PARTIAL_LOGIN_GATE","Create owner-verifiable demo linked lawyer account journey","No account/user/profile changed"
"lawyer_directory","https://jus-tice.co.il/lawyers/","LIVE_HTTP_200","YES_PUBLIC","Connect approved public lawyer cards to conversion funnel","Read-only check"
"owner_onboarding_admin","inc/lawyer-onboarding.php","IMPLEMENTED_OWNER_ADMIN","WP_ADMIN_ONLY","Verify activation fields in wp-admin after deployment/account access","No database row changed"
"justice_crm","inc/lead-crm.php","IMPLEMENTED_OWNER_ADMIN","WP_ADMIN_ONLY","Verify CRM lead quality/SLA fields with real admin view","No lead record changed"
"lead_routing","inc/lead-routing.php","IMPLEMENTED_CONDITIONAL","BEHIND_SCENES","Confirm qualified lead definition and enabled lawyers","No routing setting changed"
"monthly_value_report","project-control/lawyer-monthly-value-report-spec-2026-05-18.md","SPEC_ONLY","REPO_ONLY","Implement dashboard/report skeleton after analytics verification","Planning only"
"time_to_first_value","project-control/lawyer-time-to-first-value-plan-2026-05-18.md","SPEC_AND_FIELDS_STARTED","PARTIAL_ADMIN_ONLY","Surface non-sensitive first-value milestone in lawyer dashboard","Planning only"
