"decision_id","area","current_url","current_status","evidence","recommended_action","owner_approval_question","approval_status","blocked_actions","notes"
"EMPLOYMENT-SERVICE-PRIMARY-001","employment-service-primary","https://jus-tice.co.il/labor-lawyer/","Published current clean service candidate; 689 words; quality score 4/10","GSC shows only 16 impressions for עורך דין דיני עבודה and 34 for דיני עבודה on this URL","COMPARE_AS_SERVICE_PRIMARY_NO_URL_CHANGE","Should /labor-lawyer/ be expanded first as the service candidate before any /employment-lawyer/ migration?","OWNER_APPROVAL_REQUIRED","No title H1 meta content slug redirect canonical sitemap or CMS edit until approved","Weak but existing service page; safer first comparison candidate."
"EMPLOYMENT-FUTURE-SLUG-001","future-strategic-slug","https://jus-tice.co.il/employment-lawyer/","Future target only; exact current URL not found","Cleaner English slug but no current public URL in map","HOLD_URL_MIGRATION","Should /employment-lawyer/ remain a future target while migration stays blocked?","OWNER_APPROVAL_REQUIRED","Do not create /employment-lawyer/ or redirect /labor-lawyer/ yet","Needs SERP owner and migration-map approval."
"EMPLOYMENT-INFORMATIONAL-001","informational-primary","https://jus-tice.co.il/israeli-labor-law/","Current informational candidate for broad דיני עבודה","GSC browser evidence: 472 impressions for דיני עבודה on this URL","PROTECT_KEEP_INFORMATIONAL_SUPPORT","Approve keeping /israeli-labor-law/ separate from lawyer-service intent?","OWNER_APPROVAL_REQUIRED","No redirect noindex overwrite commercial rewrite or canonical change","Broad informational demand should not be collapsed into service page blindly."
"EMPLOYMENT-HOMEPAGE-OVERLAP-001","homepage-overlap","https://jus-tice.co.il/","Homepage has visible employment-law impressions","GSC browser evidence: 72 impressions for עורך דין דיני עבודה and 89 for דיני עבודה on homepage","HOMEPAGE_INTERNAL_LINK_REVIEW_ONLY","Approve treating homepage as a broad portal linker, not the employment-law primary?","OWNER_APPROVAL_REQUIRED","No homepage rewrite or section change yet","Homepage relevance should support major fields without becoming an employment page."
"EMPLOYMENT-SUPPORT-RELATIONSHIP-001","support-page","https://jus-tice.co.il/employer-worker-relationship/","Existing support article; 3879 words; quality score 8/10","GSC browser evidence: 4 impressions for דיני עבודה; quality audit says KEEP_OR_MAKE_PILLAR_REVIEW","KEEP_AS_SUPPORT_REVIEW","Approve reviewing employer-worker relationship as support before any merge or rewrite?","OWNER_APPROVAL_REQUIRED","No title H1 content redirect noindex or canonical change","Strong support candidate but not service primary."
"EMPLOYMENT-SUPPORT-CONTRACT-001","support-page","https://jus-tice.co.il/employment-contract/","Existing support page; 1097 words; quality score 2/10","Quality audit recommends REWRITE","REWRITE_SUPPORT_AFTER_SOURCE_REVIEW","Approve source/legal review before rewriting employment-contract support?","OWNER_APPROVAL_REQUIRED","No public rewrite or internal-link edit until approved","Useful support intent but low quality."
"EMPLOYMENT-SUPPORT-TERMINATION-001","support-page","https://jus-tice.co.il/notice-of-termination/","Existing support page; 842 words; quality score 4/10","Quality audit recommends REWRITE; internal links already point to labor-lawyer","REWRITE_SUPPORT_AFTER_SOURCE_REVIEW","Approve source/legal review before rewriting termination/prior-notice support?","OWNER_APPROVAL_REQUIRED","No public rewrite or internal-link edit until approved","Likely useful support page after legal review."
"EMPLOYMENT-CASE-LAW-001","case-law-support","https://jus-tice.co.il/פסק-דין-בנושא-הרמת-מסך-סעש-12385-08-16/","Case-law page appears for broad employment query","GSC browser evidence: 14 impressions average position 40 for דיני עבודה","KEEP_AS_CASE_SUPPORT","Approve keeping case-law page separate and using only reviewed summaries as support?","OWNER_APPROVAL_REQUIRED","No merge redirect noindex or commercial rewrite","Case-law should not become the public guide."
"EMPLOYMENT-LAWYER-FACING-001","lawyer-facing-content","https://jus-tice.co.il/legal-courses-for-lawyers/","Lawyer-facing page appeared once for public דיני עבודה query","GSC browser evidence: 1 impression average position 16; classification WRONG_PRIMARY_AUDIENCE","SEPARATE_FROM_PUBLIC_LEGAL_HELP","Approve separating lawyer-facing content from public employment-law cluster?","OWNER_APPROVAL_REQUIRED","Do not optimize lawyer-facing content for public employment terms","Avoid confusing Google and users."
"EMPLOYMENT-MIGRATION-001","url-migration-sitemap-redirect","EMPLOYMENT_CLUSTER_URLS","URL migration not approved","GSC evidence shows homepage informational and service-page split; future /employment-lawyer/ not current","NO_REDIRECT_OR_SITEMAP_CHANGE_NOW","Approve keeping all employment URL migration actions blocked until primary and intent split are approved?","OWNER_APPROVAL_REQUIRED","No redirect canonical sitemap noindex slug change homepage rewrite or CMS edit","Google should see no migration until the map is complete."
