priority,source_url,gsc_clicks,gsc_impressions,target_hub,anchor_direction,public_change_status,notes
P0,https://jus-tice.co.il/%D7%AA%D7%97%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%94-%D7%9B%D7%AA%D7%95%D7%91%D7%AA-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A8%D7%A9%D7%99%D7%9E%D7%94-%D7%90%D7%A8%D7%A6%D7%99%D7%AA-%D7%9E%D7%A2%D7%95%D7%93%D7%9B%D7%9F,482,118014,https://jus-tice.co.il/criminal-defense-attorney/,police investigation legal advice,NOT_CHANGED,"Massive practical police-intent page; route urgent users to criminal-defense help"
P0,https://jus-tice.co.il/criminal-defense-attorney/,10,62561,https://jus-tice.co.il/criminal-defense-attorney/,criminal defense lawyer,NOT_CHANGED,"Hub is live and protected"
P0,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C,96,52640,https://jus-tice.co.il/criminal-defense-attorney/,how to choose a criminal defense lawyer,NOT_CHANGED,"Trust-claim risk; rewrite away from famous/best/leading framing"
P0,https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,188,38667,https://jus-tice.co.il/criminal-defense-attorney/,criminal record and police certificate,NOT_CHANGED,"Strong criminal-record intent; high clicks"
P0,https://jus-tice.co.il/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99,234,38017,https://jus-tice.co.il/criminal-defense-attorney/,criminal defense lawyer cost,NOT_CHANGED,"Commercial price intent; remove recommended framing"
P0,https://jus-tice.co.il/sex-crime-lawyer/,34,27904,https://jus-tice.co.il/criminal-defense-attorney/,representation in sex-offense cases,NOT_CHANGED,"High-risk high-value subpractice; requires careful ethical language"
P0,https://jus-tice.co.il/drug-related-crime/,3,24014,https://jus-tice.co.il/criminal-defense-attorney/,representation in drug offenses,NOT_CHANGED,"Clear criminal-defense subtopic"
P0,https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/,224,23313,https://jus-tice.co.il/criminal-defense-attorney/,criminal lawyer representation cost,NOT_CHANGED,"High commercial cost intent; title has recommended-price risk"
P0,https://jus-tice.co.il/tax-investigation-guide/,115,22811,https://jus-tice.co.il/criminal-defense-attorney/,tax investigation and tax offenses,NOT_CHANGED,"Criminal/tax intersection; likely commercial"
P0,https://jus-tice.co.il/traffic-lawyer/,0,20330,https://jus-tice.co.il/criminal-defense-attorney/,criminal traffic case representation,NOT_CHANGED,"Duplicate-target conflict; hold until traffic/criminal boundary approved"
P0,https://jus-tice.co.il/articles/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%97%D7%96%D7%A8%D7%94-%D7%9E%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%91%D7%99%D7%98%D7%95%D7%9C,11,18431,https://jus-tice.co.il/criminal-defense-attorney/,indictment cancellation,NOT_CHANGED,"Strong litigation intent"
P0,https://jus-tice.co.il/famous-criminal-defense-lawyer/,90,16268,https://jus-tice.co.il/criminal-defense-attorney/,choosing a criminal defense lawyer,NOT_CHANGED,"Trust-claim risk; preserve traffic but rewrite claims"
P0,https://jus-tice.co.il/lawyer-near-me-criminal-law/,13,12986,https://jus-tice.co.il/criminal-defense-attorney/,local criminal lawyer,NOT_CHANGED,"Local/service intent; avoid rating claims"
P0,https://jus-tice.co.il/what-is-money-laundering/,11,12548,https://jus-tice.co.il/criminal-defense-attorney/,money-laundering offenses,NOT_CHANGED,"White-collar criminal intent"
P0,https://jus-tice.co.il/sexual-offenses/,11,11557,https://jus-tice.co.il/criminal-defense-attorney/,sex-offense legal representation,NOT_CHANGED,"Sensitive support page; wording must be careful"
P0,https://jus-tice.co.il/economic-crimes-white-collar-lawyer/,20,11283,https://jus-tice.co.il/criminal-defense-attorney/,economic crimes and white collar defense,NOT_CHANGED,"Strong commercial criminal subpractice"
P0,https://jus-tice.co.il/leading-criminal-law-firm/,16,10533,https://jus-tice.co.il/criminal-defense-attorney/,criminal law firm,NOT_CHANGED,"Trust-claim risk; remove leading unless substantiated"
P0,https://jus-tice.co.il/%D7%94%D7%9C%D7%99%D7%9A-%D7%94%D7%9E%D7%A2%D7%A6%D7%A8-%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%9E%D7%A2%D7%A6%D7%A8%D7%99%D7%9D-%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%A2%D7%95%D7%93-%D7%A4%D7%9C%D7%99%D7%9C%D7%99,22,10165,https://jus-tice.co.il/criminal-defense-attorney/,arrest lawyer,NOT_CHANGED,"Urgent commercial intent"
