priority,source_url,gsc_clicks,gsc_impressions,target_hub,anchor_direction,public_change_status,notes
P0,https://jus-tice.co.il/real-estate-attorney/,17,88601,https://jus-tice.co.il/real-estate-attorney/,real estate lawyer,NOT_CHANGED,"Main commercial hub; title has recommended/free-consultation trust-claim risk"
P0,https://jus-tice.co.il/real-estate-lawyer-guide/,7,26708,https://jus-tice.co.il/real-estate-attorney/,real estate lawyer for property transaction,NOT_CHANGED,"Recovered route should support the main commercial hub"
P0,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,3,35650,https://jus-tice.co.il/real-estate-attorney/,buying or selling apartment lawyer,NOT_CHANGED,"Direct money intent for apartment transactions"
P0,https://jus-tice.co.il/registration-of-real-estate-israel/,15,17400,https://jus-tice.co.il/real-estate-attorney/,real-estate rights registration,NOT_CHANGED,"Practical transaction/legal step"
P0,https://jus-tice.co.il/articles/%D7%A4%D7%99%D7%A8%D7%95%D7%A7-%D7%A9%D7%99%D7%AA%D7%95%D7%A3-%D7%91%D7%99%D7%9F-%D7%91%D7%A0%D7%99-%D7%96%D7%95%D7%92-%D7%97%D7%9C%D7%95%D7%A7%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%9C%D7%A4%D7%99,8,16201,https://jus-tice.co.il/real-estate-attorney/,partition of shared apartment,NOT_CHANGED,"Strong real-estate/family overlap; coordinate with family cluster"
P0,https://jus-tice.co.il/land-appreciation-tax/,2,11831,https://jus-tice.co.il/real-estate-attorney/,land appreciation tax and real-estate taxation,NOT_CHANGED,"Tax/legal transaction intent"
P0,https://jus-tice.co.il/real-estate-lawyer-cost-2025/,3,10927,https://jus-tice.co.il/real-estate-attorney/,apartment sale lawyer cost,NOT_CHANGED,"Price/commercial intent; keep factual"
P0,https://jus-tice.co.il/real-estate-appraiser/,9,10295,https://jus-tice.co.il/real-estate-attorney/,real-estate appraisal in apartment transaction,NOT_CHANGED,"Transaction-support page"
P0,https://jus-tice.co.il/marital-property-agreement/,13,8072,https://jus-tice.co.il/real-estate-attorney/,property agreement for apartment,NOT_CHANGED,"Family/real-estate overlap; coordinate with family cluster"
P0,https://jus-tice.co.il/%D7%A4%D7%99%D7%A6%D7%95%D7%99-%D7%91%D7%92%D7%99%D7%9F-%D7%90%D7%99%D7%97%D7%95%D7%A8-%D7%91%D7%9E%D7%A1%D7%99%D7%A8%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%9E%D7%A7%D7%91%D7%9C%D7%9F-%D7%AA%D7%90-10300-02-21,7,7725,https://jus-tice.co.il/real-estate-attorney/,late apartment delivery compensation,NOT_CHANGED,"High commercial dispute intent"
P0,https://jus-tice.co.il/spouse-property-registration-guide/,84,7432,https://jus-tice.co.il/real-estate-attorney/,apartment registered to one spouse,NOT_CHANGED,"High-click family/real-estate overlap"
P0,https://jus-tice.co.il/%D7%9E%D7%94%D7%95-%D7%99%D7%95%D7%A2%D7%A5-%D7%A0%D7%93%D7%9C%D7%9F,10,7404,https://jus-tice.co.il/real-estate-attorney/,legal check before real-estate transaction,NOT_CHANGED,"Needs content review; may be advisory/non-legal"
P1-DEEMPHASIZE,https://jus-tice.co.il/low-value-invest-abroad/,128,37005,DISCOVERABLE_NOT_PRIMARY,foreign investment content,NOT_CHANGED,"High traffic but weaker immediate Israeli lawyer-lead fit"
P1-DEEMPHASIZE,https://jus-tice.co.il/buying-property-in-greece/,40,30418,DISCOVERABLE_NOT_PRIMARY,foreign property purchase,NOT_CHANGED,"Preserve but do not outrank Israeli real-estate hub"
P1-DEEMPHASIZE,https://jus-tice.co.il/investing-in-greece-real-estate/,22,27183,DISCOVERABLE_NOT_PRIMARY,foreign real-estate investment,NOT_CHANGED,"Preserve but do not outrank Israeli real-estate hub"
P1-DEEMPHASIZE,https://jus-tice.co.il/apartment/,6,12916,DISCOVERABLE_NOT_PRIMARY,foreign apartment purchase,NOT_CHANGED,"Mixed foreign-investment intent"
P1-DEEMPHASIZE,https://jus-tice.co.il/real-estate-united-kingdom/,47,11181,DISCOVERABLE_NOT_PRIMARY,foreign property purchase,NOT_CHANGED,"High traffic but monetization unclear"
P1-DEEMPHASIZE,https://jus-tice.co.il/portugal-real-estate/,8,7492,DISCOVERABLE_NOT_PRIMARY,foreign property purchase,NOT_CHANGED,"Keep discoverable; lower homepage priority"
