priority,source_url,target_url,action_status,insert_location,exact_anchor,cms_ready_snippet_he,reason,verification_status,blocker_or_note
P0,https://jus-tice.co.il/real-estate-attorney/,SELF_HUB,READY_FOR_OWNER_APPROVAL,above_fold_intro,SELF,"עסקת נדל""ן בישראל משלבת חוזה, רישום זכויות, מיסוי, מימון ולעיתים גם התנהלות מול קבלן, מוכר, קונה או רשות. בעמוד זה ריכזנו את המצבים שבהם כדאי לבדוק ליווי משפטי לפני חתימה, תשלום או רישום בטאבו, ואת המדריכים המשלימים לפי סוג העסקה.",Strengthen primary commercial hub without URL/canonical/title change,VERIFIED_LIVE_200_SELF_CANONICAL,No public edit yet
P0,https://jus-tice.co.il/real-estate-attorney/,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,READY_FOR_OWNER_APPROVAL,hub_navigation_block,קניית או מכירת דירה,"<li><a href=""https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/"">קניית או מכירת דירה</a></li>",Hub should link down to transaction support page,VERIFIED_TARGET_200_SELF_CANONICAL,No public edit yet
P0,https://jus-tice.co.il/real-estate-attorney/,https://jus-tice.co.il/registration-of-real-estate-israel/,READY_FOR_OWNER_APPROVAL,hub_navigation_block,רישום זכויות מקרקעין וטאבו,"<li><a href=""https://jus-tice.co.il/registration-of-real-estate-israel/"">רישום זכויות מקרקעין וטאבו</a></li>",Hub should link down to registry/Tabu support,VERIFIED_TARGET_200_SELF_CANONICAL,No public edit yet
P0,https://jus-tice.co.il/real-estate-attorney/,https://jus-tice.co.il/land-appreciation-tax/,READY_FOR_OWNER_APPROVAL,hub_navigation_block,מס שבח ומיסוי מקרקעין,"<li><a href=""https://jus-tice.co.il/land-appreciation-tax/"">מס שבח ומיסוי מקרקעין</a></li>",Hub should link down to tax support,VERIFIED_TARGET_200_SELF_CANONICAL,No public edit yet
P0,https://jus-tice.co.il/real-estate-attorney/,https://jus-tice.co.il/real-estate-lawyer-cost-2025/,READY_FOR_OWNER_APPROVAL,hub_navigation_block,עלות עורך דין בעסקת מקרקעין,"<li><a href=""https://jus-tice.co.il/real-estate-lawyer-cost-2025/"">עלות עורך דין בעסקת מקרקעין</a></li>",Hub should link down to cost support,VERIFIED_TARGET_200_SELF_CANONICAL,No public edit yet
P0,https://jus-tice.co.il/real-estate-attorney/,https://jus-tice.co.il/real-estate-appraiser/,READY_FOR_OWNER_APPROVAL,hub_navigation_block,שמאי מקרקעין ובדיקת שווי,"<li><a href=""https://jus-tice.co.il/real-estate-appraiser/"">שמאי מקרקעין ובדיקת שווי</a></li>",Hub should link down to appraisal support,VERIFIED_TARGET_200_SELF_CANONICAL,No public edit yet
P0,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,https://jus-tice.co.il/real-estate-attorney/,READY_FOR_OWNER_APPROVAL,after_first_lawyer_role_section,עורך דין מקרקעין לקניית או מכירת דירה,"בכל עסקת קנייה או מכירה כדאי לחבר את בדיקת החוזה, הערות האזהרה, המסים והרישום לתמונה משפטית אחת. אם אתם עדיין בשלב בחירת הליווי המשפטי, ראו גם את המדריך המרכזי על <a href=""https://jus-tice.co.il/real-estate-attorney/"">עורך דין מקרקעין לקניית או מכירת דירה</a>.",Direct apartment purchase/sale support should link to main hub,VERIFIED_LIVE_200_SELF_CANONICAL_NO_HUB_LINK,No public edit yet
P0,https://jus-tice.co.il/registration-of-real-estate-israel/,https://jus-tice.co.il/real-estate-attorney/,READY_FOR_OWNER_APPROVAL,near_registration_steps_or_disputes,ליווי עורך דין מקרקעין בעסקת נדלן,"רישום זכויות הוא חלק אחד מתוך עסקת מקרקעין רחבה יותר. כאשר הרישום קשור לחוזה מכר, הערת אזהרה, העברת בעלות או מחלוקת בין צדדים, כדאי לקרוא גם על <a href=""https://jus-tice.co.il/real-estate-attorney/"">ליווי עורך דין מקרקעין בעסקת נדל""ן</a>.",Registry support should link to hub only when representation/transaction intent exists,VERIFIED_LIVE_200_SELF_CANONICAL_NO_HUB_LINK,No public edit yet
P0,https://jus-tice.co.il/land-appreciation-tax/,https://jus-tice.co.il/real-estate-attorney/,READY_FOR_OWNER_APPROVAL,near_tax_before_sale_or_transfer,עורך דין מקרקעין שמלווה את העסקה,"מס שבח ומיסוי מקרקעין משפיעים על כדאיות העסקה ועל ניסוח החוזה. לפני חתימה או דיווח לרשויות, כדאי להבין גם מתי נדרש <a href=""https://jus-tice.co.il/real-estate-attorney/"">עורך דין מקרקעין שמלווה את העסקה</a>.",Tax page supports transaction intent without becoming broad hub,VERIFIED_LIVE_200_SELF_CANONICAL_NO_HUB_LINK,No public edit yet
P0,https://jus-tice.co.il/real-estate-lawyer-cost-2025/,https://jus-tice.co.il/real-estate-attorney/,READY_FOR_OWNER_APPROVAL,near_cost_table_or_fee_scope,עורך דין מקרקעין בעסקת דירה,"המחיר הוא רק חלק מהבדיקה. בעסקת דירה חשוב להבין גם מה כלול בליווי המשפטי: בדיקת זכויות, חוזה, מסים, בטוחות ורישום. להרחבה ראו את המדריך המרכזי על <a href=""https://jus-tice.co.il/real-estate-attorney/"">עורך דין מקרקעין בעסקת דירה</a>.",High-impression cost page should support broad money hub,VERIFIED_LIVE_200_SELF_CANONICAL_NO_HUB_LINK,No public edit yet
