source_url,source_title,target_url,target_title,anchor_text,link_type,reason,priority,status,approval_gate,notes
https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",https://jus-tice.co.il/car-accident-auto-injury-lawyer/,עורך דין תאונות דרכים,עורך דין תאונות דרכים,pillar_to_support,"Connect broad damages/service page to current protected car-accident candidate",CRITICAL,PLANNED_NEEDS_OWNER_APPROVAL,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Use current URL until /car-accident-lawyer/ migration is approved."
https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",https://jus-tice.co.il/israel-road-accident-compensation-law/,חוק הפיצויים לנפגעי תאונות דרכים,חוק הפיצויים לנפגעי תאונות דרכים,pillar_to_support,"Give road-accident users legal-support context from broad damages page",HIGH,PLANNED_NEEDS_OWNER_APPROVAL,LEGAL_REVIEW_REQUIRED,"Support page needs source-backed rewrite before public linking."
https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",https://jus-tice.co.il/compulsory-motor-vehicle-insurance/,ביטוח חובה,ביטוח חובה,pillar_to_support,"Connect compulsory-insurance support only as road-accident support",MEDIUM,PLANNED_NEEDS_OWNER_APPROVAL,LEGAL_REVIEW_REQUIRED,"Avoid policy-specific insurance advice."
https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",https://jus-tice.co.il/punitive-damage/,פיצויים עונשיים,פיצויים עונשיים,pillar_to_support_specialist,"Specialist tort/damages concept support",MEDIUM,PLANNED_NEEDS_OWNER_APPROVAL,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Do not let punitive damages compete with broad service intent."
https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",https://jus-tice.co.il/outline-of-tort-law/,מתווה דיני הנזיקין,דיני נזיקין,pillar_to_support,"Connect broad service page to informational tort-law overview",HIGH,PLANNED_NEEDS_OWNER_APPROVAL,LEGAL_REVIEW_REQUIRED,"Use support intent, not duplicate service title."
https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",https://jus-tice.co.il/tort-reform/,סקירת רפורמה בנזיקין,רפורמה בנזיקין,pillar_to_support,"Connect to currentness-sensitive tort reform support page",MEDIUM,PLANNED_NEEDS_OWNER_APPROVAL,LEGAL_REVIEW_REQUIRED,"Review currentness before public prominence."
https://jus-tice.co.il/car-accident-auto-injury-lawyer/,עורך דין תאונות דרכים,https://jus-tice.co.il/tort-lawyer/,"תביעת נזיקין | עו""ד נזיקין ופיצויים",עורך דין נזיקין,support_to_pillar,"Route protected car-accident page back to broad damages service candidate",CRITICAL,PLANNED_NEEDS_OWNER_APPROVAL,OWNER_AND_LEGAL_REVIEW_REQUIRED,"If /personal-injury-lawyer/ is later approved, this row needs migration update."
https://jus-tice.co.il/car-accident-auto-injury-lawyer/,עורך דין תאונות דרכים,https://jus-tice.co.il/israel-road-accident-compensation-law/,חוק הפיצויים לנפגעי תאונות דרכים,פיצויים לנפגעי תאונות דרכים,support_to_support,"Connect car-accident service/support page to compensation-law explainer",HIGH,PLANNED_NEEDS_OWNER_APPROVAL,LEGAL_REVIEW_REQUIRED,"Use after source-backed rewrite."
https://jus-tice.co.il/car-accident-auto-injury-lawyer/,עורך דין תאונות דרכים,https://jus-tice.co.il/compulsory-motor-vehicle-insurance/,ביטוח חובה,ביטוח חובה בתאונת דרכים,support_to_support,"Connect road accident content to compulsory-insurance support",HIGH,PLANNED_NEEDS_OWNER_APPROVAL,LEGAL_REVIEW_REQUIRED,"Keep insurance support separate from lawyer-service intent."
https://jus-tice.co.il/israel-road-accident-compensation-law/,חוק הפיצויים לנפגעי תאונות דרכים,https://jus-tice.co.il/car-accident-auto-injury-lawyer/,עורך דין תאונות דרכים,עורך דין תאונות דרכים,support_to_subcluster_primary,"Compensation-law page should support the protected car-accident candidate",CRITICAL,PLANNED_NEEDS_OWNER_APPROVAL,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Current page already links to /tort-lawyer/; add car-accident route only after approval."
