check_id,scope,status,risk,evidence,next_step
MAYA-MINI-001,single lawyer profile public gate,VERIFIED LOCAL,"Unapproved, seed or demo lawyer profiles must not render as public mini-sites.",single-justice_lawyer.php blocks unapproved public requests with 404 handling before template output.,Keep this guard in place before any profile publishing or route repair.
MAYA-MINI-002,Maya related-article slug resolution,FIXED / VERIFIED LOCAL,Maya articles can fail to attach if the profile still has a Hebrew legacy slug.,single-justice_lawyer.php now adds the shared authority person slug into related article lookup.,"After deployment, verify Maya profile related articles include content connected to advocate-maya-rotenberg."
MAYA-MINI-003,connected lawyer article query,VERIFIED LOCAL,The mini-site needs a deterministic CMS field connection to supporting articles.,"single-justice_lawyer.php queries published articles by connected_lawyer_slug, including backtick-wrapped values.",Keep the connected_lawyer_slug field populated on approved supporting articles.
MAYA-MINI-004,no fake ratings or recommendations,VERIFIED LOCAL,"Ratings, reviews and testimonials must not be invented for authority or conversion.",single-justice_lawyer.php shows ratings/recommendations only after explicit CMS review signals and real counts.,"Before publishing, confirm Maya has approved review/recommendation data or leave those modules empty."
MAYA-MINI-005,profile view tracking gate,VERIFIED LOCAL,"View counters must not inflate during QA, crawls or logged-in editing.",single-justice_lawyer.php keeps profile view tracking disabled by default and excludes bots/logged-in/admin-like views.,Only enable tracking after live QA and analytics expectations are defined.
MAYA-MINI-006,lead form routing and spam guards,VERIFIED LOCAL,Mini-site leads must route to the profile while retaining spam and attribution controls.,"single-justice_lawyer.php includes assigned_lawyer_id, nonce, spam fields and attribution fields in the inquiry form.","After deploy, submit one controlled test lead only in an approved staging/live QA window."
MAYA-MINI-007,lawyer archive public filtering,VERIFIED LOCAL,The public lawyer directory must not list unapproved or seed profiles.,archive-justice_lawyer.php limits public directory output to approved lawyer IDs.,"After deploy, confirm the directory excludes seed/demo lawyers and includes only approved profiles."
MAYA-MINI-008,public REST output guards,VERIFIED LOCAL,REST endpoints must not leak private lawyer meta or expose unapproved profiles.,"inc/lawyer-rest-guards.php filters collections, blocks unapproved item reads and strips sensitive public response fields.","After deploy, read-only check anonymous REST for Maya and one unapproved profile ID."
MAYA-MINI-009,Attorney and Person schema gates,VERIFIED LOCAL,Schema should strengthen verified authority without creating schema for unapproved profiles.,inc/schema.php gates Attorney/Person schema behind public approval and inc/authority.php contains the Maya authority registry entry.,"After deploy, inspect JSON-LD on /lawyers/advocate-maya-rotenberg/ and run Rich Results validation."
MAYA-MINI-010,Maya slug/profile migrations are opt-in,VERIFIED LOCAL,Live profile data migrations must not run automatically without owner approval.,"inc/live-migrations.php keeps Maya slug, mini-site and source bootstraps behind false-by-default filters.",Do not enable these filters until owner approves the exact live migration step and rollback capture exists.
MAYA-MINI-011,Maya identity helper,VERIFIED LOCAL,Maya profile lookup must tolerate legacy Hebrew slugs during the transition.,"inc/template-tags.php can resolve Maya by canonical slug, legacy Hebrew slugs and title search before public approval checks.",Use this helper for route/schema/article connections instead of adding new one-off Maya matchers.
MAYA-MINI-012,public live profile verification,BLOCKED,The public Maya route cannot be treated as upload-ready until live redirect/cache behavior is confirmed.,Existing authority gate records NOT LIVE VERIFIED and calls out the Maya redirect loop/live route check.,"After uPress pull/deploy/cache clear, open /lawyers/advocate-maya-rotenberg/ and verify HTTP status, canonical, robots, schema and visible content."
MAYA-MINI-013,visual screenshots,NOT VERIFIED,Premium visual QA still needs rendered desktop/mobile evidence after deploy.,visual-qa-report.md still requires Maya public profile screenshots after deployment/live route repair.,Capture desktop/mobile screenshots after the live route is fixed; do not rely only on code inspection.
