URL,Primary_Query,Secondary_Queries,Total_Clicks,Total_Impressions,Average_CTR,Average_Position,Cannibalization_Flag,Mobile_Speed_Score,Core_Web_Vitals_Status
https://jus-tice.co.il/%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%a4%d7%9c%d7%99%d7%9c%d7%99-%d7%a9%d7%9b%d7%a8-%d7%9b%d7%9e%d7%94-%d7%9e%d7%a8%d7%95%d7%95%d7%99%d7%97-%d7%a2%d7%95%d7%93-%d7%a4%d7%9c%d7%99%d7%9c%d7%99-%d7%91%d7%99%d7%a9%d7%a8%d7%90%d7%9c,כמה מרוויח עורך דין פלילי,עורך דין פלילי שכר | כמה מרוויח עורך דין | כמה מרוויח עורך דין מתחיל | כמה עורך דין פלילי מרוויח | עורך דין שכר | שכר עו ד | שכר עורך דין | משכורת עורך דין | שכר עורך דין מתחיל | עורך לשוני שכר,115,4948,2.32%,22.4,FALSE,PENDING,PENDING
https://jus-tice.co.il/%d7%aa%d7%a47140-09-21%d7%9e%d7%93%d7%99%d7%a0%d7%aa-%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%a0-%d7%9b%d7%a8%d7%9e%d7%99,יובל כרמי פסק דין,יובל כרמי גזר דין | יובל כרמי | יובל כרמי כתב אישום | יובל כרמי פסיכולוג | פסק דין יובל כרמי | יובל כרמי עדויות | יובל כרמי פסיכולוג ויקיפדיה | יחסי מין בין מטפל נפשי למטופל | ניצן כרמי | טיפול באתרים בעונש,182,3873,4.70%,11.6,FALSE,PENDING,PENDING
https://jus-tice.co.il/%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%a2%d7%93%d7%9b%d7%a0%d7%99-%d7%9c%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f,אחוז הגירושין בישראל 2025,גירושים אחרי 20 שנה | אחוז גירושין בישראל 2025 | אחוז גירושים בישראל 2025 | גירושין בישראל | גירושים | האם בגידה משפיעה על חלוקת רכוש | גירושים בישראל | העלמת כספים בגירושין | עצות חכמות למתגרשים | אחוז הגירושין בישראל,70,8778,0.80%,42.9,FALSE,PENDING,PENDING
https://jus-tice.co.il/force-majeure,סעיף כוח עליון דוגמא,כוח עליון הגדרה | סעיף כוח עליון | סעיף כוח עליון בחוזה שכירות | כח עליון הגדרה | מה זה כוח עליון | כוח עליון | סיכול חוזה | סיכול חוזה שכירות | כח עליון | כוחות עליונים,116,2902,4.00%,25.8,FALSE,PENDING,PENDING
https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost,עורך דין פלילי מחירון,כמה עולה עורך דין פלילי | עורך דין פלילי שכר | שכר טרחה עורך דין פלילי | ששי גז מחיר | עורך דין ששי גז מחיר | כמה מרוויח עורך דין פלילי | מחיקת רישום פלילי מחיר | עורך דין פלילי מחירים | עורך דין פלילי עלויות | שכר עורך דין לשעה,141,33498,0.42%,42.6,TRUE,PENDING,PENDING
https://jus-tice.co.il/notary-public-new-york,נוטריון ישראלי בניו יורק,"עורך דין ישראלי בניו יורק | עורך דין נוטריון | עו""ד נוטריון | עו'''ד נוטריון | עוד נוטריון | עורך דין נוטריון תל אביב | עורכי דין בחולון נוטריונים | כספת לנוטריון | עו""ד חולון נוטריון | עורך דין גירושין בניו יורק",61,1962,3.11%,49.4,TRUE,PENDING,PENDING
https://jus-tice.co.il/psakdin/%d7%94%d7%9c%d7%9b%d7%aa-%d7%90%d7%9c%d7%a7%d7%a6%d7%90%d7%a6%d7%99-%d7%9e%d7%a9%d7%9a-%d7%94%d7%94%d7%9e%d7%aa%d7%a0%d7%94-%d7%9e%d7%91%d7%99%d7%98%d7%95%d7%9c-%d7%94%d7%9c%d7%99%d7%9a-%d7%a4%d7%a9,הלכת אלקצאצי,"הלכת לשצ'נקו | ביטול הליך פשיטת רגל | כונס הנכסים מידע מקוון | ביטול פשיטת רגל | מתנה לעורך דין אתיקה | פשיטת רגל לפי החוק החדש | טופס 5 פשיטת רגל | פש""ר תיקים | כונס הנכסים הרשמי חדלות פירעון | הגשת דו""חות חייב בפשיטת רגל",59,3600,1.64%,58.7,FALSE,PENDING,PENDING
https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info,מרבד,"מה זה מרבד | מרב""ד מה זה | מה זה מרב""ד | מרב""ד | מרבד מה זה | אתר מרב""ד | marvad | מרב״ד | קול הבריאות מרבד | מרב''ד",118,56611,0.21%,26.3,FALSE,PENDING,PENDING
https://jus-tice.co.il/low-value-invest-abroad,איפה הכי זול לקנות דירה בעולם,הבית הכי זול בעולם | דירות למכירה באירופה | דירות זולות | איפה הכי זול לקנות זהב בעולם | נדלן בעולם | לִקְנוֹת | הדירות הכי זולות בארץ | דירות להשקעה בחול | איפה כדאי לקנות דירה להשקעה בחול | דירה להשקעה בחול,46,67101,0.07%,56.1,FALSE,PENDING,PENDING
https://jus-tice.co.il/%d7%a1%d7%95%d7%92%d7%99%d7%9d-%d7%a9%d7%95%d7%a0%d7%99%d7%9d-%d7%a9%d7%9c-%d7%a8%d7%95%d7%a4%d7%90%d7%99%d7%9d,סוגי רופאים,סוגי רופאים מומחים | סוגי התמחויות ברפואה | רופאים | רשימת רופאים | רופא | רופאים מומחים | רשימת רופאים מרדימים בישראל | מתמחים ברפואה | ליווי מתמחים לרפואה | מומחים,54,3376,1.60%,42.7,TRUE,PENDING,PENDING
