"data_field","affected_rows","source_needed","method","priority","notes"
"post_id","869","WordPress REST API","GET /wp-json/wp/v2/articles?per_page=100&page=N","CRITICAL","post_id is needed to safely map content bodies to WP posts and run REST updates. 586 rows now have post_id from old inventory. 869 still need it."
"categories","1455","WordPress REST API","GET /wp-json/wp/v2/categories?per_page=100","CRITICAL","All 1455 rows have categories=UNKNOWN. Must pull real WP categories and map to each post."
"practice_area taxonomy","1455","WordPress REST API","GET /wp-json/wp/v2/practice-areas?per_page=100","CRITICAL","All rows have practice_area=UNKNOWN. The practice-areas taxonomy must be pulled and verified."
"tags","1455","WordPress REST API","GET /wp-json/wp/v2/tags?per_page=100","HIGH","All rows have tags=UNKNOWN."
"rank_math_title / rank_math_description","1455","WordPress REST API with Rank Math meta","GET /wp-json/wp/v2/articles/{id} ? check _rank_math_title meta field","HIGH","SEO titles and meta descriptions from Rank Math not in current master."
"author","1455","WordPress REST API","GET /wp-json/wp/v2/articles/{id}?_embed=1 ? check _embedded.author","HIGH","Author field is UNKNOWN for all rows. Need real WP author for E-E-A-T compliance."
"published_date / modified_date","1455","WordPress REST API","date and modified fields in API response","MEDIUM","Real dates needed for last-updated display and freshness signals."
"wp_status (publish/draft/private)","1455","WordPress REST API","status field in API response","HIGH","Cannot safely plan imports or redirects without knowing current publish status."
"gsc_clicks_3m / gsc_impressions_3m","1455","GSC API ? 3-month range","Already have 12m data. Need to re-run gsc-pull.js with startDate set to 3 months ago.","MEDIUM","Current master has 12m data. 3m data needed for recent trend and traffic risk assessment."
"content_body matching for 869 unmatched rows","869","WordPress REST API content export or WP All Export","GET /wp-json/wp/v2/articles/{id} ? content.rendered field","HIGH","583 rows have content bodies from old inventory. 872 rows still lack content body match. Need to pull content via REST for missing rows."
"active plugin list","NA","WordPress admin or WP-CLI","wp plugin list --status=active","HIGH","Cannot confirm CPT UI / cache / WAF / redirect plugin setup without live plugin list."
"sitemap status","NA","Manual GSC check or browser check","Visit jus-tice.co.il/sitemap.xml and check GSC Sitemaps tab","CRITICAL","0 sitemaps found via API. If no sitemap is submitted this is a critical indexing risk."
"backlink data per URL","306 HIGH traffic URLs","Ahrefs / SEMrush / Moz ? requires tool access","Backlink API or manual export","HIGH","Before redirecting any HIGH traffic URL we need backlink count. Cannot safely redirect without this."
"Maya Rotenberg lawyer profile status","1","WordPress admin check","Check /justice_lawyer/maya-rotenberg/ status in wp-admin","MEDIUM","Previously flagged as a profile that may be draft or not live. Must confirm before injecting internal links to this profile."
"existing redirect rules","NA","WordPress redirect plugin export or .htaccess","Export from Rank Math redirects or wp-admin redirect manager","HIGH","Cannot plan new redirects without knowing what redirects already exist. Risk of redirect chains."
