"id","date","modified","slug","status","link","title","caption","alt_text","media_type","mime_type","source_url"
"19112","2026-05-08T08:52:22","2026-05-08T08:52:22","justice-core","inherit","http://jus-tice.co.il/justice-core/","@{rendered=justice-core}","@{rendered=<p>justice-core</p>
}","","file","application/zip","https://jus-tice.co.il/wp-content/uploads/2026/05/justice-core.zip"
"19111","2026-05-08T08:50:50","2026-05-08T08:50:50","justice-theme","inherit","http://jus-tice.co.il/justice-theme/","@{rendered=justice-theme}","@{rendered=<p>justice-theme</p>
}","","file","application/zip","https://jus-tice.co.il/wp-content/uploads/2026/05/justice-theme.zip"
"12977","2025-10-19T10:11:56","2025-10-19T10:11:58","png-2","inherit","http://jus-tice.co.il/attachment/png-2/","@{rendered=.png}","@{rendered=}","תמונה שמכילה טקסט, גופן, צילום מסך, מסמך תוכן שנוצר על-ידי בינה מלאכותית עשוי להיות שגוי.","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/10/unnamed-file-1.png"
"12976","2025-10-19T10:11:53","2025-10-19T10:11:55","png","inherit","http://jus-tice.co.il/attachment/png/","@{rendered=.png}","@{rendered=}","תמונה שמכילה טקסט, צילום מסך, גופן, קו תוכן שנוצר על-ידי בינה מלאכותית עשוי להיות שגוי.","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/10/unnamed-file.png"
"12853","2025-08-31T11:16:25","2025-08-31T11:16:25","word-image-12851-2","inherit","http://jus-tice.co.il/attachment/word-image-12851-2/","@{rendered=word-image-12851-2}","@{rendered=}","","image","image/jpeg","https://jus-tice.co.il/wp-content/uploads/2025/08/word-image-12851-2.jpeg"
"12852","2025-08-31T11:16:17","2025-08-31T11:16:17","word-image-12851-1","inherit","http://jus-tice.co.il/attachment/word-image-12851-1/","@{rendered=word-image-12851-1}","@{rendered=}","","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/08/word-image-12851-1.png"
"12537","2025-05-26T17:16:37","2025-05-26T17:16:58","sec","inherit","http://jus-tice.co.il/us-securities-and-exchange-commission/attachment/sec/","@{rendered=SEC}","@{rendered=}","SEC","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/05/SEC.png"
"12532","2025-05-26T16:52:18","2025-05-26T16:52:56","fbi-cyber","inherit","http://jus-tice.co.il/fbi-cyber-division/attachment/fbi-cyber/","@{rendered=FBI CYBER}","@{rendered=}","FBI CYBER","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/05/FBI-CYBER.png"
"12528","2025-05-26T12:57:39","2025-05-26T12:57:57","ai-lawyer-rank","inherit","http://jus-tice.co.il/ai-lawyer-ranking/attachment/ai-lawyer-rank/","@{rendered=AI lawyer rank}","@{rendered=}","AI lawyer rank","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/05/AI-lawyer-rank.png"
"12524","2025-05-21T21:21:12","2025-05-21T21:21:12","ai-court","inherit","http://jus-tice.co.il/attachment/ai-court/","@{rendered=ai-court}","@{rendered=}","","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/05/ai-court.png"
"12517","2025-05-19T11:02:32","2025-05-21T21:22:32","jus-tice-lawyers-2","inherit","http://jus-tice.co.il/jus-tice-lawyers-2/","@{rendered=jus-tice-lawyers}","@{rendered=}","jus-tice-lawyers","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/05/jus-tice-lawyers.png"
"12512","2025-05-19T10:51:46","2025-05-19T10:51:46","cropped-jus-tice-ai-2025-png","inherit","http://jus-tice.co.il/jus-tice-ai-2025/attachment/cropped-jus-tice-ai-2025-png/","@{rendered=cropped-jus-tice-ai-2025.png}","@{rendered=<p>https://jus-tice.co.il/wp-content/uploads/2025/05/cropped-jus-tice-ai-2025.png</p>
}","jus-tice-ai","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/05/cropped-jus-tice-ai-2025.png"
"12511","2025-05-19T10:49:27","2025-05-19T10:51:32","jus-tice-ai-2025","inherit","http://jus-tice.co.il/jus-tice-ai-2025/","@{rendered=jus-tice-ai-2025}","@{rendered=}","jus-tice-ai","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/05/jus-tice-ai-2025.png"
"12510","2025-05-19T10:49:02","2025-05-19T10:49:02","chatgpt-image-may-19-2025-10_47_29-am","inherit","http://jus-tice.co.il/chatgpt-image-may-19-2025-10_47_29-am/","@{rendered=ChatGPT Image May 19, 2025, 10_47_29 AM}","@{rendered=}","","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/05/ChatGPT-Image-May-19-2025-10_47_29-AM.png"
"12509","2025-05-19T10:43:56","2025-05-19T10:43:56","jus-tice-ai","inherit","http://jus-tice.co.il/jus-tice-ai/","@{rendered=jus-tice-ai}","@{rendered=}","","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/05/jus-tice-ai.png"
"12507","2025-05-19T10:35:03","2025-05-19T10:35:03","cropped-favicon-png","inherit","http://jus-tice.co.il/favicon/attachment/cropped-favicon-png/","@{rendered=cropped-favicon.png}","@{rendered=<p>https://jus-tice.co.il/wp-content/uploads/2024/06/cropped-favicon.png</p>
}","","image","image/png","https://jus-tice.co.il/wp-content/uploads/2024/06/cropped-favicon.png"
"12489","2025-05-12T21:10:39","2025-05-12T21:11:01","fbi","inherit","http://jus-tice.co.il/federal-bureau-of-investigation/attachment/fbi/","@{rendered=FBI}","@{rendered=}","FBI","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/05/FBI.png"
"12475","2025-05-12T16:51:03","2025-05-12T16:51:38","%d7%9c%d7%94%d7%91-433-2025","inherit","http://jus-tice.co.il/lahav-433/attachment/%D7%9C%D7%94%D7%91-433-2025/","@{rendered=להב 433 2025}","@{rendered=}","להב 433","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/05/להב-433-2025.png"
"12454","2025-04-23T12:57:47","2025-04-23T12:58:05","%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%a1%d7%9e%d7%99%d7%9d-%d7%9e%d7%95%d7%9e%d7%9c%d7%a5","inherit","http://jus-tice.co.il/drug-offenses-criminal-lawyer/attachment/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A1%D7%9E%D7%99%D7%9D-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5/","@{rendered=עורך דין סמים מומלץ}","@{rendered=}","עורך דין סמים מומלץ","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/04/עורך-דין-סמים-מומלץ.png"
"12444","2025-04-20T18:48:51","2025-04-20T18:49:04","%d7%97%d7%a7%d7%99%d7%a8%d7%aa-%d7%9e%d7%a1-%d7%a4%d7%9c%d7%99%d7%9c%d7%99%d7%aa","inherit","http://jus-tice.co.il/tax-investigation-guide/attachment/%D7%97%D7%A7%D7%99%D7%A8%D7%AA-%D7%9E%D7%A1-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%AA/","@{rendered=חקירת מס פלילית}","@{rendered=}","חקירת מס פלילית","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/04/חקירת-מס-פלילית.png"
"12442","2025-04-20T18:43:19","2025-04-20T18:43:49","tax-law-justice","inherit","http://jus-tice.co.il/tax-investigation-guide/attachment/tax-law-justice/","@{rendered=חקירת מס הכנסה}","@{rendered=}","חקירת מס הכנסה","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/04/tax-law-justice.png"
"12435","2025-04-18T17:40:17","2025-04-18T17:40:30","%d7%a4%d7%95%d7%a8%d7%98%d7%95-%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%a0%d7%93%d7%9c%d7%9f","inherit","http://jus-tice.co.il/porto-portugal-real-estate/attachment/%D7%A4%D7%95%D7%A8%D7%98%D7%95-%D7%99%D7%99%D7%A2%D7%95%D7%A5-%D7%A0%D7%93%D7%9C%D7%9F/","@{rendered=פורטו ייעוץ נדלן}","@{rendered=}","פורטו ייעוץ נדלן","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/04/פורטו-ייעוץ-נדלן.png"
"12431","2025-04-16T10:38:46","2025-04-16T10:39:08","%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9e%d7%a4%d7%95%d7%a8%d7%a1%d7%9d","inherit","http://jus-tice.co.il/famous-criminal-defense-lawyer/attachment/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9D/","@{rendered=עורך דין מפורסם}","@{rendered=}","עורך דין מפורסם","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/04/עורך-דין-מפורסם.png"
"12395","2025-04-02T13:56:36","2025-04-02T13:56:36","word-image-12394-1","inherit","http://jus-tice.co.il/attachment/word-image-12394-1/","@{rendered=word-image-12394-1}","@{rendered=}","","image","image/jpeg","https://jus-tice.co.il/wp-content/uploads/2025/04/word-image-12394-1.jpeg"
"12390","2025-03-27T11:46:10","2025-03-27T11:46:10","word-image-12389-1","inherit","http://jus-tice.co.il/attachment/word-image-12389-1/","@{rendered=word-image-12389-1}","@{rendered=}","","image","image/jpeg","https://jus-tice.co.il/wp-content/uploads/2025/03/word-image-12389-1.jpeg"
"12388","2025-03-26T22:50:24","2025-03-26T22:50:35","%d7%a8%d7%95%d7%90%d7%94-%d7%97%d7%a9%d7%91%d7%95%d7%9f-%d7%9e%d7%99%d7%a1%d7%95%d7%99-%d7%91%d7%99%d7%a0%d7%9c%d7%90%d7%95%d7%9e%d7%99","inherit","http://jus-tice.co.il/top-global-tax-cpa-firms/attachment/%D7%A8%D7%95%D7%90%D7%94-%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%99%D7%A1%D7%95%D7%99-%D7%91%D7%99%D7%A0%D7%9C%D7%90%D7%95%D7%9E%D7%99/","@{rendered=רואה חשבון מיסוי בינלאומי}","@{rendered=}","רואה חשבון מיסוי בינלאומי","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/03/רואה-חשבון-מיסוי-בינלאומי.png"
"12381","2025-03-26T21:45:24","2025-03-26T21:45:40","%d7%a4%d7%99%d7%a8%d7%9e%d7%aa-%d7%99%d7%99%d7%a2%d7%95%d7%a5-%d7%9e%d7%a1","inherit","http://jus-tice.co.il/top-international-tax-law-firms/attachment/%D7%A4%D7%99%D7%A8%D7%9E%D7%AA-%D7%99%D7%99%D7%A2%D7%95%D7%A5-%D7%9E%D7%A1/","@{rendered=פירמת ייעוץ מס}","@{rendered=}","פירמת ייעוץ מס","image","image/png","https://jus-tice.co.il/wp-content/uploads/2025/03/פירמת-ייעוץ-מס.png"
