"id","count","description","link","name","slug","taxonomy"
"705","1","","http://jus-tice.co.il/city/beer-sheva/","beer-sheva","beer-sheva","city"
"702","1","","http://jus-tice.co.il/city/haifa/","haifa","haifa","city"
"706","1","","http://jus-tice.co.il/city/herzliya/","herzliya","herzliya","city"
"701","1","","http://jus-tice.co.il/city/jerusalem/","jerusalem","jerusalem","city"
"708","1","","http://jus-tice.co.il/city/netanya/","netanya","netanya","city"
"707","1","","http://jus-tice.co.il/city/petah-tikva/","petah-tikva","petah-tikva","city"
"704","1","","http://jus-tice.co.il/city/ramat-gan/","ramat-gan","ramat-gan","city"
"710","1","","http://jus-tice.co.il/city/rishon-lezion/","rishon-lezion","rishon-lezion","city"
"700","2","","http://jus-tice.co.il/city/tel-aviv/","tel-aviv","tel-aviv","city"
"719","0","","http://jus-tice.co.il/city/ashdod/","אשדוד","ashdod","city"
"722","0","","http://jus-tice.co.il/city/ashkelon/","אשקלון","ashkelon","city"
"721","0","","http://jus-tice.co.il/city/bnei-brak/","בני ברק","bnei-brak","city"
"724","0","","http://jus-tice.co.il/city/bat-yam/","בת ים","bat-yam","city"
"720","0","","http://jus-tice.co.il/city/holon/","חולון","holon","city"
"725","0","","http://jus-tice.co.il/city/kfar-saba/","כפר סבא","kfar-saba","city"
"728","0","","http://jus-tice.co.il/city/lod/","לוד","lod","city"
"726","0","","http://jus-tice.co.il/city/modiin/","מודיעין","modiin","city"
"727","0","","http://jus-tice.co.il/city/nazareth/","נצרת","nazareth","city"
"723","0","","http://jus-tice.co.il/city/rehovot/","רחובות","rehovot","city"
"729","0","","http://jus-tice.co.il/city/ramla/","רמלה","ramla","city"
