"id","count","description","link","name","slug","taxonomy","parent"
"699","0","","https://jus-tice.co.il/practice-areas/","Practice Areas","practice-areas","category","0"
"1","0","","https://jus-tice.co.il/uncategorized/","Uncategorized","uncategorized","category","0"
"556","3","","https://jus-tice.co.il/%d7%91%d7%92%d7%a6/","בג""צ","%d7%91%d7%92%d7%a6","category","0"
"638","0","","http://jus-tice.co.il/%D7%91%D7%93%D7%99%D7%A7%D7%94-30-07-2021/","בדיקה 30/07/2021","%d7%91%d7%93%d7%99%d7%a7%d7%94-30-07-2021","category","0"
"551","5","","https://jus-tice.co.il/%d7%91%d7%99%d7%aa-%d7%94%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%91%d7%95%d7%93%d7%94/","בית הדין לעבודה","%d7%91%d7%99%d7%aa-%d7%94%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%91%d7%95%d7%93%d7%94","category","0"
"563","4","","https://jus-tice.co.il/%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa/","בריאות","%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa","category","0"
"561","0","","https://jus-tice.co.il/%d7%93%d7%97%d7%99%d7%99%d7%aa-%d7%9e%d7%95%d7%a2%d7%93%d7%99%d7%9d/","דחיית מועדים","%d7%93%d7%97%d7%99%d7%99%d7%aa-%d7%9e%d7%95%d7%a2%d7%93%d7%99%d7%9d","category","0"
"558","13","","https://jus-tice.co.il/%d7%94%d7%a0%d7%97%d7%99%d7%95%d7%aa-%d7%9c%d7%a6%d7%99%d7%91%d7%95%d7%a8/","הנחיות לציבור","%d7%94%d7%a0%d7%97%d7%99%d7%95%d7%aa-%d7%9c%d7%a6%d7%99%d7%91%d7%95%d7%a8","category","0"
"560","0","","https://jus-tice.co.il/%d7%94%d7%a7%d7%9c%d7%95%d7%aa/","הקלות","%d7%94%d7%a7%d7%9c%d7%95%d7%aa","category","0"
"505","7","","https://jus-tice.co.il/news/","חדשות","news","category","0"
"533","13","","https://jus-tice.co.il/news/%d7%97%d7%a7%d7%99%d7%a7%d7%aa-%d7%97%d7%99%d7%a8%d7%95%d7%9d-%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94/","חקיקת חירום קורונה","%d7%97%d7%a7%d7%99%d7%a7%d7%aa-%d7%97%d7%99%d7%a8%d7%95%d7%9d-%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94","category","505"
"557","2","","https://jus-tice.co.il/%d7%9b%d7%a0%d7%a1%d7%aa/","כנסת","%d7%9b%d7%a0%d7%a1%d7%aa","category","0"
"562","1","","https://jus-tice.co.il/%d7%9e%d7%a2%d7%a0%d7%a7%d7%99%d7%9d/","מענקים","%d7%9e%d7%a2%d7%a0%d7%a7%d7%99%d7%9d","category","0"
"539","7","","https://jus-tice.co.il/employers/","מעסיקים","employers","category","0"
"555","3","","https://jus-tice.co.il/%d7%9e%d7%a9%d7%91%d7%a8-%d7%94%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94/","משבר הקורונה","%d7%9e%d7%a9%d7%91%d7%a8-%d7%94%d7%a7%d7%95%d7%a8%d7%95%d7%a0%d7%94","category","0"
"554","1","","https://jus-tice.co.il/%d7%a2%d7%95%d7%91%d7%93-%d7%a4%d7%a8%d7%99%d7%9c%d7%a0%d7%a1%d7%a8/","עובד פרילנסר","%d7%a2%d7%95%d7%91%d7%93-%d7%a4%d7%a8%d7%99%d7%9c%d7%a0%d7%a1%d7%a8","category","0"
"553","1","","https://jus-tice.co.il/%d7%a2%d7%a6%d7%9e%d7%90%d7%99%d7%9d/","עצמאים","%d7%a2%d7%a6%d7%9e%d7%90%d7%99%d7%9d","category","0"
"540","4","","https://jus-tice.co.il/dismissal/","פיטורים","dismissal","category","0"
"526","3","","https://jus-tice.co.il/%d7%a4%d7%a1%d7%99%d7%a7%d7%94/","פסיקה","%d7%a4%d7%a1%d7%99%d7%a7%d7%94","category","0"
"527","2","","https://jus-tice.co.il/%d7%a6%d7%a8%d7%9b%d7%a0%d7%95%d7%aa/","צרכנות","%d7%a6%d7%a8%d7%9b%d7%a0%d7%95%d7%aa","category","0"
"559","6","","https://jus-tice.co.il/%d7%aa%d7%a7%d7%a0%d7%95%d7%aa/","תקנות","%d7%aa%d7%a7%d7%a0%d7%95%d7%aa","category","0"
