"row_id","post_id","post_type","status","current_url","current_slug","proposed_english_slug","proposed_new_url","title","title_source","h1","seo_title","meta_description","content_body_available","content_body_file","word_count","date_published","date_modified","author","categories","tags","practice_area","city","related_lawyer","related_lawyer_profile_url","primary_cluster","secondary_cluster","classification_basis","pillar_page","supporting_page","search_intent","primary_keyword","secondary_keywords","gsc_clicks_export","gsc_impressions_export","gsc_ctr_export","gsc_position_export","top_queries","traffic_risk","content_quality_score","duplicate_title_risk","duplicate_topic_risk","cannibalization_group","recommended_action","redirect_required","redirect_target","redirect_type","canonical_action","internal_links_needed","official_sources_needed","category_action","menu_action","sitemap_action","homepage_action","owner_approval_required","import_ready","data_gaps","data_sources","notes","reviewed_by","reviewed_at"
"1","UNKNOWN","UNKNOWN","UNKNOWN","https://jus-tice.co.il/","homepage","UNKNOWN_NEEDS_SLUG_REVIEW","UNKNOWN_NEEDS_REVIEW","homepage","INFERRED_FROM_URL","UNKNOWN","UNKNOWN","UNKNOWN","NO_NOT_IN_ACCESSIBLE_CSV","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_MATCH","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","279","81329","0.34%","33.5","????? ???? ??? ??? ?? (3c/582i/p8.1) | ????? ???? ??? ??????? ???? (3c/80i/p10.9) | ????? ????? ??? (2c/267i/p10.0) | ????? ???? ??? (1c/347i/p7.2) | ????? ???? ??? (1c/227i/p8.2)","LOW","UNKNOWN_NEEDS_BODY_REVIEW","UNKNOWN","YES","????? ???? ??? ??????? ???? | ????? ??? ??? ???? | ???????? ?? ???? ??? | ??? ???? ??? | ????? ????? ????? | ?????? ????? ??? ????? | ?????+?????+???? | ?????+?????+???????? | ???? ????? ??? ???? ????? | ???? ????? ???? ????? ???? ??? | ???? ??? ?????? | jus-tice.co.il | ?????+????+????????+??????+???+?????????? | ????+???+????+???","NEEDS_MERGE_REVIEW","UNKNOWN_NEEDS_APPROVAL","UNKNOWN","301_IF_APPROVED","UNKNOWN","YES_NEEDS_MAP","YES_FOR_YMYL_TOPICS","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","YES","NO","post_id_missing;categories_missing;practice_area_missing;tags_missing;content_body_file_missing;real_title_missing","GSC_PERFORMANCE_PAGES","Starter row generated from accessible uploads. Not import-ready. Verify with full WP export/content body and GSC API before action.","GPT project organizer","2026-05-13 09:48:22"
"2","UNKNOWN","UNKNOWN","UNKNOWN","https://jus-tice.co.il/%D7%90%D7%97%D7%A8%D7%99%D7%95%D7%AA-%D7%94%D7%91%D7%A2%D7%9C-%D7%9C%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%90%D7%A9%D7%AA%D7%95-%D7%A2%D7%9C-%D7%A4%D7%99-%D7%93%D7%99%D7%9F-%D7%AA%D7%95%D7%A8%D7%94-%D7%95%D7%A2%D7%9C-%D7%A4%D7%99-%D7%97%D7%95%D7%A7-%D7%99%D7%97%D7%A1%D7%99-%D7%9E%D7%9E%D7%95%D7%9F-%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%95%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%91%D7%9E%D7%A2%D7%A8%D7%9B%D7%AA-%D7%99%D7%97%D7%A1%D7%99%D7%9D-%D7%A9%D7%91%D7%94-%D7%94%D7%90%D7%99%D7%A9%D7%94-%D7%94%D7%99%D7%90-%D7%94%D7%9E%D7%A4%D7%A8%D7%A0%D7%A1%D7%AA","??????-????-??????-????-??-??-???-????-???-??-???-????-????-??????-??????-??????-?????-???-?????-???-???????","family-law-needs-slug-review","https://jus-tice.co.il/family-law-needs-slug-review/","?????? ???? ?????? ???? ?? ?? ??? ???? ??? ?? ??? ???? ???? ?????? ?????? ?????? ????? ??? ????? ??? ???????","INFERRED_FROM_URL","UNKNOWN","UNKNOWN","UNKNOWN","NO_NOT_IN_ACCESSIBLE_CSV","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","family-law","UNKNOWN","HEURISTIC_SCORE_1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","18","1568","1.15%","39.5","????? ????? ???????? (0c/3i/p78.0) | ????? ???? ????? (0c/2i/p70.0) | ??? ???? ????? ?????? ???? (0c/1i/p65.0) | ?????? ???? ????? ??? ?? ???? (0c/1i/p71.0) | ????? ????? ???? ??????? (0c/1i/p27.0)","MEDIUM","UNKNOWN_NEEDS_BODY_REVIEW","UNKNOWN","YES","????? ?????? ?????? ????? | ????? ????? ???? ???????","NEEDS_MERGE_REVIEW","UNKNOWN_NEEDS_APPROVAL","UNKNOWN","301_IF_APPROVED","UNKNOWN","YES_NEEDS_MAP","YES_FOR_YMYL_TOPICS","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","YES","NO","post_id_missing;categories_missing;practice_area_missing;tags_missing;content_body_file_missing;real_title_missing","GSC_PERFORMANCE_PAGES","Starter row generated from accessible uploads. Not import-ready. Verify with full WP export/content body and GSC API before action.","GPT project organizer","2026-05-13 09:48:22"
"3","UNKNOWN","UNKNOWN","UNKNOWN","https://jus-tice.co.il/%D7%90%D7%99%D7%96%D7%95%D7%9F-%D7%9E%D7%A9%D7%90%D7%91%D7%99%D7%9D-%D7%9B%D7%A1%D7%A4%D7%99%D7%9D-%D7%94%D7%9E%D7%A6%D7%95%D7%99%D7%99%D7%9D-%D7%91%D7%97%D7%A9%D7%91%D7%95%D7%A0%D7%95%D7%AA-%D7%91%D7%9F-%D7%96%D7%95%D7%92-%D7%94%D7%91%D7%A8%D7%97%D7%AA-%D7%A0%D7%9B%D7%A1%D7%99%D7%9D","?????-??????-?????-???????-????????-??-???-?????-?????","family-law-needs-slug-review","https://jus-tice.co.il/family-law-needs-slug-review/","????? ?????? ????? ??????? ???????? ?? ??? ????? ?????","INFERRED_FROM_URL","UNKNOWN","UNKNOWN","UNKNOWN","NO_NOT_IN_ACCESSIBLE_CSV","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","family-law","UNKNOWN","HEURISTIC_SCORE_1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","7","2362","0.30%","53.9","????? ????? ???????? (0c/21i/p75.7) | ????? ??????? ??? ???? ???? (0c/1i/p30.0) | ????? ????? ??? ??? ??? (0c/1i/p31.0) | ?? ? ??? ?????? (0c/1i/p76.0)","MEDIUM","UNKNOWN_NEEDS_BODY_REVIEW","UNKNOWN","YES","????? ????? ????????","NEEDS_MERGE_REVIEW","UNKNOWN_NEEDS_APPROVAL","UNKNOWN","301_IF_APPROVED","UNKNOWN","YES_NEEDS_MAP","YES_FOR_YMYL_TOPICS","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","YES","NO","post_id_missing;categories_missing;practice_area_missing;tags_missing;content_body_file_missing;real_title_missing","GSC_PERFORMANCE_PAGES","Starter row generated from accessible uploads. Not import-ready. Verify with full WP export/content body and GSC API before action.","GPT project organizer","2026-05-13 09:48:22"
"4","UNKNOWN","UNKNOWN","UNKNOWN","https://jus-tice.co.il/%D7%90%D7%99%D7%96%D7%95%D7%A8%D7%99%D7%9D/%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-%D7%95%D7%94%D7%9E%D7%A8%D7%9B%D7%96","??-????-??????","UNKNOWN_NEEDS_SLUG_REVIEW","UNKNOWN_NEEDS_REVIEW","?? ???? ??????","INFERRED_FROM_URL","UNKNOWN","UNKNOWN","UNKNOWN","NO_NOT_IN_ACCESSIBLE_CSV","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_MATCH","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","0","14","0.00%","15.9","UNKNOWN","LOW","UNKNOWN_NEEDS_BODY_REVIEW","UNKNOWN","UNKNOWN","UNKNOWN","NEEDS_CLUSTER_CLASSIFICATION","UNKNOWN_NEEDS_APPROVAL","UNKNOWN","301_IF_APPROVED","UNKNOWN","YES_NEEDS_MAP","YES_FOR_YMYL_TOPICS","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","YES","NO","post_id_missing;categories_missing;practice_area_missing;tags_missing;content_body_file_missing;gsc_query_mapping_missing;real_title_missing","GSC_PERFORMANCE_PAGES","Starter row generated from accessible uploads. Not import-ready. Verify with full WP export/content body and GSC API before action.","GPT project organizer","2026-05-13 09:48:22"
"5","UNKNOWN","UNKNOWN","UNKNOWN","https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9-%D7%A0%D7%9B%D7%95%D7%9F-%D7%95%D7%9E%D7%94%D7%A8","???-??????-????-????","UNKNOWN_NEEDS_SLUG_REVIEW","UNKNOWN_NEEDS_REVIEW","??? ?????? ???? ????","INFERRED_FROM_URL","UNKNOWN","UNKNOWN","UNKNOWN","NO_NOT_IN_ACCESSIBLE_CSV","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_MATCH","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","0","12","0.00%","30.9","UNKNOWN","LOW","UNKNOWN_NEEDS_BODY_REVIEW","UNKNOWN","UNKNOWN","UNKNOWN","NEEDS_CLUSTER_CLASSIFICATION","UNKNOWN_NEEDS_APPROVAL","UNKNOWN","301_IF_APPROVED","UNKNOWN","YES_NEEDS_MAP","YES_FOR_YMYL_TOPICS","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","YES","NO","post_id_missing;categories_missing;practice_area_missing;tags_missing;content_body_file_missing;gsc_query_mapping_missing;real_title_missing","GSC_PERFORMANCE_PAGES","Starter row generated from accessible uploads. Not import-ready. Verify with full WP export/content body and GSC API before action.","GPT project organizer","2026-05-13 09:48:22"
"6","UNKNOWN","UNKNOWN","UNKNOWN","https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A1%D7%95%D7%9B%D7%9F-%D7%A0%D7%93%D7%9C%D7%9F-%D7%98%D7%95%D7%91","???-?????-????-????-???","real-estate-needs-slug-review","https://jus-tice.co.il/real-estate-needs-slug-review/","??? ????? ???? ???? ???","INFERRED_FROM_URL","UNKNOWN","UNKNOWN","UNKNOWN","NO_NOT_IN_ACCESSIBLE_CSV","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","real-estate","UNKNOWN","HEURISTIC_SCORE_2","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","0","4","0.00%","7.5","UNKNOWN","LOW","UNKNOWN_NEEDS_BODY_REVIEW","UNKNOWN","UNKNOWN","UNKNOWN","NEEDS_CONTENT_REVIEW","UNKNOWN_NEEDS_APPROVAL","UNKNOWN","301_IF_APPROVED","UNKNOWN","YES_NEEDS_MAP","YES_FOR_YMYL_TOPICS","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","YES","NO","post_id_missing;categories_missing;practice_area_missing;tags_missing;content_body_file_missing;gsc_query_mapping_missing;real_title_missing","GSC_PERFORMANCE_PAGES","Starter row generated from accessible uploads. Not import-ready. Verify with full WP export/content body and GSC API before action.","GPT project organizer","2026-05-13 09:48:22"
"7","UNKNOWN","UNKNOWN","UNKNOWN","https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%96%D7%95%D7%9C-%D7%95%D7%9C%D7%94%D7%A8%D7%95%D7%95%D7%99%D7%97","???-?????-????-????-????????","real-estate-needs-slug-review","https://jus-tice.co.il/real-estate-needs-slug-review/","??? ????? ???? ???? ????????","INFERRED_FROM_URL","UNKNOWN","UNKNOWN","UNKNOWN","NO_NOT_IN_ACCESSIBLE_CSV","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","real-estate","UNKNOWN","HEURISTIC_SCORE_2","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","14","4417","0.32%","41.6","UNKNOWN","MEDIUM","UNKNOWN_NEEDS_BODY_REVIEW","UNKNOWN","UNKNOWN","UNKNOWN","NEEDS_CONTENT_REVIEW","UNKNOWN_NEEDS_APPROVAL","UNKNOWN","301_IF_APPROVED","UNKNOWN","YES_NEEDS_MAP","YES_FOR_YMYL_TOPICS","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","YES","NO","post_id_missing;categories_missing;practice_area_missing;tags_missing;content_body_file_missing;gsc_query_mapping_missing;real_title_missing","GSC_PERFORMANCE_PAGES","Starter row generated from accessible uploads. Not import-ready. Verify with full WP export/content body and GSC API before action.","GPT project organizer","2026-05-13 09:48:22"
"8","UNKNOWN","UNKNOWN","UNKNOWN","https://jus-tice.co.il/%D7%90%D7%99%D7%9E%D7%95%D7%AA-%D7%97%D7%AA%D7%99%D7%9E%D7%94-%D7%A0%D7%95%D7%98%D7%A8%D7%99%D7%95%D7%9F-%D7%9E%D7%A9%D7%95%D7%9C%D7%91-%D7%A2%D7%91%D7%A8%D7%99%D7%AA-%D7%90%D7%A0%D7%92%D7%9C%D7%99%D7%AA","?????-?????-???????-?????-?????-??????","notary-foreign-needs-slug-review","https://jus-tice.co.il/notary-foreign-needs-slug-review/","????? ????? ??????? ????? ????? ??????","INFERRED_FROM_URL","UNKNOWN","UNKNOWN","UNKNOWN","NO_NOT_IN_ACCESSIBLE_CSV","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","notary-foreign","UNKNOWN","HEURISTIC_SCORE_1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","1","905","0.11%","46.2","????? ??????? (0c/22i/p49.4) | ??????? ?????? (0c/18i/p47.4) | ??????? ??????? (0c/16i/p64.7) | ????? ????? ??????? (0c/8i/p10.3) | ????? ????? ???????? ???""? (0c/6i/p36.0)","LOW","UNKNOWN_NEEDS_BODY_REVIEW","UNKNOWN","UNKNOWN","UNKNOWN","NEEDS_CONTENT_REVIEW","UNKNOWN_NEEDS_APPROVAL","UNKNOWN","301_IF_APPROVED","UNKNOWN","YES_NEEDS_MAP","YES_FOR_YMYL_TOPICS","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","YES","NO","post_id_missing;categories_missing;practice_area_missing;tags_missing;content_body_file_missing;real_title_missing","GSC_PERFORMANCE_PAGES","Starter row generated from accessible uploads. Not import-ready. Verify with full WP export/content body and GSC API before action.","GPT project organizer","2026-05-13 09:48:22"
"9","UNKNOWN","UNKNOWN","UNKNOWN","https://jus-tice.co.il/%D7%90%D7%99%D7%A4%D7%94-%D7%94%D7%9B%D7%99-%D7%9E%D7%A9%D7%AA%D7%9C%D7%9D-%D7%9C%D7%9E%D7%A9%D7%A7%D7%99%D7%A2-%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%91%D7%A2%D7%95%D7%9C%D7%9D","????-???-?????-??????-???????-?????-????-?????","real-estate-needs-slug-review","https://jus-tice.co.il/real-estate-needs-slug-review/","???? ??? ????? ?????? ??????? ????? ???? ?????","INFERRED_FROM_URL","UNKNOWN","UNKNOWN","UNKNOWN","NO_NOT_IN_ACCESSIBLE_CSV","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","real-estate","UNKNOWN","HEURISTIC_SCORE_1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","107","31184","0.34%","32.2","UNKNOWN","HIGH","UNKNOWN_NEEDS_BODY_REVIEW","UNKNOWN","UNKNOWN","UNKNOWN","DO_NOT_TOUCH_HIGH_TRAFFIC_URL","UNKNOWN_NEEDS_APPROVAL","UNKNOWN","301_IF_APPROVED","UNKNOWN","YES_NEEDS_MAP","YES_FOR_YMYL_TOPICS","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","YES","NO","post_id_missing;categories_missing;practice_area_missing;tags_missing;content_body_file_missing;gsc_query_mapping_missing;real_title_missing","GSC_PERFORMANCE_PAGES","Starter row generated from accessible uploads. Not import-ready. Verify with full WP export/content body and GSC API before action.","GPT project organizer","2026-05-13 09:48:22"
"10","UNKNOWN","UNKNOWN","UNKNOWN","https://jus-tice.co.il/%D7%90%D7%99%D7%A4%D7%94-%D7%9B%D7%93%D7%90%D7%99-%D7%9C%D7%94%D7%A9%D7%A7%D7%99%D7%A2-%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%93%D7%95%D7%91%D7%90%D7%99","????-????-??????-????-??????","real-estate-needs-slug-review","https://jus-tice.co.il/real-estate-needs-slug-review/","???? ???? ?????? ???? ??????","INFERRED_FROM_URL","UNKNOWN","UNKNOWN","UNKNOWN","NO_NOT_IN_ACCESSIBLE_CSV","UNKNOWN_NEEDS_RAR_EXTRACTION_OR_WP_REST_EXPORT","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","real-estate","UNKNOWN","HEURISTIC_SCORE_2","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","59","16008","0.37%","26.0","UNKNOWN","HIGH","UNKNOWN_NEEDS_BODY_REVIEW","UNKNOWN","UNKNOWN","UNKNOWN","DO_NOT_TOUCH_HIGH_TRAFFIC_URL","UNKNOWN_NEEDS_APPROVAL","UNKNOWN","301_IF_APPROVED","UNKNOWN","YES_NEEDS_MAP","YES_FOR_YMYL_TOPICS","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","YES","NO","post_id_missing;categories_missing;practice_area_missing;tags_missing;content_body_file_missing;gsc_query_mapping_missing;real_title_missing","GSC_PERFORMANCE_PAGES","Starter row generated from accessible uploads. Not import-ready. Verify with full WP export/content body and GSC API before action.","GPT project organizer","2026-05-13 09:48:22"
