query,page,clicks,impressions,ctr,position
jus tice,https://jus-tice.co.il/,1,1,1,1
oui,https://jus-tice.co.il/,1,1,1,1
חיפוש עורך דין,https://jus-tice.co.il/,1,101,0.009900990099009901,7.178217821782178
חיפוש עורכי דין,https://jus-tice.co.il/,1,76,0.013157894736842105,9.18421052631579
ייעוץ עורך דין אונליין חינם,https://jus-tice.co.il/,1,26,0.038461538461538464,9.884615384615385
רעות קסלר,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,1,8,0.125,3.125
רשות ניירות ערך בעלי תפקידים,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,1,2,0.5,2
"""בית משפט""",https://jus-tice.co.il/articles/%D7%9E%D7%94%D7%95-%D7%91%D7%99%D7%AA-%D7%9E%D7%A9%D7%A4%D7%98/,0,2,0,32.5
"""טרקטור משא"" תקנות התעבורה",https://jus-tice.co.il/wp-content/uploads/2020/01/hana_v9.32.88s.pdf,0,2,0,8.5
"""רשלנות רפואית הגדרה""",https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,0,42,0,13.30952380952381
121-34,https://jus-tice.co.il/wp-content/uploads/2023/03/ATTORNEY-LIST-December-2017-1.pdf,0,2,0,27.5
30. איזה תמרור מורה לעבור מקום מסומן מצדו השמאלי בלבד? 215 123 214 213,https://jus-tice.co.il/wp-content/uploads/2020/01/hana_v9.32.88s.pdf,0,5,0,28
513936807,https://jus-tice.co.il/wp-content/uploads/2020/03/%D7%99%D7%9C%D7%A7%D7%95%D7%98-%D7%94%D7%A4%D7%A8%D7%A1%D7%95%D7%9E%D7%99%D7%9D-8755.pdf,0,2,0,21
athens attorneys,https://jus-tice.co.il/wp-content/uploads/2023/03/greece-list-of-lawyers-november-2021.pdf,0,1,0,88
business and commercial law consulting services market,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,12,0,24.5
corporate legal advisory services comparison by industry,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,1,0,19
corporate legal advisory services comparisons by industry,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,10,0,18.2
emmanouil peponas,https://jus-tice.co.il/wp-content/uploads/2023/03/Attorney-List-July-updated-Nov-2020-1.pdf,0,1,0,45
find lawyers,https://jus-tice.co.il/wp-content/uploads/2023/03/greece-list-of-lawyers-november-2021.pdf,0,1,0,85
greek american lawyers,https://jus-tice.co.il/wp-content/uploads/2023/03/Attorney-List-July-updated-Nov-2020-1.pdf,0,1,0,86
how many law firms are in the united states,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,1,0,39
how many law firms are in the us,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,1,0,54
how many law firms are there in the us,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,2,0,26
how many law firms in the us,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,2,0,62
how many law firms in us,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,1,0,12
ibisworld law firms in the us number of businesses 2024,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,2,0,10
ibisworld law firms in the us number of businesses 2025,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,3,0,9
in us?,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,1,0,15
israel court of justice,https://jus-tice.co.il/,0,1,0,13
j.u.s.t.i.c.e.,https://jus-tice.co.il/,0,1,0,55
justice,https://jus-tice.co.il/,0,15,0,15.533333333333333
justicetale,https://jus-tice.co.il/,0,1,0,3
law firm industry,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,2,0,33
law firm industry analysis,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,1,0,77
law firms in greece,https://jus-tice.co.il/wp-content/uploads/2023/03/greece-list-of-lawyers-november-2021.pdf,0,1,0,80
lawyers greece,https://jus-tice.co.il/wp-content/uploads/2023/03/greece-list-of-lawyers-november-2021.pdf,0,1,0,30
lawyers in athens,https://jus-tice.co.il/wp-content/uploads/2023/03/greece-list-of-lawyers-november-2021.pdf,0,1,0,58
lawyers in athens greece,https://jus-tice.co.il/wp-content/uploads/2023/03/greece-list-of-lawyers-november-2021.pdf,0,6,0,72.33333333333333
lawyers in greece,https://jus-tice.co.il/wp-content/uploads/2023/03/ATTORNEY-LIST-December-2017-1.pdf,0,1,0,24
lawyers in greece,https://jus-tice.co.il/wp-content/uploads/2023/03/greece-list-of-lawyers-november-2021.pdf,0,3,0,61.666666666666664
legal aid israel,https://jus-tice.co.il/,0,1,0,13
legal services by industry,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,4,0,44.5
list of italian lawyers,https://jus-tice.co.il/wp-content/uploads/2023/05/Italy_List_of_English-speaking_lawyers.pdf,0,1,0,64
local attorneys athens,https://jus-tice.co.il/wp-content/uploads/2023/03/Attorney-List-July-updated-Nov-2020-1.pdf,0,2,0,98
local attorneys greece,https://jus-tice.co.il/wp-content/uploads/2023/03/ATTORNEY-LIST-December-2017-1.pdf,0,1,0,79
meuhedet app טיפת חלב,https://jus-tice.co.il/corona_virus/%D7%94%D7%A0%D7%97%D7%99%D7%95%D7%AA-%D7%9C%D7%94%D7%AA%D7%9E%D7%95%D7%93%D7%93%D7%95%D7%AA-%D7%A2%D7%9D-%D7%A0%D7%92%D7%99%D7%A3-%D7%94%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94-19-covid/,0,1,0,43
number of law firms in the us,https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,5,0,12.2
