query,page,clicks,impressions,ctr,position
רשות ניירות ערך בעלי תפקידים,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,4,18,0.2222222222222222,2.9444444444444446
חיפוש עורך דין לפי שם,https://jus-tice.co.il/,3,571,0.005253940455341506,8.152364273204903
ייעוץ עורך דין אונליין חינם,https://jus-tice.co.il/,3,77,0.03896103896103896,10.831168831168831
רעות קסלר,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,3,30,0.1,3.3666666666666667
הסכם גירושין דוגמא doc,https://jus-tice.co.il/wp-content/uploads/2021/03/%D7%A0%D7%95%D7%A1%D7%97-%D7%94%D7%A1%D7%9B%D7%9D-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%93%D7%95%D7%92%D7%9E%D7%90-2021.docx,2,42,0.047619047619047616,11.642857142857142
חיפוש עורכי דין,https://jus-tice.co.il/,2,256,0.0078125,10.00390625
jus tice,https://jus-tice.co.il/,1,1,1,1
oui,https://jus-tice.co.il/,1,1,1,1
איתור עורך דין,https://jus-tice.co.il/,1,341,0.002932551319648094,7.105571847507331
ארז מלמד שופט,https://jus-tice.co.il/court-judge/,1,1,1,21
אריאל ממן שופט,https://jus-tice.co.il/62758-11-22/,1,42,0.023809523809523808,9.19047619047619
השופט אריאל ממן,https://jus-tice.co.il/62758-11-22/,1,28,0.03571428571428571,10.892857142857142
השופטת אורית ליפשיץ,https://jus-tice.co.il/decision55016-06-17a/,1,3,0.3333333333333333,8
השופטת רונית גורביץ,https://jus-tice.co.il/decision67437-12-18/,1,11,0.09090909090909091,6.636363636363637
חיפוש עורך דין,https://jus-tice.co.il/,1,226,0.004424778761061947,8.190265486725664
מאגר משפטי חינם,https://jus-tice.co.il/,1,4,0.25,33.5
מציאת עורך דין,https://jus-tice.co.il/,1,33,0.030303030303030304,7.212121212121212
נאיל מהנא,https://jus-tice.co.il/court-judge/,1,1,1,46
סעיף 63 לפקודת התעבורה,https://jus-tice.co.il/wp-content/uploads/2020/01/hana_v9.32.88s.pdf,1,1,1,43
עורכי דין מומלצים,https://jus-tice.co.il/,1,81,0.012345679012345678,16.987654320987655
קורסים לעורכי דין,https://jus-tice.co.il/legal-courses-for-lawyers/,1,14,0.07142857142857142,19.428571428571427
רשות ניירות ערך טלפון,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,1,13,0.07692307692307693,15.692307692307692
רשות ניירות ערך מחלקת תאגידים,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,1,21,0.047619047619047616,4.238095238095238
"""+30 231 231 2405""",https://jus-tice.co.il/wp-content/uploads/2023/03/greece-list-of-lawyers-november-2021.pdf,0,2,0,2.5
"""nalp"" ""class of 2024"" ""mid-atlantic"" ""94.9%""",https://jus-tice.co.il/wp-content/uploads/2022/06/54111-Law-Firms-in-the-US-Industry-Report.pdf,0,4,0,9.5
"""r 8"" ""u 9"" ""l 9"" ""d 8"" ""l 2""",https://jus-tice.co.il/wp-content/uploads/2023/03/Find-a-professional-service-abroad-Results-for-Lawyers-in-Greece.pdf,0,2,0,7.5
"""visit website"" ""post permalink"" ""welcome, visitor!"" fantasy video",https://jus-tice.co.il/,0,1,0,6
"""בית משפט""",https://jus-tice.co.il/articles/%D7%9E%D7%94%D7%95-%D7%91%D7%99%D7%AA-%D7%9E%D7%A9%D7%A4%D7%98/,0,3,0,29.666666666666668
"""חוק המרשם הפלילי ותקנת השבים"" סעיף 14 15 16 17 18",https://jus-tice.co.il/psakdin/%D7%94%D7%92%D7%91%D7%9C%D7%94-%D7%A2%D7%9C-%D7%9E%D7%A1%D7%99%D7%A8%D7%AA-%D7%9E%D7%99%D7%93%D7%A2-%D7%9E%D7%94%D7%9E%D7%A8%D7%A9%D7%9D-%D7%94%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%95%D7%A7%D7%99%D7%A6%D7%95%D7%A8-%D7%AA%D7%A7%D7%95%D7%A4%D7%AA-%D7%94%D7%A8%D7%99%D7%A9%D7%95%D7%9D/,0,2,0,9.5
