path,url,status,http_status,final_url,title,h1,h1_count,h2_sample,surface_verdict,title_h1_user_intent_hits,marker_hits,issues,next_step
/,https://jus-tice.co.il/,VERIFIED,200,https://jus-tice.co.il/?business_language_audit=1779834579508,"עורכי דין בישראל | מדריך עורכי דין, מאמרים משפטיים וייעוץ","עורכי דין בישראל — מאגר עורכי דין, מאמרים משפטיים ומדריכים מקצועיים",1,"תחומי חיפוש מרכזיים | שלושה צעדים פשוטים כדי להתקדם נכון | התחילו מהבעיה המשפטית, ואז עברו למדריך או לעורך דין | חיפוש לפי תחום משפטי | איך מוצאים עורך דין מתאים? 6 שלבים לבחירה נכונה | לקוחות משווים אנשי מקצוע לפי תחום, אזור ואמון",USER_LEGAL_HELP_ORIENTED,עורכי דין | ייעוץ | משפטיים,-,-,Keep in normal public QA rotation.
/national-insurance-attorney/,https://jus-tice.co.il/national-insurance-attorney/,VERIFIED,200,https://jus-tice.co.il/national-insurance-attorney/?business_language_audit=1779834581259,ערעור ביטוח לאומי: בדיקת כדאיות לפני החלטה | Jus-Tice,ערעור על החלטת ביטוח לאומי: בדיקת כדאיות לפני שהמועד נסגר,1,למה חשוב לבדוק את הערעור לפני שפועלים | מה חשוב לדעת לפני ערעור | מחשבון שווי פער בערעור ביטוח לאומי | איזה צעד מתאים עכשיו? | שאלות נפוצות על ערעור ביטוח לאומי | מקורות בדיקה רשמיים,USER_LEGAL_HELP_ORIENTED,ערעור,-,-,Keep in normal public QA rotation.
/bituach-leumi-appeal-guide/,https://jus-tice.co.il/bituach-leumi-appeal-guide/,VERIFIED,200,https://jus-tice.co.il/bituach-leumi-appeal-guide/?business_language_audit=1779834582760,ערעור ביטוח לאומי: בדיקת כדאיות לפני החלטה | Jus-Tice,ערעור על החלטת ביטוח לאומי: בדיקת כדאיות לפני שהמועד נסגר,1,למה חשוב לבדוק את הערעור לפני שפועלים | מה חשוב לדעת לפני ערעור | מחשבון שווי פער בערעור ביטוח לאומי | איזה צעד מתאים עכשיו? | שאלות נפוצות על ערעור ביטוח לאומי | מקורות בדיקה רשמיים,USER_LEGAL_HELP_ORIENTED,ערעור,-,-,Keep in normal public QA rotation.
/find-lawyer-how-to-find-good-attorney/,https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/,VERIFIED,200,https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/?business_language_audit=1779834584308,"איך למצוא עורך דין מומלץ? כיצד לבחור עו""ד טוב | Jus-Tice.co.il","איך למצוא עורך דין מומלץ? כיצד לבחור עו""ד טוב",1,כך בודקים עורך דין לפני שמשאירים פנייה | עורך דין טוב | עורך דין מומלץ | מיהו עורך דין טוב? | הערת מערכת | צריכים בדיקה אישית בתחום עורך דין?,USER_LEGAL_HELP_ORIENTED,"עורך דין | עו""ד",-,-,Keep in normal public QA rotation.
/lawyers/,https://jus-tice.co.il/lawyers/,VERIFIED,200,https://jus-tice.co.il/lawyers/?business_language_audit=1779834585925,מדריך עורכי דין בישראל | Jus-Tice,מדריך עורכי דין בישראל,1,מה כדאי לבדוק לפני שבוחרים פרופיל?,USER_LEGAL_HELP_ORIENTED,עורכי דין,-,-,Keep in normal public QA rotation.
/articles/,https://jus-tice.co.il/articles/,VERIFIED,200,https://jus-tice.co.il/articles/?business_language_audit=1779834587583,מאמרים משפטיים לפי הבעיה שלכם | Jus-Tice,מדריכים משפטיים לפי הבעיה שלכם,1,תחומי משפט | Posts pagination,USER_LEGAL_HELP_ORIENTED,משפטיים | בעיה,-,-,Keep in normal public QA rotation.
/rental-agreement/,https://jus-tice.co.il/rental-agreement/,VERIFIED,200,https://jus-tice.co.il/rental-agreement/?business_language_audit=1779834589359,מה זה הסכם שכירות | חוזה שכירות | Jus-Tice.co.il,מה זה הסכם שכירות | חוזה שכירות,1,"הערת מערכת | צריכים בדיקה אישית בתחום מקרקעין | נדל""ן? | מדריכים משפטיים קשורים",USER_LEGAL_HELP_ORIENTED,חוזה | שכירות,-,-,Keep in normal public QA rotation.
/labor-lawyer/,https://jus-tice.co.il/labor-lawyer/,VERIFIED,200,https://jus-tice.co.il/labor-lawyer/?business_language_audit=1779834590947,עורך דין דיני עבודה | ייעוץ משפטי בדיני עבודה | Jus-Tice.co.il,עורך דין דיני עבודה | ייעוץ משפטי בדיני עבודה,1,הערת מערכת | צריכים בדיקה אישית בתחום עורך דין? | מדריכים משפטיים קשורים,USER_LEGAL_HELP_ORIENTED,עורך דין | ייעוץ,-,-,Keep in normal public QA rotation.
/consumer-rights-israel/,https://jus-tice.co.il/consumer-rights-israel/,VERIFIED,200,https://jus-tice.co.il/consumer-rights-israel/?business_language_audit=1779834592519,"זכויות צרכן בישראל | ביטול, החזר, תביעה | Jus-Tice","זכויות צרכן בישראל | ביטול, החזר, תביעה | Jus-Tice",1,זכויות מרכזיות של צרכן בישראל | מאמרים קשורים | שאלות נפוצות,USER_LEGAL_HELP_ORIENTED,זכויות | תביעה,-,-,Keep in normal public QA rotation.
/eviction-notice-israel/,https://jus-tice.co.il/eviction-notice-israel/,VERIFIED,200,https://jus-tice.co.il/eviction-notice-israel/?business_language_audit=1779834594147,"פינוי שוכר | הליך, מכתב, זכויות שוכר | Jus-Tice","פינוי שוכר | הליך, מכתב, זכויות שוכר | Jus-Tice",1,תנאים שבהם ניתן לפנות שוכר | שלבי הליך פינוי | שאלות נפוצות,USER_LEGAL_HELP_ORIENTED,זכויות | פינוי,-,-,Keep in normal public QA rotation.
