queue_id,priority,action_type,readiness_status,queue_status,target_url,target_draft_file,draft_files_checked,missing_draft_files,source_artifacts_checked,missing_source_artifacts,required_approval,blocked_public_actions,next_step
FL-DRAFT-ENH-001,CRITICAL,draft_content_enhancement,READY_FOR_OWNER_WORDING_NOT_EDITED,FIXED PLANNING / BLOCKED OWNER WORDING,/divorce-lawyer/,content-drafts/divorce-lawyer-public-body-he.md,content-drafts/divorce-lawyer-public-body-he.md,-,project-control/family-law-competitor-gap-analysis-2026-05-22.csv; project-control/family-divorce-public-body-static-qa-2026-05-21.csv,-,OWNER_WORDING,NO_PUBLIC_CMS_EDIT; NO_URL_CHANGE; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_MEDIA_OR_PDF_CHANGE; NO_LAWYER_CARD_CHANGE; NO_LEAD_OR_CRM_CHANGE,Owner approves cost wording; then edit draft and rerun public-body static QA
FL-DRAFT-ENH-002,CRITICAL,draft_content_enhancement,READY_FOR_OWNER_WORDING_NOT_EDITED,FIXED PLANNING / READY FOR DRAFT EDIT AFTER OWNER WORDING,/divorce-lawyer/; /family-dispute-resolution/,content-drafts/divorce-lawyer-public-body-he.md; content-drafts/family-dispute-resolution-public-body-he.md,content-drafts/divorce-lawyer-public-body-he.md; content-drafts/family-dispute-resolution-public-body-he.md,-,project-control/family-law-competitor-gap-analysis-2026-05-22.csv,-,OWNER_WORDING,NO_PUBLIC_CMS_EDIT; NO_URL_CHANGE; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_MEDIA_OR_PDF_CHANGE; NO_LAWYER_CARD_CHANGE; NO_LEAD_OR_CRM_CHANGE,Owner approves process wording; then edit drafts and rerun static QA
FL-DRAFT-ENH-003,HIGH,draft_content_enhancement,READY_FOR_OWNER_WORDING_NOT_EDITED,FIXED PLANNING / READY FOR DRAFT EDIT AFTER OWNER WORDING,/divorce-lawyer/; /divorce-property-division/; /child-support/; /child-custody/,content-drafts/divorce-lawyer-public-body-he.md; content-drafts/divorce-property-division-public-body-he.md; content-drafts/child-support-public-body-he.md; content-drafts/child-custody-public-body-he.md,content-drafts/divorce-lawyer-public-body-he.md; content-drafts/divorce-property-division-public-body-he.md; content-drafts/child-support-public-body-he.md; content-drafts/child-custody-public-body-he.md,-,project-control/family-law-competitor-gap-analysis-2026-05-22.csv; project-control/family-law-live-safety-check-2026-05-22.csv,-,OWNER_WORDING,NO_PUBLIC_CMS_EDIT; NO_URL_CHANGE; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_MEDIA_OR_PDF_CHANGE; NO_LAWYER_CARD_CHANGE; NO_LEAD_OR_CRM_CHANGE,Owner approves checklist wording; then edit drafts and rerun static QA
FL-DRAFT-ENH-004,CRITICAL,draft_content_enhancement_and_live_repair_dependency,BLOCKED_EXTERNAL_DEPENDENCY,BLOCKED LIVE QA / BLOCKED PDF ASSET,/consensual-divorce/; /divorce-agreement/,content-drafts/consensual-divorce-public-body-he.md; project-control/family-law-visible-repair-field-map-2026-05-22.md,content-drafts/consensual-divorce-public-body-he.md,-,project-control/family-law-competitor-gap-analysis-2026-05-22.csv; project-control/family-law-visible-repair-field-map-2026-05-22.csv,-,OWNER_WORDING; LIVE_QA_OR_CMS_ROLLBACK,NO_PUBLIC_CMS_EDIT; NO_URL_CHANGE; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_MEDIA_OR_PDF_CHANGE; NO_LAWYER_CARD_CHANGE; NO_LEAD_OR_CRM_CHANGE,Fix live agreement defects after approval; then edit consensual-divorce draft wording
FL-DRAFT-ENH-005,HIGH,draft_content_enhancement,READY_FOR_OWNER_WORDING_NOT_EDITED,FIXED PLANNING / READY FOR DRAFT EDIT AFTER OWNER WORDING,/divorce-mediation/,content-drafts/divorce-mediation-public-body-he.md,content-drafts/divorce-mediation-public-body-he.md,-,project-control/family-law-competitor-gap-analysis-2026-05-22.csv,-,OWNER_WORDING,NO_PUBLIC_CMS_EDIT; NO_URL_CHANGE; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_MEDIA_OR_PDF_CHANGE; NO_LAWYER_CARD_CHANGE; NO_LEAD_OR_CRM_CHANGE,Owner approves mediation wording; then edit draft and rerun static QA
FL-DRAFT-ENH-006,HIGH,draft_content_enhancement,READY_FOR_OWNER_WORDING_NOT_EDITED,FIXED PLANNING / READY FOR DRAFT EDIT AFTER OWNER WORDING,/child-support/; /child-custody/,content-drafts/child-support-public-body-he.md; content-drafts/child-custody-public-body-he.md,content-drafts/child-support-public-body-he.md; content-drafts/child-custody-public-body-he.md,-,project-control/family-law-competitor-gap-analysis-2026-05-22.csv; reports/family-divorce-public-body-static-qa-2026-05-21.csv,-,OWNER_WORDING,NO_PUBLIC_CMS_EDIT; NO_URL_CHANGE; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_MEDIA_OR_PDF_CHANGE; NO_LAWYER_CARD_CHANGE; NO_LEAD_OR_CRM_CHANGE,Owner approves children module wording; then edit drafts and rerun static QA
FL-DRAFT-ENH-007,HIGH,draft_content_enhancement_and_lead_qa_dependency,BLOCKED_EXTERNAL_DEPENDENCY,BLOCKED LEAD QA / BLOCKED LAWYER ROUTE QA,all seven first-cluster URLs,all seven public-body drafts,content-drafts/divorce-lawyer-public-body-he.md; content-drafts/consensual-divorce-public-body-he.md; content-drafts/divorce-mediation-public-body-he.md; content-drafts/divorce-property-division-public-body-he.md; content-drafts/family-dispute-resolution-public-body-he.md; content-drafts/child-support-public-body-he.md; content-drafts/child-custody-public-body-he.md,-,project-control/lead-area-vocabulary-safety-2026-05-22.csv; project-control/maya-lawyer-mini-site-readiness-2026-05-22.csv,-,LEAD_AND_LAWYER_ROUTE_QA,NO_PUBLIC_CMS_EDIT; NO_URL_CHANGE; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_MEDIA_OR_PDF_CHANGE; NO_LAWYER_CARD_CHANGE; NO_LEAD_OR_CRM_CHANGE,Verify lead forms and Maya route; then add approved CTA modules to drafts
FL-DRAFT-ENH-008,MEDIUM,post_upload_schema_qa,BLOCKED_POST_UPLOAD_QA,BLOCKED POST UPLOAD LIVE QA,all seven first-cluster URLs,all seven public-body drafts,content-drafts/divorce-lawyer-public-body-he.md; content-drafts/consensual-divorce-public-body-he.md; content-drafts/divorce-mediation-public-body-he.md; content-drafts/divorce-property-division-public-body-he.md; content-drafts/family-dispute-resolution-public-body-he.md; content-drafts/child-support-public-body-he.md; content-drafts/child-custody-public-body-he.md,-,project-control/family-law-competitor-gap-analysis-2026-05-22.csv,-,LIVE_QA_OR_CMS_ROLLBACK; POST_UPLOAD_SCHEMA_QA,NO_PUBLIC_CMS_EDIT; NO_URL_CHANGE; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_MEDIA_OR_PDF_CHANGE; NO_LAWYER_CARD_CHANGE; NO_LEAD_OR_CRM_CHANGE,After approved upload run schema QA and screenshots
FL-DRAFT-ENH-009,HIGH,lawyer_connection_dependency,BLOCKED_EXTERNAL_DEPENDENCY,BLOCKED MAYA LIVE QA,/divorce-lawyer/; lawyer-card sections,Maya mini-site readiness packet; relevant public-body drafts,-,-,project-control/maya-lawyer-mini-site-readiness-2026-05-22.csv; project-control/authority-person-profile-schema-gate-2026-05-22.csv,-,LIVE_QA_OR_CMS_ROLLBACK; MAYA_ROUTE_SCHEMA_FACTS,NO_PUBLIC_CMS_EDIT; NO_URL_CHANGE; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_MEDIA_OR_PDF_CHANGE; NO_LAWYER_CARD_CHANGE; NO_LEAD_OR_CRM_CHANGE,Verify Maya route and approved facts before adding lawyer-card CTA
FL-DRAFT-ENH-010,MEDIUM,cluster_structure_review,BLOCKED_EXTERNAL_DEPENDENCY,BLOCKED GSC EXPORT,all seven first-cluster URLs,cluster structure and upload dashboard,-,-,project-control/family-divorce-upload-readiness-dashboard-2026-05-21.csv; project-control/family-law-competitor-gap-analysis-2026-05-22.csv,-,OWNER_WORDING; FOCUSED_GSC_EXPORT,NO_PUBLIC_CMS_EDIT; NO_URL_CHANGE; NO_REDIRECT; NO_CANONICAL_OR_NOINDEX_CHANGE; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE; NO_MEDIA_OR_PDF_CHANGE; NO_LAWYER_CARD_CHANGE; NO_LEAD_OR_CRM_CHANGE,Run focused GSC export before pillar consolidation decision
