id,phase,action,owner_approval,evidence_to_capture,stop_condition,status
WALK-01,preflight,Confirm owner approval for a controlled lawyer test identity and controlled test email/phone.,required,"Owner approval note, test identity, test email inbox owner, test phone owner.",Stop if the identity is a real lawyer/client who did not consent to the test.,blocked_until_owner_controlled_test
WALK-02,preflight,"Confirm payment path to test: manual invoice only, Grow payment link, Meshulam link, Morning invoice or no-charge dry run.",required,"Selected payment path, provider link or explicit no-charge note.",Stop before any charge unless provider link and amount are owner-approved.,blocked_until_payment_path_selected
WALK-03,preflight,Run current static and live read-only gates before touching live records.,not_required,.project-control/lawyer-subscription-e2e-preflight-2026-05-27.md and .project-control/lawyer-revenue-funnel-live-2026-05-27.md when refreshed for the same day.,"Stop if either gate returns REVIEW, BLOCKED_STATIC_GATES or stale checker warnings.",ready
WALK-04,public_check,Verify homepage stays legal-help-first and lawyer path is secondary.,not_required,"Screenshot or report row showing user-first homepage, quiet lawyer CTA and no internal revenue-plan language.",Stop if homepage exposes internal revenue/business-plan language.,ready
WALK-05,plan_checkout,Open lawyer plans page and choose lead_partner manual-invoice path.,not_required,"Plan selected, URL params, pricing context, manual-invoice fallback visible.",Stop if pricing or plan copy promises guaranteed leads/results.,ready
WALK-06,plan_checkout,"Open checkout fallback and verify billing fields, terms, cancellation and privacy links.",not_required,"Required field list, checked terms link, cancellation link, privacy link.",Stop if terms checkbox or cancellation/privacy links are missing.,ready
WALK-07,registration,Submit controlled lawyer registration with plan_interest and payment_path preserved.,required,"Registration URL, form values without sensitive ID docs, success screen, created profile/post ID.",Stop before submit unless owner approved live record creation.,blocked_until_owner_controlled_test
WALK-08,admin_onboarding,Open the created lawyer profile/onboarding record and verify billing metadata and manual payment queue.,required,"Profile/post ID, plan type, billing legal name, invoice email, payment_followup_status, manual_invoice_reference.",Stop if billing metadata is missing or profile is public before approval.,blocked_until_live_record_exists
WALK-09,payment,Add approved manual payment link or invoice reference and send payment-link email only to controlled inbox.,required,"Manual payment link URL, invoice reference, sent timestamp, recipient controlled inbox proof.",Stop if email recipient is not controlled or link amount/provider is not approved.,blocked_until_payment_path_selected
WALK-10,dashboard,"Log in as the controlled lawyer user and verify dashboard plan status, payment link, service request presets and lead-stage form visibility.",required,"Dashboard URL, linked profile ID, payment CTA state, available presets, no unassigned lead PII visible.",Stop if the dashboard exposes leads not assigned to the controlled lawyer.,blocked_until_controlled_lawyer_login
WALK-11,service_requests,"Submit one controlled request each for payment link, upgrade, downgrade, cancel, refund and invoice.",required,"Service request IDs, request types, statuses, timestamps and linked lawyer profile.",Stop if any request triggers automatic refund/charge/cancel without owner approval.,blocked_until_controlled_lawyer_login
WALK-12,lead_crm,Attach one consented controlled lead to the controlled lawyer and update lead stage from dashboard.,required,"Lead ID, consent status, routing_hold state, assigned lawyer ID, stage update note.","Stop if the lead is not consented, not controlled or contains real client PII not approved for the test.",blocked_until_controlled_lead_exists
WALK-13,billing_proof,"Record qualified lead billing status, invoice reference for invoice-stage follow-up and private payment evidence URL before paid revenue is counted.",required,"qualified_lead_billing_status, qualified_lead_invoice_reference, qualified_lead_payment_evidence_url.",Stop before marking paid if private payment evidence URL is missing.,blocked_until_payment_evidence
WALK-14,exit_review,"Summarize what passed, what failed, and whether money may be counted.",required,Final owner-approved walkthrough summary with links to private evidence artifacts.,Do not send public success update or revenue claim if any proof field is missing.,blocked_until_all_prior_steps_pass
