id,section,owner_status,draft_content,evidence_basis,stop_condition
DRAFT-01,seo_title,OWNER_SEO_LEGAL_REVIEW_REQUIRED,בדיקת חוזה שכירות לפני חתימה | מה חשוב לבדוק,Existing route upgrade packet plus GSC primary rental-agreement query cluster.,Do not update title until owner/SEO confirms length and route intent.
DRAFT-02,h1,OWNER_SEO_LEGAL_REVIEW_REQUIRED,בדיקת חוזה שכירות: מה לבדוק לפני שחותמים,Keeps the route as pre-signature legal-help content.,Do not replace H1 until owner approves exact page role.
DRAFT-03,meta_description,OWNER_SEO_LEGAL_REVIEW_REQUIRED,"מדריך לבדיקת חוזה שכירות: סעיפים שכדאי לשים לב אליהם, סיכונים נפוצים ומתי כדאי לפנות לעורך דין לפני החתימה.","Summarizes problem, checklist value and lawyer-fit handoff without service pricing.",Check SEO plugin length before CMS update.
DRAFT-04,opening_paragraph,OWNER_LEGAL_REVIEW_REQUIRED,"חוזה שכירות נראה לפעמים כמו מסמך סטנדרטי, אבל סעיף אחד לא מדויק עלול ליצור מחלוקת על תיקונים, בטוחות, פינוי, אופציה להארכה או סיום מוקדם. לפני שחותמים, כדאי לבדוק מה באמת מתחייבים.",Competitor pattern favors practical risk framing before any CTA.,Legal/source reviewer must approve before public body update.
DRAFT-05,checklist_heading,OWNER_SEO_LEGAL_REVIEW_REQUIRED,מה חשוב לבדוק בחוזה שכירות,GSC rows show broad contract and apartment lease demand but low rankings; a checklist may better satisfy intent.,Do not add if it duplicates the associated guide page.
DRAFT-06,checklist_items,OWNER_LEGAL_REVIEW_REQUIRED,זהות הצדדים והנכס | תקופת השכירות ואופציית הארכה | דמי שכירות והצמדה | בטוחות וערבים | תחזוקה ותיקונים | ביטוח ואחריות | הפרה ופינוי | אפשרות יציאה מוקדמת.,8 checklist items from approved owner-review packet; competitor/source notes support clause-level review.,Legal reviewer must validate completeness and avoid legal-advice wording.
DRAFT-07,contextual_cta,OWNER_APPROVAL_REQUIRED,רוצים שעורך דין יבדוק את חוזה השכירות לפני החתימה? השאירו פרטים ונחבר אתכם לעורך דין מתאים.,"Single legal-help CTA after useful content; avoids fixed price, AI drafting or package language.",Run mobile duplicate-CTA QA before any publication.
DRAFT-08,gsc_priority,EVIDENCE_ONLY,Top query rows: חוזה שכירות (111); הסכם שכירות (100); חוזה השכרת רכב (43); הסכמי שכירות (40); חוזה שכירות דירה (21); חוזה שכירות משנה (20); הסכם שכירות משנה (19); הסכם שכירות משרדים (16),"67 GSC rows for https://jus-tice.co.il/rental-agreement/; 505 total impressions, 0 clicks.",Do not publish solely from impressions; owner/SEO/legal review still required.
DRAFT-09,query_clusters,EVIDENCE_ONLY,primary_contract_terms: 345 impressions / 38 rows; apartment_residential_terms: 51 impressions / 17 rows; sublease_and_edge_cases: 46 impressions / 7 rows; commercial_or_vehicle_drift: 60 impressions / 3 rows,"Separates primary residential lease intent from sublease, commercial lease and vehicle-rental drift.",Do not chase drift terms on the primary page if associated routes should own them.
DRAFT-10,publication_stop,BLOCKED,"Private draft only. No CMS, SEO, internal-link, CTA, payment, CRM, email or uPress action is approved.",Owner approval queue remains OWNER_APPROVAL_QUEUE_READY_NOT_APPROVED.,"Stop until owner explicitly approves route, exact copy, links, legal review and publication workflow."
