row_type,id,decision_id,slug,gate,status,option,url,path,title,h1,lawyer_card_count,evidence,next_action,recommended_value,allowed_next_step,forbidden_without_fresh_approval,public_change_allowed
gate,DGU-GATE-01,,,source_priority_packet_available,PASS,,,,,,,Source city/practice packet status: CITY_PRACTICE_PRIORITY_DRAFT_BRIEFS_BLOCKED_NO_PUBLIC_CHANGE.,Use source packet only as private evidence; do not publish from it.,,,,
gate,DGU-GATE-02,,,blocked_directory_rows_found,PASS,,,,,,,1 blocked canonical directory row(s) found.,Build owner choices around the exact blocked rows.,,,,
gate,DGU-GATE-03,,,alternate_paths_checked_read_only,PASS,,,,,,,3 live alternate path check(s) recorded.,"Treat alternatives as review candidates only, not approved public links.",,,,
gate,DGU-GATE-04,,,owner_options_ready,PASS,,,,,,,5 private option row(s) generated.,"Owner/admin can choose private coverage, park, or ask for a separate alternate-CTA packet.",,,,
gate,DGU-GATE-05,,,no_public_change_authorized,PASS,,,,,,,All option rows keep public change forbidden without fresh owner approval.,"Do not publish, link, route, contact, invoice or deploy from this packet.",,,,
blocked_directory,CPD-02-DIRECTORY,,criminal-lawyer-jerusalem,BLOCKED_CANONICAL_DIRECTORY_FILTER_GENERIC_OR_EMPTY,200,,https://jus-tice.co.il/lawyers/?city=jerusalem&area=criminal-law,,עורך דין משפט פלילי בירושלים | Jus-Tice,עורך דין משפט פלילי בירושלים,0,,"Fix lawyer coverage privately, choose an approved alternate CTA/path, or park the city/practice draft.",,,,
live_alternative,CPD-02-DIRECTORY-ALT-AREA,,criminal-lawyer-jerusalem,BLOCKED_ALTERNATE_DIRECTORY_EMPTY,200,area_only_directory,https://jus-tice.co.il/lawyers/?area=criminal-law,/lawyers/?area=criminal-law,עורך דין משפט פלילי | מצאו עורך דין מתאים,עורך דין משפט פלילי,0,,,,,,
live_alternative,CPD-02-DIRECTORY-ALT-CITY,,criminal-lawyer-jerusalem,REVIEW_ALTERNATE_DIRECTORY_HAS_COVERAGE,200,city_only_directory,https://jus-tice.co.il/lawyers/?city=jerusalem,/lawyers/?city=jerusalem,עורכי דין בירושלים | Jus-Tice,עורכי דין בירושלים,2,,,,,,
live_alternative,CPD-02-DIRECTORY-ALT-CONTACT,,criminal-lawyer-jerusalem,REVIEW_CONTACT_FORM_REACHABLE,200,contact_form_fallback,https://jus-tice.co.il/contact/?area=criminal-law&city=jerusalem&source=criminal-lawyer-jerusalem,/contact/?area=criminal-law&city=jerusalem&source=criminal-lawyer-jerusalem,יצירת קשר | Jus-Tice,יצירת קשר,0,,,,,,
option,CPD-02-DIRECTORY-OPTION-01,,criminal-lawyer-jerusalem,,RECOMMENDED_PRIVATE_REVENUE_PATH,activate_matching_lawyer_coverage,,,,,,https://jus-tice.co.il/lawyers/?city=jerusalem&area=criminal-law has 0 lawyer cards for the exact city/practice filter.,Owner/admin should activate or verify at least one matching routable lawyer profile/prospect before relying on the exact directory path.,,,,no
option,CPD-02-DIRECTORY-OPTION-02,,criminal-lawyer-jerusalem,,BLOCKED_EMPTY_OR_UNVERIFIED,broader_area_directory_fallback,,,,,,"/lawyers/?area=criminal-law returned 0 lawyer cards and H1 ""עורך דין משפט פלילי"".",Use only if owner/SEO/legal approves a broader non-local directory CTA in a future public draft packet.,,,,no
option,CPD-02-DIRECTORY-OPTION-03,,criminal-lawyer-jerusalem,,REVIEW_ONLY_HAS_COVERAGE,broader_city_directory_fallback,,,,,,"/lawyers/?city=jerusalem returned 2 lawyer cards and H1 ""עורכי דין בירושלים"".",Use only if owner/SEO/legal approves a broader non-practice-specific directory CTA in a future public draft packet.,,,,no
option,CPD-02-DIRECTORY-OPTION-04,,criminal-lawyer-jerusalem,,REVIEW_ONLY_REACHABLE,contact_form_fallback,,,,,,"/contact/?area=criminal-law&city=jerusalem&source=criminal-lawyer-jerusalem returned status 200 and H1 ""יצירת קשר"".","Use only after explicit approval of public copy, lead-routing expectations and non-directory wording.",,,,no
option,CPD-02-DIRECTORY-OPTION-05,,criminal-lawyer-jerusalem,,SAFE_DEFAULT,park_city_practice_public_work,,,,,,Exact directory coverage is missing and public content approval is absent.,Keep the local/practice update private until coverage or approved fallback is ready.,,,,no
owner_template,,CPD-02-DIRECTORY-DECISION-01,criminal-lawyer-jerusalem,,,,,,,,,,,approve private matching-lawyer coverage work,Create/verify one matching private lawyer/prospect record and only later rerun the coverage gate.,"Do not publish content, add internal links, contact anyone, route leads, invoice, mark paid or change SEO settings.",
owner_template,,CPD-02-DIRECTORY-DECISION-02,criminal-lawyer-jerusalem,,,,,,,,,,,park public city/practice update,Keep content private and continue revenue/content prep on targets with proven directory coverage.,Do not use a broader area/city/contact fallback on the public site without owner/SEO/legal approval.,
owner_template,,CPD-02-DIRECTORY-DECISION-03,criminal-lawyer-jerusalem,,,,,,,,,,,request alternate CTA plan,"Prepare a separate public-copy review packet for a non-directory CTA, still with no CMS change.",Do not imply exact lawyer availability in the blocked city/practice combination.,
