check_id,scope,status,risk,path,url,http_status,final_url,title,h1,h1_count,canonical,robots,raw_shortcode_tokens,hebrew_count,issues,expected,next_step
FAM-LIVE-PILLAR-LONG,divorce_pillar_candidate,BLOCKED_OR_REVIEW,CRITICAL,/lawyer-divorce-guide-proceedings-costs-rights/,https://jus-tice.co.il/lawyer-divorce-guide-proceedings-costs-rights/,200,https://jus-tice.co.il/lawyer-divorce-guide-proceedings-costs-rights/,"עורך דין גירושין | מחירים, זכויות וייצוג 2025 | Jus-Tice","עורך דין גירושין | מחירים, זכויות וייצוג 2025 | Jus-Tice",3,https://jus-tice.co.il/lawyer-divorce-guide-proceedings-costs-rights/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,48720,h1_count_3,Existing live page must not compete with canonical divorce-lawyer target without owner/GSC decision.,Review and repair before Family upload is marked live-safe.
FAM-LIVE-PILLAR-CLEAN,divorce_pillar_candidate,BLOCKED_OR_REVIEW,CRITICAL,/divorce-lawyer/,https://jus-tice.co.il/divorce-lawyer/,200,https://jus-tice.co.il/divorce-lawyer/,"עורך דין גירושין: מדריך עומק לבחירה נכונה, תהליך, עלויות, ילדים ורכו","עורך דין גירושין: מדריך עומק לבחירה נכונה, תהליך, עלויות, ילדים ורכוש",2,https://jus-tice.co.il/divorce-lawyer/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,18664,h1_count_2,Planned clean pillar must be protected until owner/GSC decision.,Review and repair before Family upload is marked live-safe.
FAM-LIVE-AGREEMENT,divorce_agreement_support,BLOCKED_OR_REVIEW,CRITICAL,/divorce-agreement/,https://jus-tice.co.il/divorce-agreement/,200,https://jus-tice.co.il/divorce-agreement/,הסכם גירושין 2025 | מדריך + טופס PDF להורדה | Jus-Tice,הסכם גירושין 2025 | מדריך + טופס PDF להורדה | Jus-Tice,2,https://jus-tice.co.il/divorce-agreement/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",justice_pdf_download|justice_contact_form,6448,h1_count_2;raw_shortcodes_justice_pdf_download|justice_contact_form,Agreement support page must render public UI without raw shortcodes and with a working PDF path.,Review and repair before Family upload is marked live-safe.
FAM-LIVE-CHILD-SUPPORT,support_link,BLOCKED_OR_REVIEW,MEDIUM,/child-support/,https://jus-tice.co.il/child-support/,200,https://jus-tice.co.il/child-support/,"מזונות ילדים: מדריך מעשי לפני הסכם, תביעה או שינוי מצב | Jus-Tice","מזונות ילדים: מדריך מעשי לפני הסכם, תביעה או שינוי מצב",3,https://jus-tice.co.il/child-support/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,83618,h1_count_3,Internal support link should resolve and remain indexable until final cluster decisions.,Review and repair before Family upload is marked live-safe.
FAM-LIVE-CHILD-CUSTODY,support_link,BLOCKED_OR_REVIEW,MEDIUM,/child-custody/,https://jus-tice.co.il/child-custody/,200,https://jus-tice.co.il/child-custody/,משמורת ילדים וזמני שהות: איך מתכננים הסדר שמתאים לילדים | Jus-Tice,משמורת ילדים וזמני שהות: איך מתכננים הסדר שמתאים לילדים,2,https://jus-tice.co.il/child-custody/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,14776,h1_count_2,Internal support link should resolve and remain indexable until final cluster decisions.,Review and repair before Family upload is marked live-safe.
FAM-LIVE-MEDIATION,support_link,BLOCKED_OR_REVIEW,MEDIUM,/divorce-mediation/,https://jus-tice.co.il/divorce-mediation/,200,https://jus-tice.co.il/divorce-mediation/,"גישור גירושין: מתי זה נכון, איך מתכוננים ומה חשוב לבדוק | Jus-Tice","גישור גירושין: מתי זה נכון, איך מתכוננים ומה חשוב לבדוק",3,https://jus-tice.co.il/divorce-mediation/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,19253,h1_count_3,Internal support link should resolve and remain indexable until final cluster decisions.,Review and repair before Family upload is marked live-safe.
FAM-LIVE-PDF-1,pdf_asset_candidate,BLOCKED_OR_REVIEW,CRITICAL,/wp-content/uploads/divorce-agreement-template-2025.pdf,https://jus-tice.co.il/wp-content/uploads/divorce-agreement-template-2025.pdf,404,https://jus-tice.co.il/wp-content/uploads/divorce-agreement-template-2025.pdf,,,,,,,,http_404,At least one referenced divorce agreement PDF asset path should return a PDF before public CTA is final.,Upload/verify the PDF asset or remove the public PDF promise.
FAM-LIVE-PDF-2,pdf_asset_candidate,BLOCKED_OR_REVIEW,CRITICAL,/wp-content/uploads/2025/05/divorce-agreement-template-2025.pdf,https://jus-tice.co.il/wp-content/uploads/2025/05/divorce-agreement-template-2025.pdf,404,https://jus-tice.co.il/wp-content/uploads/2025/05/divorce-agreement-template-2025.pdf,,,,,,,,http_404,At least one referenced divorce agreement PDF asset path should return a PDF before public CTA is final.,Upload/verify the PDF asset or remove the public PDF promise.
FAM-LIVE-PDF-3,pdf_asset_candidate,BLOCKED_OR_REVIEW,CRITICAL,/wp-content/uploads/2026/05/divorce-agreement-template-2025.pdf,https://jus-tice.co.il/wp-content/uploads/2026/05/divorce-agreement-template-2025.pdf,404,https://jus-tice.co.il/wp-content/uploads/2026/05/divorce-agreement-template-2025.pdf,,,,,,,,http_404,At least one referenced divorce agreement PDF asset path should return a PDF before public CTA is final.,Upload/verify the PDF asset or remove the public PDF promise.
FAM-LIVE-CANONICAL-CONFLICT,cluster_decision_gate,BLOCKED_OR_REVIEW,CRITICAL,/lawyer-divorce-guide-proceedings-costs-rights/|/divorce-lawyer/,https://jus-tice.co.il/lawyer-divorce-guide-proceedings-costs-rights/|https://jus-tice.co.il/divorce-lawyer/,,,,,,https://jus-tice.co.il/lawyer-divorce-guide-proceedings-costs-rights/|https://jus-tice.co.il/divorce-lawyer/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1|index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,indexable_self_canonical_pillar_count_2,Only one divorce-lawyer pillar URL should be canonical/indexable after owner/GSC decision.,Run focused GSC export and owner URL decision before any redirect/canonical/noindex action.
FAM-LIVE-PDF-ASSET-GATE,cluster_decision_gate,BLOCKED_OR_REVIEW,CRITICAL,/wp-content/uploads/divorce-agreement-template-2025.pdf|/wp-content/uploads/2025/05/divorce-agreement-template-2025.pdf|/wp-content/uploads/2026/05/divorce-agreement-template-2025.pdf,https://jus-tice.co.il/wp-content/uploads/divorce-agreement-template-2025.pdf|https://jus-tice.co.il/wp-content/uploads/2025/05/divorce-agreement-template-2025.pdf|https://jus-tice.co.il/wp-content/uploads/2026/05/divorce-agreement-template-2025.pdf,,,,,,,,,,no_working_pdf_candidate_found,Divorce agreement PDF promise must have a working file or be removed.,Upload/verify PDF or remove PDF CTA before final upload.
