package_key,package_label,source,query,post_type,url,path,status_code,title,h1,canonical,match_reason,cannibalization_risk,recommendation
rental_agreement,Rental agreement review / draft,exact_path_probe,,route,https://jus-tice.co.il/rental-agreement/,/rental-agreement/,200,מה זה הסכם שכירות | חוזה שכירות | Jus-Tice.co.il,מה זה הסכם שכירות | חוזה שכירות,https://jus-tice.co.il/rental-agreement/,Exact route exists or resolves live.,HIGH_REVIEW_EXISTING_ROUTE,Review this existing route before creating or linking a public package page.
rental_agreement,Rental agreement review / draft,exact_path_probe,,route,https://jus-tice.co.il/lease-agreement/,/lease-agreement/,404,Page not found | Jus-Tice.co.il,העמוד לא נמצא,,Exact route not found or no readable title/H1.,LOW_ABSENT_ROUTE,Do not treat absence as approval; keep public launch blocked until owner/SEO review.
rental_agreement,Rental agreement review / draft,exact_path_probe,,route,https://jus-tice.co.il/rental-contract/,/rental-contract/,404,Page not found | Jus-Tice.co.il,העמוד לא נמצא,,Exact route not found or no readable title/H1.,LOW_ABSENT_ROUTE,Do not treat absence as approval; keep public launch blocked until owner/SEO review.
rental_agreement,Rental agreement review / draft,exact_path_probe,,route,https://jus-tice.co.il/apartment-rental-agreement/,/apartment-rental-agreement/,404,Page not found | Jus-Tice.co.il,העמוד לא נמצא,,Exact route not found or no readable title/H1.,LOW_ABSENT_ROUTE,Do not treat absence as approval; keep public launch blocked until owner/SEO review.
rental_agreement,Rental agreement review / draft,exact_path_probe,,route,https://jus-tice.co.il/tenant-rights/,/tenant-rights/,404,Page not found | Jus-Tice.co.il,העמוד לא נמצא,,Exact route not found or no readable title/H1.,LOW_ABSENT_ROUTE,Do not treat absence as approval; keep public launch blocked until owner/SEO review.
rental_agreement,Rental agreement review / draft,exact_path_probe,,route,https://jus-tice.co.il/landlord-tenant-dispute/,/landlord-tenant-dispute/,404,Page not found | Jus-Tice.co.il,העמוד לא נמצא,,Exact route not found or no readable title/H1.,LOW_ABSENT_ROUTE,Do not treat absence as approval; keep public launch blocked until owner/SEO review.
rental_agreement,Rental agreement review / draft,exact_path_probe,,route,https://jus-tice.co.il/real-estate-lawyer-guide/,/real-estate-lawyer-guide/,200,"מדריך עורך דין מקרקעין | קנייה, מכירה ורישום דירה | Jus-Tice",דיני מקרקעין,https://jus-tice.co.il/real-estate-lawyer-guide/,Exact route exists or resolves live.,HIGH_REVIEW_EXISTING_ROUTE,Review this existing route before creating or linking a public package page.
rental_agreement,Rental agreement review / draft,exact_path_probe,,route,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,/lawyer-for-buying-or-selling-a-house/,200,"עורך דין קניית דירה | עו""ד מכירת דירה | מומחה בעסקאות מקרקעין | Jus-Tice.co.il","עורך דין קניית דירה | עו""ד מכירת דירה | מומחה בעסקאות מקרקעין",https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,Exact route exists or resolves live.,HIGH_REVIEW_EXISTING_ROUTE,Review this existing route before creating or linking a public package page.
rental_agreement,Rental agreement review / draft,wp_rest_search,rental agreement,articles,https://jus-tice.co.il/global-tax-consulting-services/,/global-tax-consulting-services/,200,מיסוי בינלאומי | יועץ מס בינלאומי | ייעוץ וליווי עסקאות בינלאומיות,,,"REST search hit for ""rental agreement"". Excerpt: ייעוץ מס בינלאומי הוא תחום מקצועי המסייע ליחידים ולחברות לנווט בנבכי חוקי המיסוי של מדינות שונות, על מנת לציית לחוקי המס בכל מדינה, למנוע חיובי מס כפולים ולנצל ",LOW_SEARCH_CONTEXT_ONLY,"Keep in CSV evidence, but prioritize exact and title/path matches first."
rental_agreement,Rental agreement review / draft,wp_rest_search,rental agreement,articles,https://jus-tice.co.il/real-estate-registration-procedure-in-israel/,/real-estate-registration-procedure-in-israel/,200,real estate registration procedure in israel,,,"REST search hit for ""rental agreement"". Excerpt: The page contains the main professional guidelines and procedures according to which the Authority's bureaus operate Type of legal information Following the dec",MEDIUM_REVIEW_TITLE_OR_PATH_MATCH,Review as associated/synonymous content before any public package page or CTA.
rental_agreement,Rental agreement review / draft,wp_rest_search,rental agreement,articles,https://jus-tice.co.il/decision6077-20/,/decision6077-20/,200,"פלילי: כספי חילוט לא יוכרו כהוצאה מותרת בניכוי מס הכנסה | פסק דין עליון ע""א 6077/20",,,"REST search hit for ""rental agreement"". Excerpt: אדם הורשע בפלילים, במסגרת הסדר טיעון שכלל הסכמה עונשית. בגזר הדין שניתן בעניינו הורה בית המשפט, בין היתר, על חילוט כספים שהשיג כתוצאה מפעילותו העבריינית. האם יש",LOW_SEARCH_CONTEXT_ONLY,"Keep in CSV evidence, but prioritize exact and title/path matches first."
rental_agreement,Rental agreement review / draft,wp_rest_search,rental agreement,page,https://jus-tice.co.il/contract-law-israel/,/contract-law-israel/,200,"דיני חוזים בישראל | מה תקף, ביטול, הפרה | Jus-Tice",,,"REST search hit for ""rental agreement"". Excerpt: חוק החוזים (חלק כללי), תשל""ג-1973 הוא בסיס דיני החוזים בישראל. חוזה — כל הסכם מחייב בין שני צדדים. אבל לא כל ""חוזה"" תקף. מדריך זה מסביר מה צריך להיות, מתי ניתן ",LOW_SEARCH_CONTEXT_ONLY,"Keep in CSV evidence, but prioritize exact and title/path matches first."
rental_agreement,Rental agreement review / draft,wp_rest_search,rental agreement,page,https://jus-tice.co.il/consumer-rights-israel/,/consumer-rights-israel/,200,"זכויות צרכן בישראל | ביטול, החזר, תביעה | Jus-Tice",,,"REST search hit for ""rental agreement"". Excerpt: חוק הגנת הצרכן, תשמ""א-1981 וחוק ביטול עסקאות מרחוק נותנים לצרכן הישראלי הגנות משמעותיות. כ-120,000 תלונות צרכניות מוגשות לרשות הגנת הצרכן מדי שנה. מדריך זה מסבי",LOW_SEARCH_CONTEXT_ONLY,"Keep in CSV evidence, but prioritize exact and title/path matches first."
rental_agreement,Rental agreement review / draft,wp_rest_search,lease agreement,articles,https://jus-tice.co.il/cyprus-prices/,/cyprus-prices/,200,מחירון 2025 נכסים בקפריסין ועליות נלוות | רכישה בלווי משפטי לישראלים,,,"REST search hit for ""lease agreement"". Excerpt: קפריסין, השכנה הים־תיכונית של ישראל, מציעה שוק נדל""ן תוסס עם פוטנציאל צמיחה מרשים בעשור הקרוב. בשנים האחרונות נרשמו עליות מחירים שנתיות של 5%–8% בממוצע, מעל לממ",LOW_SEARCH_CONTEXT_ONLY,"Keep in CSV evidence, but prioritize exact and title/path matches first."
rental_agreement,Rental agreement review / draft,wp_rest_search,lease agreement,articles,https://jus-tice.co.il/iflr1000/,/iflr1000/,200,IFLR1000,,,"REST search hit for ""lease agreement"". Excerpt: International Financial Law Review (IFLR) הוא מדריך דירוג משפטי בינלאומי המתמקד בפיננסים ובתאגידים, הנחשב לאוטוריטה בתחומו מאז השקת המהדורה הראשונה ב-1990. בשונ",LOW_SEARCH_CONTEXT_ONLY,"Keep in CSV evidence, but prioritize exact and title/path matches first."
