row_type,id,path,role,gate,status,url,final_url,title,h1,word_estimate,cta_anchor_count,public_claim_hits,business_leak_hits,evidence,review,next_action,serpObservation,copyBoundary,useFor,boundary
qa,CJQA-01,,,target_live_status,REVIEW_CONFIRMED_LIVE_200,,,,,,,,,"Target https://jus-tice.co.il/criminal-lawyer-jerusalem/ returned 200; title ""עורך דין פלילי ירושלים | מחירים, בתי משפט, ייצוג | Jus-Tice""; h1 ""עורך דין פלילי ירושלים | ייצוג, מחירים ובתי משפט | Jus-Tice"".","The page is public and should be treated as an existing live asset, not a draft seed.","Do read-only QA first; do not publish, unpublish or rewrite from draft packets alone.",,,,
qa,CJQA-02,,,thin_content_and_helpfulness,REVIEW_THIN_LOCAL_PAGE,,,,,,,,,Target word estimate 488; CTA anchor count 38; internal links 66.,The live target appears relatively thin for a competitive criminal-law local query; any improvement needs sources and legal/editor review.,Prepare evidence-backed outline sections only after GSC/internal overlap/lawyer coverage proof.,,,,
qa,CJQA-03,,,claim_and_source_safety,REVIEW_PUBLIC_CLAIMS,,,,,,,,,Public-claim markers in target title/H1/body: מוביל | מובילים | מחירים | בתי משפט.,Markers such as prices/courts/leading/recommended/outcomes need source or legal review before expansion.,"Avoid adding price, court, best/recommended, guarantee, outcome or urgent advice language.",,,,
qa,CJQA-04,,,business_language_leakage,PASS,,,,,,,,,Business/internal markers: none.,"The live page should remain a legal-help page and not expose revenue, supplier, CRM or operating model language.","Keep lawyer-join/business language off the page except approved, subtle site-level paths.",,,,
qa,CJQA-05,,,pillar_cannibalization,REVIEW_WEAK_PILLAR_SPLIT,,,,,,,,,Declared pillar 200/289 words/final https://jus-tice.co.il/practice-areas/criminal-law/; topic surface 200/289 words.,"The intended criminal-law pillar appears weak or redirected, so the live local page may be competing with a thin topic surface.","Do not expand the local page until the central criminal-law role, canonical target and internal-link hierarchy are reviewed.",,,,
qa,CJQA-06,,,related_criminal_overlap,REVIEW_OVERLAP_EXISTS,,,,,,,,,/criminal-defense-attorney/:200/4128w | /sex-crime-lawyer/:200/24404w,"Related criminal pages exist, so local-page improvements need an internal overlap map before link/copy changes.",Keep the Jerusalem page as local triage and lawyer-fit support; leave specialist topics to their own pages.,,,,
qa,CJQA-07,,,competitor_positioning,REVIEW_COMPETITIVE_SERP,,,,,,,,,"6/6 competitor pages fetched as live 200; search results emphasize urgency, credentials, case types and local office presence.","Jus-Tice should not mimic a single law office. The safer differentiation is neutral legal-help triage, document prep, and filtered lawyer fit.","Use competitor review for user expectations only; do not copy claims, credentials, results or slogans.",,,,
qa,CJQA-08,,,public_action_approval,BLOCKED_NO_PUBLIC_CHANGE_APPROVED,,,,,,,,,"0 CMS writes, 0 redirects/canonicals/noindex/sitemap/taxonomy changes, 0 CRM/contact/payment/email actions.",This packet approves no public action.,Owner/legal/editor/GSC review must clear one exact update before public work.,,,,
own,OWN-01,/criminal-lawyer-jerusalem/,live_target,,200,https://jus-tice.co.il/criminal-lawyer-jerusalem/,https://jus-tice.co.il/criminal-lawyer-jerusalem/?jt_live_qa=1779844357464,"עורך דין פלילי ירושלים | מחירים, בתי משפט, ייצוג | Jus-Tice","עורך דין פלילי ירושלים | ייצוג, מחירים ובתי משפט | Jus-Tice",488,38,מוביל | מובילים | מחירים | בתי משפט,,,,,,,,
own,OWN-02,/criminal-lawyer/,declared_pillar,,200,https://jus-tice.co.il/criminal-lawyer/,https://jus-tice.co.il/practice-areas/criminal-law/,משפט פלילי | Jus-Tice.co.il,קטגוריה: משפט פלילי,289,33,מוביל | מובילים,,,,,,,,
