page,country,clicks,impressions,ctr,position,main_country_flag
https://jus-tice.co.il/,isr,133,44716,0.30%,31.4,TRUE
https://jus-tice.co.il/free-divorce-agreement-template/,isr,111,18244,0.61%,21.8,TRUE
https://jus-tice.co.il/free-affidavit-sample/,isr,65,3185,2.04%,16.7,TRUE
https://jus-tice.co.il/%D7%9E%D7%93%D7%A8%D7%99%D7%9A-%D7%A2%D7%93%D7%9B%D7%A0%D7%99-%D7%9C%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F/,isr,59,3683,1.60%,40.9,TRUE
https://jus-tice.co.il/%D7%AA%D7%97%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%94-%D7%9B%D7%AA%D7%95%D7%91%D7%AA-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A8%D7%A9%D7%99%D7%9E%D7%94-%D7%90%D7%A8%D7%A6%D7%99%D7%AA-%D7%9E%D7%A2%D7%95%D7%93%D7%9B%D7%9F/,isr,58,18709,0.31%,18.8,TRUE
https://jus-tice.co.il/lahav-433/,isr,45,4124,1.09%,13.5,TRUE
https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,isr,43,11235,0.38%,22.0,TRUE
https://jus-tice.co.il/online-rent-agreement/,isr,43,783,5.49%,18.1,TRUE
https://jus-tice.co.il/53431-10-21/,isr,39,6574,0.59%,12.3,TRUE
https://jus-tice.co.il/%D7%98%D7%95%D7%A4%D7%A1-%D7%9C%D7%A4%D7%99-%D7%97%D7%95%D7%A7-%D7%9C%D7%9E%D7%A0%D7%99%D7%A2%D7%AA-%D7%94%D7%A2%D7%A1%D7%A7%D7%94-%D7%A9%D7%9C-%D7%A2%D7%91%D7%A8%D7%99%D7%99%D7%A0%D7%99-%D7%9E%D7%99%D7%9F-%D7%91%D7%9E%D7%95%D7%A1%D7%93-%D7%94%D7%9E%D7%9B%D7%95%D7%95%D7%9F-%D7%9C%D7%9E%D7%AA%D7%9F-%D7%A9%D7%99%D7%A8%D7%95%D7%AA-%D7%9C%D7%A7%D7%98%D7%99%D7%A0%D7%99%D7%9D/,isr,38,3645,1.04%,11.1,TRUE
https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,isr,37,15500,0.24%,19.1,TRUE
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,isr,37,791,4.68%,15.0,TRUE
