שם מלא/שם עסק,קטגוריה,תת-התמחות,עיר,טלפון,אתר,אימייל פומבי,מספר רישיון/הסמכה,מקור המידע (URL),מקור רישוי/הסמכה (URL),תאריך בדיקה,סטטוס אימות/הערה
קבוצת ראש,מכוני פוליגרף,בדיקות פוליגרף,ראשון לציון,077-7785699,,,,https://www.d.co.il/80288628/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
אליאס מכון פוליגרף,מכוני פוליגרף,בדיקות פוליגרף,,072-2565138,,,,https://www.d.co.il/80391723/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
תבל שירותי פוליגרף מתקדמים,מכוני פוליגרף,בדיקות פוליגרף,גדרה,073-7024280,,,,https://www.d.co.il/80391812/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
ידין חקירות ויעוץ בטחוני,מכוני פוליגרף,בדיקות פוליגרף,,072-2158295,,,,https://www.d.co.il/80386204/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
צוות חקירות -חוקר פרטי,מכוני פוליגרף,בדיקות פוליגרף,,072-2565126,,,,https://www.d.co.il/80354282/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
"גוזלן שירותי פוליגרף בע""מ",מכוני פוליגרף,בדיקות פוליגרף,אזור,03-5509292,,,,https://www.d.co.il/3372120/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
מכון תמיר לפוליגרף,מכוני פוליגרף,בדיקות פוליגרף,תל אביב,072-3210759,,,,https://www.d.co.il/37189390/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
פוליגרף הגעה עד בית הלקוח עסק,מכוני פוליגרף,בדיקות פוליגרף,,072-3270903,,,,https://www.d.co.il/80006550/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
קורן חקירות,מכוני פוליגרף,בדיקות פוליגרף,"גבעת כ""ח",072-3221597,,,,https://www.d.co.il/80194918/17300/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
מורנו משה - חקירות פרטיות,מכוני פוליגרף,בדיקות פוליגרף,אדרת,052-3831156,,,,https://www.d.co.il/36949990/17300/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
צופן חקירות,מכוני פוליגרף,בדיקות פוליגרף,הרצליה,072-3226260,,,,https://www.d.co.il/75066110/17300/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
רוזנברג חקירות שרותים מיוחדים,מכוני פוליגרף,בדיקות פוליגרף,ראש העין,072-3226901,,,,https://www.d.co.il/1087200/17300/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
חתוכה אייל חקירות,מכוני פוליגרף,בדיקות פוליגרף,מגשימים,077-7784968,,,,https://www.d.co.il/80036411/17300/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
תפנית- משרדי חקירות בירושלים,מכוני פוליגרף,בדיקות פוליגרף,ירושלים,077-7785307,,,,https://www.d.co.il/80001788/17300/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
פתרונות חקירות-משרד חקירות-חוקר פרטי,מכוני פוליגרף,בדיקות פוליגרף,רמת גן,03-5753395,,,,https://www.d.co.il/31073310/17300/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
"בנימין עוזרי מכון פוליגרף ואימות מידע בע""מ",מכוני פוליגרף,בדיקות פוליגרף,ירושלים,054-4571924,,,,https://www.d.co.il/80143637/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
"מח""פ מכון לפוליגרף - עזר שאול",מכוני פוליגרף,בדיקות פוליגרף,ירושלים,072-3212043,,,,https://www.d.co.il/20940840/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
גוזלן שירותי פוליגרף,מכוני פוליגרף,בדיקות פוליגרף,ירושלים,072-3204935,,,,https://www.d.co.il/11508870/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
אמת - המכון לפוליגרף ממוחשב,מכוני פוליגרף,בדיקות פוליגרף,ירושלים,054-4523210,,,,https://www.d.co.il/41580770/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
"אריק חייט עו""ד-מכון פוליגרף",מכוני פוליגרף,בדיקות פוליגרף,ירושלים,072-3228179,,,,https://www.d.co.il/80016227/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
בן עמוס מכון פוליגרף,מכוני פוליגרף,בדיקות פוליגרף,מעלה אדומים,050-6275406,,,,https://www.d.co.il/80375159/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
א.י.ל. מכון פוליגרף,מכוני פוליגרף,בדיקות פוליגרף,ירושלים,072-3251688,,,,https://www.d.co.il/80013796/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
אורן שרות פוליגרף,מכוני פוליגרף,בדיקות פוליגרף,ירושלים,050-6611673,,,,https://www.d.co.il/80358127/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
"איל פוליגרף בע""מ",מכוני פוליגרף,בדיקות פוליגרף,ירושלים,072-3251065,,,,https://www.d.co.il/61210570/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
מכון אור לפוליגרף,מכוני פוליגרף,בדיקות פוליגרף,ירושלים,072-3290100,,,,https://www.d.co.il/80216132/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
פוליגרף אבי מדלסי,מכוני פוליגרף,בדיקות פוליגרף,,050-6270439,,,,https://www.d.co.il/80381645/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
מכון פוליגרף העין השלישית,מכוני פוליגרף,בדיקות פוליגרף,,050-3208001,,,,https://www.d.co.il/80323516/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
בארי פוליגרף,מכוני פוליגרף,בדיקות פוליגרף,באר שבע,054-7759424,,,,https://www.d.co.il/70560390/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
המרכז ללימוד אמת ושקר;לדעת באמת,מכוני פוליגרף,בדיקות פוליגרף,הוד השרון,052-3232229,,,,https://www.d.co.il/80215621/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
שגיא מכון פוליגרף,מכוני פוליגרף,בדיקות פוליגרף,נתניה,072-3270465,,,,https://www.d.co.il/4269810/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
מכון פוליגרף,מכוני פוליגרף,בדיקות פוליגרף,נתניה,050-5346901,,,,https://www.d.co.il/32083110/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
מכון פוליגרף אתיקה,מכוני פוליגרף,בדיקות פוליגרף,נתניה,072-3238416,,,,https://www.d.co.il/80299087/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
מכון פוליגרף אמינות,מכוני פוליגרף,בדיקות פוליגרף,נתניה,072-3925900,,,,https://www.d.co.il/80298038/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
פוליגרף השרון,מכוני פוליגרף,בדיקות פוליגרף,נתניה,09-8619368,,,,https://www.d.co.il/23708800/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
קו האמת,מכוני פוליגרף,בדיקות פוליגרף,רעננה,052-4236971,,,,https://www.d.co.il/80287477/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
דרך הישר - פוליגרף וגישור,מכוני פוליגרף,בדיקות פוליגרף,,050-3608836,,,,https://www.d.co.il/80382272/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
מרכז הפוליגרף הישראלי,מכוני פוליגרף,בדיקות פוליגרף,עפולה,072-3252324,,,,https://www.d.co.il/80025480/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
פוליגרף S.T - סמי תורג'מן,מכוני פוליגרף,בדיקות פוליגרף,עפולה,072-3227725,,,,https://www.d.co.il/80310994/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
ניצן מכון פוליגרף וייעוץ,מכוני פוליגרף,בדיקות פוליגרף,,054-6370852,,,,https://www.d.co.il/80363702/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
המעקב פוליגרף חקירות וביטחון,מכוני פוליגרף,בדיקות פוליגרף,עפולה,053-5568300,,,,https://www.d.co.il/80360281/17200/,,2026-07-19,שירות פוליגרף פורסם במדריך עסקי ציבורי; לא קיים פנקס רישוי ממשלתי ייעודי שאומת
