שם מלא/שם עסק,קטגוריה,תת-התמחות,עיר,טלפון,אתר,אימייל פומבי,מספר רישיון/הסמכה,מקור המידע (URL),מקור רישוי/הסמכה (URL),תאריך בדיקה,סטטוס אימות/הערה
גאלב איברהים,נוטריונים,שפות רשומות: Arabic; English,אבו גוש,,,,220313,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אליאס ברבארה,נוטריונים,נוטריון/ית,אבו סנאן,,,,2073443,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אפרת אומיאל פדידה,נוטריונים,שפות רשומות: English,אבטליון,,,,223388,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אוראל בכר קובי,נוטריונים,נוטריון/ית,אבן יהודה,,,,222665,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
איתן יבגי,נוטריונים,נוטריון/ית,אדרת,,,,216139,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אחמד מחאג'נה,נוטריונים,שפות רשומות: English; Arabic,אום אל-פחם,,,,221405,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
חיים קארו,נוטריונים,נוטריון/ית,אומץ,,,,213425,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אסף חיים ג'רבי,נוטריונים,נוטריון/ית,אופקים,,,,223111,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
אביתר רגר,נוטריונים,שפות רשומות: English,אור יהודה,,,,2073726,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
איה איילת כפיר,נוטריונים,נוטריון/ית,אור עקיבא,,,,21117,https://www.gov.il/he/departments/dynamiccollectors/search-notaries,https://data.gov.il/he/datasets/ministry_of_justice/notary/3ead5fae-3513-46f8-a458-959ea3e035ae,2026-07-19,רישיון ועיר מתוך הרשימה הרשמית המעודכנת
